"hgnc_symbol","logFC","pvalue","fdr","experiment","comparison"
"RIGI",0.587630011455476,9.60789804230063e-05,0.114900852687873,"21","WT_vs_severe"
"GBP1",1.16241132726135,2.58749634811474e-05,0.0515731147118403,"21","WT_vs_severe"
"IFIT3",2.13472067291112,4.19516977310988e-07,0.00250850176583105,"21","WT_vs_severe"
"IFIT2",1.47071530670484,1.32373404976689e-05,0.0395763387529054,"21","WT_vs_severe"
"IFI6",1.32313353796862,5.06650660953202e-06,0.0201967841811311,"21","WT_vs_severe"
"GDF1",7.72740037749224,4.26979631096949e-09,5.10624940828841e-05,"21","WT_vs_severe"
"PELI2",0.800828885681877,0.000189894571812708,0.168242097397936,"21","WT_vs_severe"
"OSGIN1",-0.546089510613131,7.64953358245395e-05,0.101645302347296,"21","WT_vs_severe"
"TAP1",0.606818549807723,4.02225524255091e-05,0.0687173577795234,"21","WT_vs_severe"
"REPS2",1.71264369341657,2.580320549314e-05,0.0515731147118403,"21","WT_vs_severe"
"ZNF548",-0.66714703659499,0.000157134545071004,0.160863958389529,"21","WT_vs_severe"
"EFCAB7",0.74045734396522,0.000196955377838541,0.168242097397936,"21","WT_vs_severe"
"CERS1",-1.06855610003731,5.43825390969327e-05,0.0812950981325272,"21","WT_vs_severe"
"HTD2",0.838200065231613,0.000161415461215348,0.160863958389529,"21","WT_vs_severe"
"IFIT3",1.99744661348968,1.08721561076345e-06,0.00873330821453455,"21","mild_vs_severe"
"IFI6",1.28296000616397,1.46054155272758e-06,0.00873330821453455,"21","mild_vs_severe"
"FOXO6",1.11000676611064,4.51404848396671e-05,0.179945019399193,"21","mild_vs_severe"
"JAK1",-1.64873783479001,2.16365861703416e-05,0.142258839565389,"25","WT_vs_mild"
"CTAG1B",-1.22495938458988,2.37910928280608e-05,0.142258839565389,"25","WT_vs_mild"
"ABCC3",-1.2652999275005,1.84377643266739e-05,0.110248611791347,"25","mild_vs_severe"
"KCNG3",-0.866884088997285,3.08471961443827e-05,0.122967206230224,"25","mild_vs_severe"
"SLC34A3",-4.21947030809468,4.58344798297597e-06,0.0548134544284096,"25","mild_vs_severe"
"GBP1",1.79516556149908,2.29937969357614e-05,0.0943030634702128,"26","WT_vs_severe"
"IFIT3",2.69521792579859,1.72468820849132e-05,0.0943030634702128,"26","WT_vs_severe"
"IFIT2",2.45023260585522,5.90119319251284e-05,0.176430923473153,"26","WT_vs_severe"
"IFITM1",1.03516497924056,2.36565925587958e-05,0.0943030634702128,"26","WT_vs_severe"
"VCAN",0.576765540416021,0.000140658632903969,0.129395122376813,"26","mild_vs_severe"
"CEMIP",0.981107751483762,1.61256082102869e-05,0.0321410247644702,"26","mild_vs_severe"
"GBP1",1.48165675739906,2.44388866282409e-05,0.0389087987251272,"26","mild_vs_severe"
"IFIT3",2.47439011101453,8.02250998162189e-06,0.0321410247644702,"26","mild_vs_severe"
"IFIT2",2.03873057746957,1.35282839096078e-05,0.0321410247644702,"26","mild_vs_severe"
"IFI6",0.923467053097828,1.22915793461116e-05,0.0321410247644702,"26","mild_vs_severe"
"HELZ2",0.635823196462171,8.49969879368398e-05,0.0883953057487534,"26","mild_vs_severe"
"IFI44",1.62520072880924,2.6028128589432e-05,0.0389087987251272,"26","mild_vs_severe"
"CCDC120",-0.733070415798667,6.96154756152607e-05,0.083908327492055,"26","mild_vs_severe"
"BATF2",1.13352921269499,7.01633309574839e-05,0.083908327492055,"26","mild_vs_severe"
"SOCS3",1.60880102362268,5.34547161861789e-06,0.0321410247644702,"26","mild_vs_severe"
"USP18",0.758691616921414,8.8698358473538e-05,0.0883953057487534,"26","mild_vs_severe"
"IFIT1",1.08894299774561,0.000190914466897129,0.163081864973055,"26","mild_vs_severe"
"IFITM1",0.958111297497827,9.19102281549629e-06,0.0321410247644702,"26","mild_vs_severe"
