"gene_id","hgnc_symbol","logFC","pvalue","coefficients.1","coefficients.2","fdr","significant","experiment","comparison"
"3388","RIGI", 0.5876300,9.607898e-05, 3.42200793, 0.58763001,1.149009e-01,TRUE,"21","WT_vs_severe"
"4664","GBP1", 1.1624113,2.587496e-05, 2.55055657, 1.16241133,5.157311e-02,TRUE,"21","WT_vs_severe"
"4959","IFIT3", 2.1347207,4.195170e-07, 1.44225601, 2.13472067,2.508502e-03,TRUE,"21","WT_vs_severe"
"4961","IFIT2", 1.4707153,1.323734e-05, 0.92490321, 1.47071531,3.957634e-02,TRUE,"21","WT_vs_severe"
"5808","IFI6", 1.3231335,5.066507e-06, 3.25274701, 1.32313354,2.019678e-02,TRUE,"21","WT_vs_severe"
"6199","GDF1", 7.7274004,4.269796e-09,-5.68603702, 7.72740038,5.106249e-05,TRUE,"21","WT_vs_severe"
"7843","PELI2", 0.8008289,1.898946e-04, 2.66571059, 0.80082889,1.682421e-01,TRUE,"21","WT_vs_severe"
"7987","OSGIN1",-0.5460895,7.649534e-05, 3.73184984,-0.54608951,1.016453e-01,TRUE,"21","WT_vs_severe"
"12243","TAP1", 0.6068185,4.022255e-05, 1.62239842, 0.60681855,6.871736e-02,TRUE,"21","WT_vs_severe"
"12584","REPS2", 1.7126437,2.580321e-05, 2.88553537, 1.71264369,5.157311e-02,TRUE,"21","WT_vs_severe"
"16414","ZNF548",-0.6671470,1.571345e-04, 3.45650383,-0.66714704,1.608640e-01,TRUE,"21","WT_vs_severe"
"17769","EFCAB7", 0.7404573,1.969554e-04, 1.61551696, 0.74045734,1.682421e-01,TRUE,"21","WT_vs_severe"
"20337","CERS1",-1.0685561,5.438254e-05, 2.97381870,-1.06855610,8.129510e-02,TRUE,"21","WT_vs_severe"
"27351","HTD2", 0.8382001,1.614155e-04, 2.23726807, 0.83820007,1.608640e-01,TRUE,"21","WT_vs_severe"
"4959","IFIT3", 1.9974466,1.087216e-06, 1.57953007, 1.99744661,8.733308e-03,TRUE,"21","mild_vs_severe"
"5808","IFI6", 1.2829600,1.460542e-06, 3.29292055, 1.28296001,8.733308e-03,TRUE,"21","mild_vs_severe"
"17788","FOXO6", 1.1100068,4.514048e-05, 0.05537091, 1.11000677,1.799450e-01,TRUE,"21","mild_vs_severe"
"10653","JAK1",-1.6487378,2.163659e-05, 6.38459439,-1.64873783,1.422588e-01,TRUE,"25","WT_vs_mild"
"15317","CTAG1B",-1.2249594,2.379109e-05, 6.54985956,-1.22495938,1.422588e-01,TRUE,"25","WT_vs_mild"
"3588","ABCC3",-1.2652999,1.843776e-05, 1.53935319,-1.26529993,1.102486e-01,TRUE,"25","mild_vs_severe"
"12867","KCNG3",-0.8668841,3.084720e-05, 1.49800515,-0.86688409,1.229672e-01,TRUE,"25","mild_vs_severe"
"17301","SLC34A3",-4.2194703,4.583448e-06,-1.33636371,-4.21947031,5.481345e-02,TRUE,"25","mild_vs_severe"
"4664","GBP1", 1.7951656,2.299380e-05, 2.87298310, 1.79516556,9.430306e-02,TRUE,"26","WT_vs_severe"
"4959","IFIT3", 2.6952179,1.724688e-05, 2.37535267, 2.69521793,9.430306e-02,TRUE,"26","WT_vs_severe"
"4961","IFIT2", 2.4502326,5.901193e-05, 1.93483269, 2.45023261,1.764309e-01,TRUE,"26","WT_vs_severe"
"15743","IFITM1", 1.0351650,2.365659e-05, 3.44326673, 1.03516498,9.430306e-02,TRUE,"26","WT_vs_severe"
"552","VCAN", 0.5767655,1.406586e-04, 3.59094689, 0.57676554,1.293951e-01,TRUE,"26","mild_vs_severe"
"2850","CEMIP", 0.9811078,1.612561e-05, 6.72758079, 0.98110775,3.214102e-02,TRUE,"26","mild_vs_severe"
"4664","GBP1", 1.4816568,2.443889e-05, 3.18649190, 1.48165676,3.890880e-02,TRUE,"26","mild_vs_severe"
"4959","IFIT3", 2.4743901,8.022510e-06, 2.59618049, 2.47439011,3.214102e-02,TRUE,"26","mild_vs_severe"
"4961","IFIT2", 2.0387306,1.352828e-05, 2.34633472, 2.03873058,3.214102e-02,TRUE,"26","mild_vs_severe"
"5808","IFI6", 0.9234671,1.229158e-05, 3.91942388, 0.92346705,3.214102e-02,TRUE,"26","mild_vs_severe"
"6253","HELZ2", 0.6358232,8.499699e-05, 6.21467566, 0.63582320,8.839531e-02,TRUE,"26","mild_vs_severe"
"7523","IFI44", 1.6252007,2.602813e-05, 1.22863060, 1.62520073,3.890880e-02,TRUE,"26","mild_vs_severe"
"8868","CCDC120",-0.7330704,6.961548e-05, 2.04087647,-0.73307042,8.390833e-02,TRUE,"26","mild_vs_severe"
"12167","BATF2", 1.1335292,7.016333e-05, 1.91727564, 1.13352921,8.390833e-02,TRUE,"26","mild_vs_severe"
"15432","SOCS3", 1.6088010,5.345472e-06, 4.47409893, 1.60880102,3.214102e-02,TRUE,"26","mild_vs_severe"
"15519","USP18", 0.7586916,8.869836e-05, 2.82725582, 0.75869162,8.839531e-02,TRUE,"26","mild_vs_severe"
"15711","IFIT1", 1.0889430,1.909145e-04, 3.17445163, 1.08894300,1.630819e-01,TRUE,"26","mild_vs_severe"
"15743","IFITM1", 0.9581113,9.191023e-06, 3.52032041, 0.95811130,3.214102e-02,TRUE,"26","mild_vs_severe"
