"gene_id","hgnc_symbol","logFC","pvalue","fdr","significant","experiment","comparison"
"1","TSPAN6",0.388400404188536,0.00490646650256704,0.461668048581508,FALSE,"Exp21","WT_vs_mild"
"3","DPM1",0.17783981307364,0.103924152549435,0.537451020067743,FALSE,"Exp21","WT_vs_mild"
"4","SCYL3",-0.0731486528518406,0.586780208345975,0.843340099679546,FALSE,"Exp21","WT_vs_mild"
"5","FIRRM",0.0854090005573564,0.572906825606113,0.836442115181839,FALSE,"Exp21","WT_vs_mild"
"8","FUCA2",0.0825857754778081,0.330946706986196,0.700370141363992,FALSE,"Exp21","WT_vs_mild"
"9","GCLC",-0.0561649004422275,0.576566570455294,0.838526717210951,FALSE,"Exp21","WT_vs_mild"
"10","NFYA",0.0132996516152749,0.843066426128119,0.951191719332117,FALSE,"Exp21","WT_vs_mild"
"11","STPG1",-0.113838987212741,0.37167079553231,0.726039046679337,FALSE,"Exp21","WT_vs_mild"
"12","NIPAL3",-0.15993465014821,0.176006290745726,0.599573676820711,FALSE,"Exp21","WT_vs_mild"
"13","LAS1L",-0.130455328295157,0.359420915931623,0.722013574906512,FALSE,"Exp21","WT_vs_mild"
"15","SEMA3F",-0.0563003169739051,0.548819622303193,0.824262971253237,FALSE,"Exp21","WT_vs_mild"
"17","ANKIB1",0.094116973997032,0.24723199551486,0.648328290620061,FALSE,"Exp21","WT_vs_mild"
"18","CYP51A1",0.108185639701288,0.128260579730836,0.554889682853674,FALSE,"Exp21","WT_vs_mild"
"19","KRIT1",-0.069242735860348,0.41713541227798,0.754693251956484,FALSE,"Exp21","WT_vs_mild"
"20","RAD52",-0.0495059734530236,0.710990296062865,0.904257465767926,FALSE,"Exp21","WT_vs_mild"
"21","MYH16",0.189071985085733,0.0933881368310204,0.533099840006861,FALSE,"Exp21","WT_vs_mild"
"22","BAD",-0.0408266905294744,0.597912553035805,0.848537978854916,FALSE,"Exp21","WT_vs_mild"
"23","LAP3",0.0385644600159758,0.594864960660031,0.846701983400775,FALSE,"Exp21","WT_vs_mild"
"24","CD99",0.164304608627922,0.0289961705892397,0.467023385329071,FALSE,"Exp21","WT_vs_mild"
"29","MAD1L1",-0.257594140116037,0.039717513274015,0.470133692409009,FALSE,"Exp21","WT_vs_mild"
"30","LASP1",-0.0895582697542834,0.299243913560675,0.682168883391559,FALSE,"Exp21","WT_vs_mild"
"31","SNX11",-0.322007861581741,0.0750425227473145,0.510854681156472,FALSE,"Exp21","WT_vs_mild"
"33","M6PR",-0.0234349539766916,0.707433732338696,0.903087207406539,FALSE,"Exp21","WT_vs_mild"
"34","KLHL13",0.14780896079648,0.132764288289728,0.559650378447957,FALSE,"Exp21","WT_vs_mild"
"37","DBNDD1",0.0995936855541188,0.271249049536922,0.664999463594105,FALSE,"Exp21","WT_vs_mild"
"38","ALS2",-0.155107977070778,0.11826537217212,0.549133001714334,FALSE,"Exp21","WT_vs_mild"
"39","CASP10",0.507064717369956,0.00963680275788583,0.462837446512276,FALSE,"Exp21","WT_vs_mild"
"40","CFLAR",-0.0142097636408472,0.835524444699018,0.949368266262739,FALSE,"Exp21","WT_vs_mild"
"41","TFPI",0.42591939050584,0.1810923909046,0.602158343589083,FALSE,"Exp21","WT_vs_mild"
"42","NDUFAF7",0.0241647915525729,0.844336059053426,0.951704361478123,FALSE,"Exp21","WT_vs_mild"
"43","RBM5",0.0056570720525594,0.94634935484562,0.98538690970213,FALSE,"Exp21","WT_vs_mild"
"45","SLC7A2",-0.0130457518644136,0.841924628901631,0.951023479011304,FALSE,"Exp21","WT_vs_mild"
"46","ARF5",-0.0650790706731776,0.398438511985886,0.744403400224841,FALSE,"Exp21","WT_vs_mild"
"47","SARM1",-0.449956183494551,0.0305304536771755,0.469983970175533,FALSE,"Exp21","WT_vs_mild"
"48","POLDIP2",-0.131335399852467,0.132674843486551,0.559470540640221,FALSE,"Exp21","WT_vs_mild"
"49","PLXND1",-0.138907763739837,0.0820338164625593,0.513715213097242,FALSE,"Exp21","WT_vs_mild"
"50","AK2",-0.117800718881906,0.0975577725934343,0.534574734946624,FALSE,"Exp21","WT_vs_mild"
"52","FKBP4",-0.0918859820097279,0.187558686176208,0.604271439626051,FALSE,"Exp21","WT_vs_mild"
"53","KDM1A",0.0112267210566717,0.855747622260419,0.95577595354817,FALSE,"Exp21","WT_vs_mild"
"54","RBM6",0.0970457247287823,0.361737424145241,0.723656382628461,FALSE,"Exp21","WT_vs_mild"
"55","CAMKK1",0.0603991828423557,0.536057518189387,0.818697813764982,FALSE,"Exp21","WT_vs_mild"
"56","RECQL",0.138488647000249,0.152321664839394,0.578643728768418,FALSE,"Exp21","WT_vs_mild"
"57","VPS50",0.478352774791547,0.0809112093782353,0.513715213097242,FALSE,"Exp21","WT_vs_mild"
"58","HSPB6",0.119394115570936,0.63497386785969,0.868838957177807,FALSE,"Exp21","WT_vs_mild"
"59","ARHGAP33",-0.279054228473794,0.123096245640453,0.552513194371579,FALSE,"Exp21","WT_vs_mild"
