"gene_id","hgnc_symbol","logFC","pvalue","coefficients.1","coefficients.2","fdr","significant","experiment","comparison"
"1","TSPAN6", 4.463946e-01,1.687880e-03, 3.882260e+00, 4.463946e-01,3.567023e-01,FALSE,"21","WT_vs_severe"
"3","DPM1", 2.079933e-01,3.596432e-02, 5.350160e+00, 2.079933e-01,4.072257e-01,FALSE,"21","WT_vs_severe"
"4","SCYL3",-8.701604e-02,5.361180e-01, 3.927803e+00,-8.701604e-02,8.086898e-01,FALSE,"21","WT_vs_severe"
"5","FIRRM", 1.677323e-01,2.198130e-01, 4.669911e+00, 1.677323e-01,6.074884e-01,FALSE,"21","WT_vs_severe"
"8","FUCA2", 1.221802e-01,1.600814e-01, 5.797993e+00, 1.221802e-01,5.457466e-01,FALSE,"21","WT_vs_severe"
"9","GCLC",-2.923375e-01,4.424618e-02, 4.194304e+00,-2.923375e-01,4.196786e-01,FALSE,"21","WT_vs_severe"
"10","NFYA", 3.694496e-02,5.770817e-01, 5.704264e+00, 3.694496e-02,8.267233e-01,FALSE,"21","WT_vs_severe"
"11","STPG1",-7.594611e-02,5.581787e-01, 4.001401e+00,-7.594611e-02,8.182470e-01,FALSE,"21","WT_vs_severe"
"12","NIPAL3",-1.821661e-02,8.176988e-01, 5.796353e+00,-1.821661e-02,9.366724e-01,FALSE,"21","WT_vs_severe"
"13","LAS1L", 1.100810e-01,4.083168e-01, 5.144254e+00, 1.100810e-01,7.367995e-01,FALSE,"21","WT_vs_severe"
"15","SEMA3F",-7.378962e-03,9.376726e-01, 6.814876e+00,-7.378962e-03,9.815849e-01,FALSE,"21","WT_vs_severe"
"17","ANKIB1", 2.718863e-02,7.414303e-01, 6.615121e+00, 2.718863e-02,9.039418e-01,FALSE,"21","WT_vs_severe"
"18","CYP51A1", 1.690894e-01,1.328049e-01, 7.481317e+00, 1.690894e-01,5.145387e-01,FALSE,"21","WT_vs_severe"
"19","KRIT1",-2.233488e-01,5.894601e-02, 5.230243e+00,-2.233488e-01,4.278118e-01,FALSE,"21","WT_vs_severe"
"20","RAD52",-3.259982e-01,5.378368e-02, 4.816339e+00,-3.259982e-01,4.239941e-01,FALSE,"21","WT_vs_severe"
"21","MYH16",-2.888921e-02,7.572838e-01, 5.500167e+00,-2.888921e-02,9.109270e-01,FALSE,"21","WT_vs_severe"
"22","BAD",-6.663968e-03,9.209700e-01, 5.461193e+00,-6.663968e-03,9.751975e-01,FALSE,"21","WT_vs_severe"
"23","LAP3", 1.733335e-01,5.238550e-02, 5.945718e+00, 1.733335e-01,4.227248e-01,FALSE,"21","WT_vs_severe"
"24","CD99", 1.909956e-01,5.039565e-02, 6.761404e+00, 1.909956e-01,4.217563e-01,FALSE,"21","WT_vs_severe"
"29","MAD1L1",-1.698206e-01,3.078075e-02, 7.431033e+00,-1.698206e-01,4.017511e-01,FALSE,"21","WT_vs_severe"
"30","LASP1",-1.840412e-02,7.992896e-01, 8.669808e+00,-1.840412e-02,9.281035e-01,FALSE,"21","WT_vs_severe"
"31","SNX11", 3.313415e-02,7.582623e-01, 4.151074e+00, 3.313415e-02,9.114442e-01,FALSE,"21","WT_vs_severe"
"33","M6PR", 1.988504e-02,7.637364e-01, 8.016227e+00, 1.988504e-02,9.128047e-01,FALSE,"21","WT_vs_severe"
"34","KLHL13", 1.101905e-01,2.512966e-01, 4.006579e+00, 1.101905e-01,6.369968e-01,FALSE,"21","WT_vs_severe"
"37","DBNDD1", 6.656755e-02,4.164261e-01, 5.688751e+00, 6.656755e-02,7.423416e-01,FALSE,"21","WT_vs_severe"
"38","ALS2",-1.347809e-01,3.144420e-01, 6.146149e+00,-1.347809e-01,6.776129e-01,FALSE,"21","WT_vs_severe"
