gene_id,logFC,pvalue,fdr,significant,comparison
TSPAN6,0.1887836755947997,0.023402146292168923,0.4373254778557736,FALSE,WT_vs_severe
DPM1,0.0569552619271288,0.4267272356435391,0.8588588993948427,FALSE,WT_vs_severe
SCYL3,0.018647627468183426,0.8036481241483808,0.9622367006431798,FALSE,WT_vs_severe
FIRRM,0.06945124238718552,0.3079195647546496,0.8050336292702726,FALSE,WT_vs_severe
FUCA2,0.03451660940349578,0.43969410322261215,0.8649790658172025,FALSE,WT_vs_severe
GCLC,-0.15382005150128028,0.20816547992126164,0.7367624511539576,FALSE,WT_vs_severe
NFYA,-0.008007246551803609,0.863619434161777,0.9733148668551294,FALSE,WT_vs_severe
STPG1,0.009317922987841764,0.9318534585646808,0.9878588344096284,FALSE,WT_vs_severe
NIPAL3,0.0068334860819535305,0.8937516268525878,0.9791083754618274,FALSE,WT_vs_severe
LAS1L,0.07385530082900524,0.3373184645235313,0.8212523447143548,FALSE,WT_vs_severe
SEMA3F,0.04704961345508372,0.2842978900186134,0.7950743206525391,FALSE,WT_vs_severe
ANKIB1,-0.032592819503995514,0.6006804254265523,0.91440965600061,FALSE,WT_vs_severe
CYP51A1,0.029591338260648446,0.5623523936701733,0.9037966133404605,FALSE,WT_vs_severe
KRIT1,-0.16784400194105054,0.11456603660798727,0.6475109455864947,FALSE,WT_vs_severe
RAD52,-1.3870519187839095e-4,0.9992058231186773,0.9997703131218543,FALSE,WT_vs_severe
MYH16,-0.0623777498854306,0.30662320231678775,0.8048577615123403,FALSE,WT_vs_severe
BAD,0.06768806335746659,0.2050194238455592,0.7338113068979053,FALSE,WT_vs_severe
LAP3,0.11355020182535047,0.06250138102214543,0.5591972206941723,FALSE,WT_vs_severe
CD99,0.13699344903455407,0.0019899058621395452,0.24788837713882106,FALSE,WT_vs_severe
MAD1L1,-0.06074332654697816,0.1039702598210165,0.6251283746604004,FALSE,WT_vs_severe
LASP1,-0.012384515799479138,0.7315800029754509,0.9450564333576501,FALSE,WT_vs_severe
SNX11,0.09936892370570372,0.30641704538815195,0.8048577615123403,FALSE,WT_vs_severe
M6PR,0.0048601696477509615,0.8607577071899809,0.9725813889158147,FALSE,WT_vs_severe
KLHL13,-0.009435666322281912,0.8848646467080492,0.9768644638257703,FALSE,WT_vs_severe
DBNDD1,0.03142772039048934,0.4957932703179606,0.8787282896512248,FALSE,WT_vs_severe
ALS2,-0.1016436098119025,0.14761079159833895,0.688217332056349,FALSE,WT_vs_severe
CASP10,0.2028466704791114,0.2702060648187383,0.7877636751452233,FALSE,WT_vs_severe
CFLAR,0.07323063201125915,0.3137880233865617,0.8060532432456757,FALSE,WT_vs_severe
TFPI,-0.23162320214941529,0.06981444678466804,0.5709985417186362,FALSE,WT_vs_severe
NDUFAF7,0.013505233515271175,0.8695765326735831,0.9746312095830879,FALSE,WT_vs_severe
RBM5,-0.016202161734339984,0.8672336102120612,0.9746312095830879,FALSE,WT_vs_severe
SLC7A2,0.004545314250535184,0.919151316176845,0.9853110962853074,FALSE,WT_vs_severe
ARF5,-8.157386228476624e-4,0.9844123179171855,0.9961361428509428,FALSE,WT_vs_severe
SARM1,-0.15277233104051735,0.20068004987504784,0.7287982740527473,FALSE,WT_vs_severe
POLDIP2,0.035786149577977794,0.38079735194815234,0.844404042078288,FALSE,WT_vs_severe
PLXND1,-0.08136900982808987,0.09677430219553,0.610429832836312,FALSE,WT_vs_severe
AK2,0.0038397724183325,0.9162184863804947,0.9846578712795382,FALSE,WT_vs_severe
FKBP4,0.034240196965289925,0.24864488244163999,0.7730017139383597,FALSE,WT_vs_severe
