sample,group
Exp21-JAK1-WT-1,WT
Exp21-JAK1-WT-2,WT
Exp21-JAK1-WT-3,WT
Exp21-JAK1-S703I-1,severe_GoF
Exp21-JAK1-S703I-2,severe_GoF
Exp21-JAK1-S703I-3,severe_GoF
Exp21-JAK1-E139K-1,mild_GoF
Exp21-JAK1-E139K-2,mild_GoF
Exp21-JAK1-E139K-3,mild_GoF
Exp25-JAK1-WT-1,WT
Exp25-JAK1-WT-2,WT
Exp25-JAK1-WT-3,WT
Exp25-JAK1-S703I-1,severe_GoF
Exp25-JAK1-S703I-2,severe_GoF
Exp25-JAK1-S703I-3,severe_GoF
Exp25-JAK1-E139K-1,mild_GoF
Exp25-JAK1-E139K-2,mild_GoF
Exp25-JAK1-E139K-3,mild_GoF
Ep26-JAK1-WT-1,WT
Ep26-JAK1-WT-2,WT
Ep26-JAK1-WT-3,WT
Ep26-JAK1-S703I-1,severe_GoF
Ep26-JAK1-S703I-2,severe_GoF
Ep26-JAK1-S703I-3,severe_GoF
Ep26-JAK1-E139K-1,mild_GoF
Ep26-JAK1-E139K-2,mild_GoF
Ep26-JAK1-E139K-3,mild_GoF
