hgnc_symbol,Ep26.JAK1.E139K.1,Ep26.JAK1.E139K.2,Ep26.JAK1.E139K.3,Ep26.JAK1.S703I.1,Ep26.JAK1.S703I.2,Ep26.JAK1.S703I.3,Ep26.JAK1.WT.1,Ep26.JAK1.WT.2,Exp21.JAK1.E139K.1,Exp21.JAK1.E139K.2,Exp21.JAK1.E139K.3,Exp21.JAK1.S703I.1,Exp21.JAK1.S703I.2,Exp21.JAK1.S703I.3,Exp21.JAK1.WT.1,Exp21.JAK1.WT.2,Exp21.JAK1.WT.3,Exp25.JAK1.E139K.1,Exp25.JAK1.E139K.2,Exp25.JAK1.E139K.3,Exp25.JAK1.S703I.1,Exp25.JAK1.S703I.2,Exp25.JAK1.S703I.3,Exp25.JAK1.WT.1,Exp25.JAK1.WT.2,Exp25.JAK1.WT.3
TSPAN6,4.17805672913352,4.02434186034404,4.17900972067403,3.87951893717777,4.28026271769505,4.20247726988645,4.16643333907603,4.29106878968497,4.28134857147772,4.37578309957878,4.2500922788707,4.28391563524644,4.24858065506012,4.34254421256287,3.97148741473362,3.88636260874368,3.92395326259486,4.04990424327351,4.23457210622186,4.01701458816934,4.20340714933472,4.19562867010681,4.35813653859961,4.30515411574281,4.2899471082622,4.47007906350016
DPM1,5.42613879487736,5.65460939244754,5.60995293108539,5.64480581693391,5.47442173086284,5.85297402235693,5.5238176323005,5.4620612634604,5.48675805717684,5.38523461889393,5.60955580893951,5.60147800328648,5.45357472998381,5.42978026497252,5.34868052876528,5.13139766085008,5.27068724175664,5.82151146546459,5.84883008711568,5.98138280032484,5.9793241259945,5.83333117398714,5.7893600222235,6.00908816764685,6.17495615976233,5.91699278126846
SCYL3,3.83174678604152,3.8186218900584,3.59776694690376,3.69241503414333,3.78052985705385,3.90299292578014,3.53964273846973,3.79195784171193,3.9658741915725,3.69950955981737,3.90963446139929,3.8605817219462,3.93803030848457,3.62126148442134,3.92443624796701,3.70865933815791,4.12117788594609,3.61059098618313,3.46968907823441,3.52407449152353,3.68638539089824,3.45705061329268,3.37086377932129,3.55228006716797,3.68145984477798,3.50211108267049
FIRRM,4.67222156316233,4.85218902556083,4.42308424194878,4.67419822939794,4.54069478749834,4.68554457157885,4.70020328220693,4.71252792328788,4.87191332872168,4.55134694822052,4.88725384894911,4.83968050764873,4.8441906677873,4.68871347351178,4.83653826811356,4.4994198517675,4.69271159990449,4.46887403061473,4.38067889915267,4.25561853358107,4.54013335915436,4.23731998862502,4.39857644236607,4.45987355879685,4.68735805103595,4.39320414996773
FUCA2,6.03763259030506,6.25073232817955,6.01980693260704,6.15420274653511,5.92735498283466,6.13084990243301,6.02640795745751,6.1046827295628,5.83283026558208,5.84562262197776,5.95008139150615,5.92654499769376,5.85337152667624,5.91195714122713,5.8801452330996,5.70749576688781,5.74561208811056,6.22637642866656,6.17704313843054,6.29691884750888,6.24863684521742,6.29483279232795,6.21972533187239,6.26749368319102,6.37594142965235,6.32303271426632
GCLC,3.659599432007,3.79026271623273,3.65234407168747,3.73369483003027,3.88393297759393,3.69530486296868,3.84118746643749,3.63483908652046,3.8996230818866,4.3058575880298,4.02278341107472,4.03983400128753,3.62910902756456,3.97524466974349,4.10962485808251,4.09845537282005,3.97166897501654,3.97350101639035,4.05261943396648,4.24681701705059,4.52351271769099,4.20521526789168,3.8247570307894,3.84886321100794,4.59428451875105,3.7659212460481
NFYA,5.7128534712168,5.482202898498,5.51078501966262,5.71907095884837,5.58551344580609,5.59898593615687,5.63923120675224,5.4137451954188,5.77265991840473,5.65344136440252,5.75281393954784,5.7443008450102,5.75933251614118,5.78286983829818,5.7424813920802,5.68871648396485,5.76548257673127,5.50009192351434,5.65886483259659,5.71649236843521,5.56187837271247,5.6288309857036,5.49952107326126,5.77112744418057,5.6456674445949,5.68266397032247
STPG1,3.36003377542419,3.37722522611436,3.89453716217725,3.30828504810594,3.67168568742891,3.52008658706898,3.316063751487,3.70583220805782,3.90329517428684,3.75852899246757,3.92829665669702,3.8209987518464,3.77516475033802,3.97363951160427,3.67101155131667,4.05127212973678,4.03350791487569,3.10482681925172,3.55937357198624,3.53699431957021,3.97109285321714,3.34709997645736,3.50599232989529,3.74499038387331,3.16766044017117,3.74506026853643
NIPAL3,5.86615257923953,5.62199103576728,5.58918677784639,5.58811581175109,5.72536138033853,5.66773257817743,5.65636117425114,5.61065901593809,5.49471423354593,5.85614156102328,5.54055056833271,5.82258494106687,5.66062654901037,5.83863980731936,5.75477100210314,5.8090626405172,5.7832499009472,5.97130280093989,6.2120097065946,6.24218485108167,6.21523415332619,6.20721196138693,5.94780981402831,6.12427950126761,6.22160748172616,5.91438625907081
LAS1L,5.11852927774664,5.19292496898775,5.1620744881067,5.03476642319609,5.36087977287412,5.10421424611103,5.2367728871973,5.17893875779275,4.99615280071966,5.09027639980923,4.89144648034395,5.20383561969495,5.23936074755484,5.22825867878412,4.87240920773672,5.32923589952384,5.05830027027483,5.44482203494909,5.63719072891139,5.49978586794234,5.18699676946845,5.55714992302551,5.53473921131949,5.25767573006984,5.39081949908079,5.14545641342485
