hgnc_symbol,Ep26.JAK1.E139K.1,Ep26.JAK1.E139K.2,Ep26.JAK1.E139K.3,Ep26.JAK1.S703I.1,Ep26.JAK1.S703I.2,Ep26.JAK1.S703I.3,Ep26.JAK1.WT.1,Ep26.JAK1.WT.2,Exp21.JAK1.E139K.1,Exp21.JAK1.E139K.2,Exp21.JAK1.E139K.3,Exp21.JAK1.S703I.1,Exp21.JAK1.S703I.2,Exp21.JAK1.S703I.3,Exp21.JAK1.WT.1,Exp21.JAK1.WT.2,Exp21.JAK1.WT.3,Exp25.JAK1.E139K.1,Exp25.JAK1.E139K.2,Exp25.JAK1.E139K.3,Exp25.JAK1.S703I.1,Exp25.JAK1.S703I.2,Exp25.JAK1.S703I.3,Exp25.JAK1.WT.1,Exp25.JAK1.WT.2,Exp25.JAK1.WT.3
1,TSPAN6,4.17805672913352,4.02434186034404,4.17900972067403,3.9349807445626,4.33572452507988,4.25793907727128,4.07119098298063,4.19582643358957,4.18610621538232,4.37578309957878,4.2500922788707,4.28391563524644,4.30404246244494,4.3980060199477,4.02694922211845,3.79112025264828,3.82871090649946,3.95466188717811,4.23457210622186,4.01701458816934,4.25886895671955,4.25109047749164,4.41359834598444,4.20991175964741,4.1947047521668,4.37483670740476
3,DPM1,5.42613879487736,5.65460939244754,5.60995293108539,5.73961904775044,5.56923496167938,5.94778725317346,5.62626801590133,5.56451164706123,5.58920844077766,5.38523461889393,5.60955580893951,5.60147800328648,5.54838796080034,5.52459349578906,5.44349375958182,5.2338480444509,5.37313762535746,5.92396184906541,5.84883008711568,5.98138280032484,6.07413735681104,5.92814440480367,5.88417325304004,6.11153855124768,6.27740654336315,6.01944316486929
4,SCYL3,3.83174678604152,3.8186218900584,3.59776694690376,3.7436594440214,3.83177426693191,3.9542373356582,3.52858902786536,3.78090413110755,3.95482048096813,3.69950955981737,3.90963446139929,3.8605817219462,3.98927471836264,3.6725058942994,3.97568065784507,3.69760562755353,4.11012417534171,3.59953727557875,3.46968907823441,3.52407449152353,3.7376298007763,3.50829502317074,3.42210818919936,3.5412263565636,3.6704061341736,3.49105737206611
5,FIRRM,4.67222156316233,4.85218902556083,4.42308424194878,4.74437052252607,4.61086708062647,4.75571686470698,4.6556483935125,4.66797303459345,4.82735844002725,4.55134694822052,4.88725384894911,4.83968050764873,4.91436296091543,4.75888576663991,4.90671056124169,4.45486496307306,4.64815671121006,4.4243191419203,4.38067889915267,4.25561853358107,4.61030565228249,4.30749228175315,4.4687487354942,4.41531867010241,4.64280316234151,4.3486492612733
8,FUCA2,6.03763259030506,6.25073232817955,6.01980693260704,6.18852529115252,5.96167752745207,6.16517244705042,6.03960927737469,6.11788404947999,5.84603158549926,5.84562262197776,5.95008139150615,5.92654499769376,5.88769407129365,5.94627968584454,5.91446777771701,5.72069708680499,5.75881340802774,6.23957774858374,6.17704313843054,6.29691884750888,6.28295938983483,6.32915533694536,6.2540478764898,6.2806950031082,6.38914274956953,6.3362340341835
9,GCLC,3.659599432007,3.79026271623273,3.65234407168747,3.76455088992689,3.91478903749056,3.72616092286531,4.02734098293956,3.82099260302254,4.08577659838867,4.3058575880298,4.02278341107472,4.03983400128753,3.65996508746118,4.00610072964011,4.14048091797914,4.28460888932212,4.15782249151861,4.15965453289243,4.05261943396648,4.24681701705059,4.55436877758761,4.23607132778831,3.85561309068602,4.03501672751002,4.78043803525313,3.95207476255018
10,NFYA,5.7128534712168,5.482202898498,5.51078501966262,5.68763220875361,5.55407469571132,5.5675471860621,5.61300577157996,5.38751976024652,5.74643448323245,5.65344136440252,5.75281393954784,5.7443008450102,5.72789376604641,5.75143108820342,5.71104264198544,5.66249104879256,5.73925714155898,5.47386648834206,5.65886483259659,5.71649236843521,5.53043962261771,5.59739223560884,5.4680823231665,5.74490200900829,5.61944200942262,5.65643853515019
11,STPG1,3.36003377542419,3.37722522611436,3.89453716217725,3.41156592936739,3.77496656869036,3.62336746833043,3.38862905938607,3.77839751595689,3.9758604821859,3.75852899246757,3.92829665669702,3.8209987518464,3.87844563159946,4.07692039286572,3.77429243257812,4.12383743763584,4.10607322277475,3.17739212715079,3.55937357198624,3.53699431957021,4.07437373447858,3.45038085771881,3.60927321115673,3.81755569177237,3.24022574807024,3.8176255764355
12,NIPAL3,5.86615257923953,5.62199103576728,5.58918677784639,5.59439446037143,5.73164002895887,5.67401122679777,5.67420929540982,5.62850713709677,5.51256235470462,5.85614156102328,5.54055056833271,5.82258494106687,5.66690519763071,5.8449184559397,5.76104965072348,5.82691076167588,5.80109802210588,5.98915092209858,6.2120097065946,6.24218485108167,6.22151280194653,6.21349061000727,5.95408846264866,6.14212762242629,6.23945560288485,5.9322343802295
13,LAS1L,5.11852927774664,5.19292496898775,5.1620744881067,5.0805416949584,5.40665504463643,5.14998951787334,5.30029390365791,5.24245977425336,5.05967381718027,5.09027639980923,4.89144648034395,5.20383561969495,5.28513601931714,5.27403395054642,4.91818447949903,5.39275691598445,5.12182128673544,5.5083430514097,5.63719072891139,5.49978586794234,5.23277204123075,5.60292519478782,5.58051448308179,5.32119674653046,5.4543405155414,5.20897742988546
15,SEMA3F,6.86785337172666,6.67313160682587,6.89927912295148,6.8334501193006,6.88497002994835,6.77458109846826,6.78572720648817,6.86326082471379,6.78559757314982,6.8171916275825,6.67293749969919,6.72289977225601,6.82551351350642,6.87407747958083,6.66636674813808,6.87337311005634,6.9048877931588,7.34446801232535,7.35945915151607,7.21617047671143,7.41731174984159,7.39849386631291,7.42704896776402,7.28269270059883,7.21441471885971,7.34400888615874
17,ANKIB1,6.72317111061534,6.39453850770974,6.41004202820946,6.74446571229606,6.48290292334052,6.78429379712351,6.62670794443657,6.5580708216102,6.77009463648198,6.62530534856185,6.73231257051725,6.70031098010681,6.68502644806318,6.54159009283654,6.65607229621137,6.5320770084102,6.65721232894841,6.09998456827728,6.3574485875493,6.40530994009966,6.15649642775228,6.50108019782141,6.2872755747178,6.54277400260112,6.53138384298637,6.41363535292606
18,CYP51A1,7.16283429088476,7.13991123179113,7.08511699491183,7.09776608524543,7.06456100742551,7.2086551270934,7.09564302020103,7.15699131463747,7.56144783097185,7.59960527218762,7.60745596084795,7.74894717589222,7.74343510482711,7.45883792759999,7.53827217198968,7.45298592350817,7.4526940494057,8.30708564349687,8.1839094607373,8.32091216149728,8.25730506603047,8.29826226965184,8.21811185045236,8.33223392594391,8.34533660988191,8.34843404634044
19,KRIT1,5.13893219043612,5.13846547951236,5.2363730507197,5.53143922722034,4.88880817136057,5.3228867054338,5.45338250670272,5.20320793394664,5.17947001014263,5.22685540116428,5.07667653998153,5.17030123589124,4.9286207524421,4.92176171565073,5.12330092561224,5.25730054183169,5.31012869142555,5.05410615985644,4.80878877645079,4.56410411667664,4.41198771954746,4.51014953917538,4.98128267259324,4.58201878484883,5.055993279654,4.8118497826652
20,RAD52,4.92461257534253,4.75041732461023,5.0108681976285,5.11462018396526,4.84803957189643,4.84468478009307,5.1145523247248,4.925283775999,4.99636344563934,4.75706203644234,4.54707464019254,4.78026644064128,4.39023082299544,4.30052618835026,4.85871372594857,4.69102146628508,4.89928285039964,3.12448828153776,3.13408024072469,3.7170481864342,3.94441257611877,3.73199791884316,3.9746856713213,3.01150670296596,3.4284972738714,4.03233503030659
21,MYH16,5.8044258681959,5.59437726216996,5.83852121498345,5.5474453477015,5.45058809273773,5.69168738344322,5.63694829343269,5.67013070307823,5.58448465104702,5.7574363980459,5.72579652419468,5.44233232698495,5.4564909487714,5.51501069936433,5.36339402556259,5.48992355707613,5.64718403539168,3.87585174144789,4.03063834883849,3.79941569712438,3.65825431470499,3.93894096573751,3.8627931140524,3.94289400898692,4.0532446073008,3.68443709762793
22,BAD,5.44157476760429,5.51866921520734,5.39880567359399,5.43763255883927,5.59632903771205,5.32534556531979,5.40395307874597,5.37444535815369,5.52361974246034,5.34890534678943,5.38857254377759,5.4299160587449,5.46076142762909,5.47290831561707,5.45940344306921,5.50902435327147,5.4151499082751,5.62898580361669,5.61783236335023,5.63166484825198,5.43482212355925,5.74051053160439,5.73090602915728,5.46734628549468,5.42219208785223,5.58149628136387
23,LAP3,6.22548626028447,6.23796166593636,6.05118357303743,6.32088291838995,6.374860179844,6.45692716681889,6.06481628046484,6.17906923427855,6.01052371542374,6.01322911540163,5.9290940333822,6.16907981765382,6.05423097844811,6.13384324121888,5.99683690905759,5.97647537961499,5.86384119548706,6.05416918236122,6.1077368724221,6.12165825688688,6.08449446090011,5.97205765444637,5.84503102873381,5.96795765035481,6.17381563187265,5.95546231403126
24,CD99,7.24563243558852,7.27993635030461,7.28991238023885,7.4113267416755,7.35024881783004,7.33036901029774,7.21657463415415,7.17251952452873,6.89048278185566,6.93771229985164,6.94893129994266,6.85265565764598,7.07930081427118,6.9252429005051,6.76303741213117,6.74873482072048,6.77244032291454,7.87068885211465,7.9288589333033,7.95032474538469,7.8652497489456,7.93147623986716,7.96298808112616,7.84135130652141,7.86285703076038,7.88439024284612
29,MAD1L1,6.7877947908196,6.68246447897,6.67939595113338,6.6629232294707,6.61160158301856,6.68750367030947,6.6792806512959,6.65326400515933,7.18911123096356,7.34510022489987,6.98610383898216,7.23100905501795,7.25927708429543,7.29334983986591,7.42312638308851,7.43749318880154,7.43247814330365,8.30344718497668,8.33742134583647,8.25806250133894,8.3706596219363,8.47072983177595,8.36968753811562,8.43807507449232,8.40046528975081,8.34388803305766
30,LASP1,8.78867674990297,8.68385377781022,8.73332544744967,8.65647102012737,8.74620108252819,8.61365665120441,8.73609922333175,8.8116220520488,8.5182031458395,8.70281821718609,8.51972669880239,8.67647580496859,8.59460898401541,8.68312573192488,8.60303474075778,8.7147702909978,8.69161783933525,9.08852435391712,9.16978935372846,9.15694883434552,9.13708505106881,9.08299679070597,9.15780341391156,9.07732742228595,9.04202791971244,9.06314496885295
31,SNX11,4.11424014795629,4.08917351884345,3.86012943802031,4.13177775439861,4.29982031725589,4.44171533584939,4.17254466702553,3.9023569872041,3.76442371324483,3.56008386089901,4.16269002304515,4.05618053588957,4.39583672618981,4.10060637734693,4.13035141948433,4.17617085963395,4.14669890281593,3.97079444614174,4.23687718086815,4.09613926402043,4.05844225179452,4.4928456720274,3.91425259327634,4.0091440492383,4.43359512436359,3.89627358278812
33,M6PR,8.31663729067211,8.29771355582955,8.29022345849315,8.29766228277004,8.3310011417816,8.27036711768507,8.26459661200692,8.30007137294594,8.00985854041072,7.97889799557461,7.98961972045479,8.04381519990041,8.05233179132957,8.01218924743932,8.00361278302446,8.05973707519925,7.98533126014648,8.11459873992821,8.09063957843569,8.17176452910155,8.15748767756083,8.11049244329802,8.07214868011017,8.14723542364547,8.10428146659077,8.14906445783673
34,KLHL13,3.60219261859069,3.51806398575757,3.57316182109836,3.76393150710747,3.57608113786952,3.90091477351897,3.72388781992009,3.78301977515684,4.0822429568806,4.23251812735832,4.14840195528277,4.13570659239072,4.18087752527678,4.0337236690739,4.13702595849524,3.97955105220698,3.90315914643003,4.22313594453706,4.15066039861304,4.3159939455899,4.25707241523234,4.11465590324967,3.97815936280321,4.40100354467385,4.07648919737962,4.26667898665252
37,DBNDD1,5.74515591517327,5.58386910460467,5.67262583530522,5.56946798415876,5.6792674863662,5.5568255019124,5.66081373663317,5.59154386964339,5.67231445253937,5.90625111543635,5.78646778660635,5.72672212374687,5.68709421548218,5.85213860479546,5.74297442565793,5.62276875199354,5.70050912026824,5.76084500613905,5.8434132698084,5.67811782647151,5.44603489834712,5.47642329172192,5.67359376228752,5.54661826612743,5.35975715424081,5.56700597723103
38,ALS2,6.02514847977956,5.6783757681014,5.94723877648203,5.94086705063571,5.78527850124192,5.6628998558495,5.8206686998119,6.05984726321779,5.94612195240332,6.13784914330523,5.88915054252797,6.16998231449845,6.12078262027818,5.74333783259698,6.10331095874432,6.12669873960398,6.20843587110055,6.10198776959777,5.96498077823759,6.09724668907702,6.1059445946505,5.82009230161053,6.07110264260315,6.083634176977,5.94936134306151,6.06822470971649
39,CASP10,3.59435436463116,3.28843912027592,2.59638030782245,2.94487170290693,2.3629687858935,2.42804365726338,2.97983601692683,2.64726295954929,3.39932019301733,3.28766843025896,3.12276085488047,2.82015703240794,3.21289385034263,3.14772711125223,3.03811701769408,2.65340861502825,2.59702969332456,2.81336429831915,2.79995523934543,2.57671887589954,3.709499260352,2.27543536725562,3.15352473648941,2.86326846363836,2.31256479901736,2.58712528245239
40,CFLAR,4.34046389553237,4.11410018109374,4.23978643403707,4.48803042391131,4.68212752465188,4.54675989688322,4.42987441987881,4.31687987359316,4.8282845718834,4.78986878253985,4.90927859801777,4.95238672480919,5.04026806891292,4.6318091546846,4.90334658711485,4.83316343663078,4.83355121961793,4.79079715409851,4.7626824671097,4.77526972805333,4.55987353634348,4.83881328077282,4.7726894217872,4.9025935671557,4.71489904181896,4.47057815026818
41,TFPI,2.6164937115338,2.27862785823418,2.29162570412871,2.56725814150403,2.3666483626593,2.21328999394255,2.56830572462108,2.94605403418554,3.45905296555241,2.80596384067708,3.66316292901125,3.01931692716914,2.78024993805845,2.93661164962687,3.33328352733301,2.78953268462208,2.52760535176813,2.0499044924156,2.35441464185953,2.44976159568101,2.10802056927105,2.02980759925912,2.50426037552937,2.81920236145067,2.39791827014396,2.556885249568
42,NDUFAF7,4.23251890527222,3.76629309039509,3.41908282172519,3.89192802288052,3.76561285791835,3.73169777062127,3.61633971644064,3.67391134723503,3.76467607253917,3.72011775731732,3.93508568485137,3.83691565975896,3.70791687408719,3.6944586444294,3.90786312847942,3.88343047045542,3.5560915411153,3.38094842576443,3.26905444710368,3.29461569714456,3.14110707270082,3.81352208791898,3.52776880865518,3.42274284711842,3.56893191120939,3.63227493236961
43,RBM5,6.55473286191991,6.76721686201787,6.64918518218909,6.72847083024433,6.70683361231969,6.6141943514751,6.64898183059479,6.53843389540497,6.49732174814168,6.26770685492815,6.42179570132761,6.18576057336105,6.18114933508454,6.05473382419462,6.40977067473596,6.42427569137515,6.33580672212865,5.55852560087994,4.65471505525722,5.12671137330643,5.15742042362886,4.89117148029077,5.4930216081131,4.68801239443995,5.12987760666464,5.32631247792863
45,SLC7A2,6.5994379617476,6.47394598100593,6.50677828855438,6.4076395957915,6.47518543520855,6.45385995964468,6.52025171995802,6.39495273275273,6.35914606129467,6.44592363376344,6.34379059465257,6.53294170832017,6.48167264935198,6.30345127812308,6.40290287731746,6.37016245422802,6.41493221375844,6.06063002826742,6.25005453335346,6.35704965538949,6.20395826644869,6.19172709624466,6.21836389713579,6.38163914737677,6.21700026784231,6.07839994465975
