sample,group,experiment
Exp21-JAK1-WT-1,WT,21
Exp21-JAK1-WT-2,WT,21
Exp21-JAK1-WT-3,WT,21
Exp21-JAK1-S703I-1,severe_GoF,21
Exp21-JAK1-S703I-2,severe_GoF,21
Exp21-JAK1-S703I-3,severe_GoF,21
Exp21-JAK1-E139K-1,mild_GoF,21
Exp21-JAK1-E139K-2,mild_GoF,21
Exp21-JAK1-E139K-3,mild_GoF,21
Exp25-JAK1-WT-1,WT,25
Exp25-JAK1-WT-2,WT,25
Exp25-JAK1-WT-3,WT,25
Exp25-JAK1-S703I-1,severe_GoF,25
Exp25-JAK1-S703I-2,severe_GoF,25
Exp25-JAK1-S703I-3,severe_GoF,25
Exp25-JAK1-E139K-1,mild_GoF,25
Exp25-JAK1-E139K-2,mild_GoF,25
Exp25-JAK1-E139K-3,mild_GoF,25
Ep26-JAK1-WT-1,WT,26
Ep26-JAK1-WT-2,WT,26
Ep26-JAK1-WT-3,WT,26
Ep26-JAK1-S703I-1,severe_GoF,26
Ep26-JAK1-S703I-2,severe_GoF,26
Ep26-JAK1-S703I-3,severe_GoF,26
Ep26-JAK1-E139K-1,mild_GoF,26
Ep26-JAK1-E139K-2,mild_GoF,26
Ep26-JAK1-E139K-3,mild_GoF,26
