File Name,/Volumes/SONY_8X/qPCR/LC 15 FEB 2024_20240215_114817.eds,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,
Operator,Guest,,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 6 Pro System,,,,,,,,,,,,,,,,,,,,
Block Type,384-Well Block,,,,,,,,,,,,,,,,,,,,
Instrument Name,2778621090009,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,2778621090009,,,,,,,,,,,,,,,,,,,,
Heated Cover Serial Number,2779321081205,,,,,,,,,,,,,,,,,,,,
Block Serial Number,2778321081219,,,,,,,,,,,,,,,,,,,,
Run Start Date/Time,2024-02-15 11:48:05 AM EST,,,,,,,,,,,,,,,,,,,,
Run End Date/Time,2024-02-15 01:20:40 PM EST,,,,,,,,,,,,,,,,,,,,
Run Duration,92 minutes 34 seconds,,,,,,,,,,,,,,,,,,,,
Sample Volume,10.0,,,,,,,,,,,,,,,,,,,,
Cover Temperature,105.0,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
PCR Stage/Step Number,Stage 2 Step 2,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,CT,,,,,,,,,,,,,,,,,,,,
Analysis Date/Time,2024-02-15 01:21:15 PM EST,,,,,,,,,,,,,,,,,,,,
Software Name and Version,Design & Analysis Software v2.6.0,,,,,,,,,,,,,,,,,,,,
Plugin Name and Version,"Primary Analysis v1.7.0, Standard Curve v1.6.0",,,,,,,,,,,,,,,,,,,,
Exported On,2024-02-15 02:22:06 PM EST,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
[Results],,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Sample Name,Target Name,Task,Reporter,Quencher,Amp Status,CT,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
1,A1,C1,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,18.15924057,17.95590488,0.976018216,0.287560096,TRUE,0.493090908,TRUE,3,11,,,,,FALSE
2,A2,C1,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,17.75256919,17.95590488,0.987003217,0.287560096,TRUE,0.493090908,TRUE,3,11,,,,,FALSE
3,A3,,,,,,,,,,,,,,,,,,,,
4,A4,C1 IFN,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,17.60077369,17.57588583,0.984696649,0.03519675,TRUE,0.493090908,TRUE,3,10,,,,,FALSE
5,A5,C1 IFN,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,17.55099797,17.57588583,0.980860793,0.03519675,TRUE,0.493090908,TRUE,3,11,,,,,FALSE
6,A6,,,,,,,,,,,,,,,,,,,,
7,A7,C1 DDC,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,21.46246116,21.49535161,0.979809618,0.04651412,TRUE,0.493090908,TRUE,3,14,,,,,FALSE
8,A8,C1 DDC,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,21.52824206,21.49535161,0.985717916,0.04651412,TRUE,0.493090908,TRUE,3,15,,,,,FALSE
9,A9,,,,,,,,,,,,,,,,,,,,
10,A10,C1 ++,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,21.11660909,20.91777125,0.978097592,0.281199167,TRUE,0.493090908,TRUE,3,14,,,,,FALSE
11,A11,C1 ++,CYB,UNKNOWN,FAM,NFQ-MGB,Amp,20.71893341,20.91777125,0.984876802,0.281199167,TRUE,0.493090908,TRUE,3,13,,,,,FALSE
12,A12,,,,,,,,,,,,,,,,,,,,
13,A13,,,,,,,,,,,,,,,,,,,,
14,A14,,,,,,,,,,,,,,,,,,,,
15,A15,,,,,,,,,,,,,,,,,,,,
16,A16,,,,,,,,,,,,,,,,,,,,
17,A17,,,,,,,,,,,,,,,,,,,,
18,A18,,,,,,,,,,,,,,,,,,,,
19,A19,,,,,,,,,,,,,,,,,,,,
20,A20,,,,,,,,,,,,,,,,,,,,
21,A21,,,,,,,,,,,,,,,,,,,,
22,A22,,,,,,,,,,,,,,,,,,,,
23,A23,,,,,,,,,,,,,,,,,,,,
24,A24,,,,,,,,,,,,,,,,,,,,
25,B1,C1,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,17.69113699,17.79310356,0.987007226,0.144202507,TRUE,0.361380385,TRUE,3,11,,,,,FALSE
26,B2,C1,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,17.89507013,17.79310356,0.983733816,0.144202507,TRUE,0.361380385,TRUE,3,12,,,,,FALSE
27,B3,,,,,,,,,,,,,,,,,,,,
28,B4,C1 IFN,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,17.68570562,17.59956089,0.981268882,0.121827039,TRUE,0.361380385,TRUE,3,10,,,,,FALSE
29,B5,C1 IFN,ND2,UNKNOWN,FAM,NFQ-MGB,Amp,17.51341617,17.59956089,0.981512458,0.121827039,TRUE,0.361380385,TRUE,3,11,,,,,FALSE
30,B6,,,,,,,,,,,,,,,,,,,,
