# File Name: /shared/data/ui/current_run/Exp12_4.29.24_.u4cs_20240429_144802.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-04-29 02:48:00 PM EDT
# Run End Date/Time: 2024-04-29 04:22:07 PM EDT
# Run Duration: 94 minutes 6 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-29 04:22:51 PM EDT
# Exported On: 2024-04-29 04:22:52 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 1","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2313290753557133","","","16.28484315694299","0.8215440508466338","16.706922949535926","0.7612048738178162","true","0.06929988185099606","true","3","13"
"1","A1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5607542423209093","","","29.226791675035102","0.9822222532296195","29.219363242476504","0.09710383350800218","true","0.4912047008362138","true","3","24"
"2","A2","false","pTRIP JAK1 D99E 1","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.0608881273569017","","","16.75839608192183","0.5134718741518328","16.7278444235489","0.36917454771741703","true","0.06929988185099606","true","3","13"
"2","A2","false","pTRIP JAK1 D99E 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5794197778639616","","","15.899891487514488","0.9920321016815785","15.744002494265175","0.1674396599971436","true","0.4912047008362138","true","3","10"
"3","A3","false","pTRIP Luciferase 2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.3427503791277566","","","13.84039640956393","0.5487233592331046","15.517979786183114","1.498761965908322","true","0.06929988185099606","true","3","10"
"3","A3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.6855600050019803","","","27.93928496960966","0.9888198649050264","28.519473887790284","0.5336370384239644","true","0.4912047008362138","true","3","23"
"4","A4","false","pTRIP JAK1 D99E 2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.0834230343170899","","","16.343663379010273","0.5203556073848516","16.53037707911167","0.3348627650626936","true","0.06929988185099606","true","3","12"
"4","A4","false","pTRIP JAK1 D99E 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5812640781969038","","","15.837437162497068","0.9921808372037612","15.668303511543717","0.15186915816155713","true","0.4912047008362138","true","3","9"
"5","A5","false","pTRIP Luciferase 3","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2386243492633218","","","15.93178363329153","0.8367925303351142","16.102282809575","1.3689243600830863","true","0.06929988185099606","true","3","12"
"5","A5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5656445432901347","","","29.181299844786054","0.9888463803495756","29.052832461248858","0.17610318519903656","true","0.4912047008362138","true","3","24"
