# File Name: /shared/data/ui/current_run/Exp13.5_5.8.2024_u4cs_20240508_130258.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-05-08 01:02:43 PM EDT
# Run End Date/Time: 2024-05-08 02:36:10 PM EDT
# Run Duration: 93 minutes 27 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-05-08 02:37:03 PM EDT
# Exported On: 2024-05-08 02:37:05 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 1","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2315399510458738","","","17.310377202798932","0.924197184169442","17.080431966511007","1.5080940979009836","true","0.08874932566021473","true","3","14"
"1","A1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5468430729304283","","","25.267763081938334","0.9895655044772792","25.25409819421252","0.06165148637746151","true","0.4829531670913436","true","3","20"
"2","A2","false","pTRIP Luciferase 1","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2214768952804498","","","15.803209849604247","0.7506369390475243","17.080431966511007","1.5080940979009836","true","0.08874932566021473","true","3","11"
"2","A2","false","pTRIP Luciferase 1","IFI44L","UNKNOWN","FAM","NFQ-MGB","Inconclusive","1.151535789408513","","","37.3729015137794","0.48946175171470196","37.2610788041823","0.2021861973704701","true","0.12072340798867408","true","3","33"
"3","A3","false","pTRIP Luciferase 2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2150457709734244","","","17.58043458468599","0.9457567757627143","17.710614296949167","0.7586959722064748","true","0.08874932566021473","true","3","13"
"3","A3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5356560614792882","","","25.152905995034686","0.9939936524390266","25.22591960305981","0.0687691208791031","true","0.4829531670913436","true","3","19"
"4","A4","false","pTRIP Luciferase 2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.24523092723903","","","17.192643236195096","0.936752343730943","17.710614296949167","0.7586959722064748","true","0.08874932566021473","true","3","13"
"4","A4","false","pTRIP Luciferase 2","IFI44L","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.12072340798867408","true","3","39"
"5","A5","false","pTRIP Luciferase 3","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2356513677715162","","","17.40260974367174","0.9217361279765439","17.584797706532232","0.24550855128804644","true","0.08874932566021473","true","3","12"
"5","A5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5490922115606578","","","25.178971967619148","0.9888339828689872","24.77978784253519","0.687666785594151","true","0.4829531670913436","true","3","19"
