# File Name: /shared/data/ui/current_run/Exp13_5.3.24_u4cs_copy_20240503_114213.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-05-03 11:42:40 AM EDT
# Run End Date/Time: 2024-05-03 01:15:48 PM EDT
# Run Duration: 93 minutes 7 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-05-03 01:16:36 PM EDT
# Exported On: 2024-05-03 01:16:38 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 1","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2131597891812784","","","17.46171989754788","0.8912698177715098","17.279399429455573","0.7480067254800555","true","0.09209755583144416","true","3","13"
"1","A1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.545575222687743","","","29.16323869254894","0.9824579721315142","29.230099517980193","0.059045813040284764","true","0.519158563344567","true","3","23"
"2","A2","false","pTRIP JAK1 G307S 1","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.186412617533527","","","17.669804596286703","0.8697269377338046","17.776947020356676","0.26098994446747886","true","0.09209755583144416","true","3","12"
"2","A2","false","pTRIP JAK1 G307S 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5573690721058713","","","20.21857023352525","0.9860786242316185","20.229822160340657","0.033934299134417756","true","0.519158563344567","true","3","12"
"3","A3","false","pTRIP Luciferase 2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.218838377354245","","","17.82999852245787","0.9346158895075146","18.008192812551254","1.5757346826066483","true","0.09209755583144416","true","3","13"
"3","A3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5568376370731882","","","29.3535014586992","0.9870965177054654","29.287167784124986","0.11407883666004928","true","0.519158563344567","true","3","24"
"4","A4","false","pTRIP JAK1 G307S 2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.1976369352204594","","","17.310962072479263","0.857555442953073","17.361913386209487","0.502570723730399","true","0.09209755583144416","true","3","13"
"4","A4","false","pTRIP JAK1 G307S 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5583953587464168","","","19.55305324872343","0.9886601540910476","19.57091221484743","0.03517718921219489","true","0.519158563344567","true","3","13"
"5","A5","false","pTRIP Luciferase 3","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.237249400530462","","","17.712123188418843","0.9567889435647049","17.431440969588728","0.8012171170202085","true","0.09209755583144416","true","3","14"
"5","A5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.548782351753002","","","29.13119820147906","0.9821180076420057","29.250636223098095","0.11298315950274637","true","0.519158563344567","true","3","23"
"6","A6","false","pTRIP JAK1 G307S 3","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2018004861408955","","","17.44619624376476","0.8359262541418234","17.53891307905344","0.21659692635364475","true","0.09209755583144416","true","3","13"
"6","A6","false","pTRIP JAK1 G307S 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.546610993313924","","","20.106553994913043","0.9772792697222619","20.022923441816715","0.1167324737654626","true","0.519158563344567","true","3","13"
"7","A7","false","pTRIP JAK1 WT 1","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2094641832130555","","","17.529094713355725","0.8509043552076359","17.636070014858756","0.21723074150410324","true","0.09209755583144416","true","3","13"
"7","A7","false","pTRIP JAK1 WT 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.554830109986796","","","20.280633806984177","0.9727712694448933","20.367114463044608","0.08793679866723982","true","0.519158563344567","true","3","13"
"8","A8","false","pTRIP JAK1 R360W 1","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.225962260669474","","","17.552817739701673","0.8212262516804186","17.681411858297373","0.31379114516015977","true","0.09209755583144416","true","3","13"
"8","A8","false","pTRIP JAK1 R360W 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5529842662711062","","","20.596790527052136","0.9794927950318866","20.57519000001213","0.026044305674360037","true","0.519158563344567","true","3","13"
