# File Name: /shared/data/ui/current_run/Exp15_redo_3uL_cDNA_5.28.24_20240528_165633.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-05-28 04:55:47 PM EDT
# Run End Date/Time: 2024-05-28 06:30:07 PM EDT
# Run Duration: 94 minutes 20 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-05-28 06:31:23 PM EDT
# Exported On: 2024-05-28 06:31:25 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 0 u/mL IFN-a2b 1","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2262652667715193","","","14.855232410640337","0.9156678736675427","15.142894098647089","0.33141027162863645","true","0.0936681480353082","true","3","10"
"1","A1","false","pTRIP Luciferase 0 u/mL IFN-a2b 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5977167511914623","","","28.178024342690144","0.9882990582129764","28.285293568448328","0.17439568280365034","true","0.7222560615768018","true","3","22"
"2","A2","false","pTRIP JAK1 E139K 0 u/mL IFN-a2b 1","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2048939020010707","","","14.980240304768088","0.8885631157691184","15.049620819202403","0.464303184843558","true","0.0936681480353082","true","3","11"
"2","A2","false","pTRIP JAK1 E139K 0 u/mL IFN-a2b 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5988436458700805","","","20.845181526740944","0.9916021605538311","20.75620280890544","0.297816033831945","true","0.7222560615768018","true","3","13"
"3","A3","false","pTRIP Luciferase 0 u/mL IFN-a2b 2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2201077291457816","","","14.478784833931789","0.9124052429115938","14.646256052788791","0.5186671159469597","true","0.0936681480353082","true","3","11"
"3","A3","false","pTRIP Luciferase 0 u/mL IFN-a2b 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.609514161228278","","","27.788583938010397","0.9906880121902556","27.959067348303176","0.14929433579020074","true","0.7222560615768018","true","3","21"
"4","A4","false","pTRIP JAK1 E139K 0 u/mL IFN-a2b 2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2342668213239807","","","14.738903905713585","0.9280238356401517","15.007428314959228","0.6088073083592169","true","0.0936681480353082","true","3","11"
"4","A4","false","pTRIP JAK1 E139K 0 u/mL IFN-a2b 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5962922953860876","","","20.923211627696","0.9909844857160813","20.91214508863268","0.05761699291540728","true","0.7222560615768018","true","3","12"
"5","A5","false","pTRIP Luciferase 100 u/mL IFN-a2b 1","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.2341659387234079","","","14.48305214580158","0.9290662119437633","14.933381123218778","0.3279000783913205","true","0.0936681480353082","true","3","10"
"5","A5","false","pTRIP Luciferase 100 u/mL IFN-a2b 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.6036654465563849","","","27.898048451935267","0.9940757652142493","28.08691621803028","0.16406608122674948","true","0.7222560615768018","true","3","21"
