# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","B-ACTIN","2.788036346435547","-0.011496015957423746","pTRIP Luciferase 1","FALSE"
"1","A1","2","B-ACTIN","2.793121814727783","-0.009175470897129414","pTRIP Luciferase 1","FALSE"
"1","A1","3","B-ACTIN","2.8046724796295166","-3.8972922733845504E-4","pTRIP Luciferase 1","FALSE"
"1","A1","4","B-ACTIN","2.8090198040008545","0.0011926719120569956","pTRIP Luciferase 1","FALSE"
"1","A1","5","B-ACTIN","2.8105082511901855","-8.38041305543896E-5","pTRIP Luciferase 1","FALSE"
"1","A1","6","B-ACTIN","2.8124120235443115","-9.449550083704089E-4","pTRIP Luciferase 1","FALSE"
"1","A1","7","B-ACTIN","2.814847707748413","-0.0012741940362112863","pTRIP Luciferase 1","FALSE"
"1","A1","8","B-ACTIN","2.8209803104400635","0.0020934854234966644","pTRIP Luciferase 1","FALSE"
"1","A1","9","B-ACTIN","2.8210582733154297","-5.934749330791206E-4","pTRIP Luciferase 1","FALSE"
"1","A1","10","B-ACTIN","2.823493242263794","-9.234292166573027E-4","pTRIP Luciferase 1","FALSE"
"1","A1","11","B-ACTIN","2.8570821285247803","0.029900533812386585","pTRIP Luciferase 1","FALSE"
"1","A1","12","B-ACTIN","2.8834235668182373","0.05347704887390118","pTRIP Luciferase 1","FALSE"
"1","A1","13","B-ACTIN","2.90751314163208","0.07480170045580195","pTRIP Luciferase 1","FALSE"
