# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","TAMRA","FAM","ROX"
"1","A1","2","2","1","1243611.8","706742.2","653211.2","446052.94"
"1","A1","2","2","2","1237593.5","702301.06","648187.44","443086.12"
"1","A1","2","2","3","1225104.0","692943.25","637369.25","436808.22"
"1","A1","2","2","4","1216750.5","686148.44","631195.25","433158.4"
"1","A1","2","2","5","1212449.0","681832.8","627491.6","431398.5"
"1","A1","2","2","6","1209659.8","680216.06","626354.1","430114.7"
"1","A1","2","2","7","1210320.9","679230.4","625004.2","429977.38"
"1","A1","2","2","8","1215417.1","677873.2","625014.0","430849.2"
"1","A1","2","2","9","1217634.1","676798.2","626684.8","431623.2"
"1","A1","2","2","10","1219848.1","676204.06","628197.75","432035.1"
"1","A1","2","2","11","1227086.9","675805.4","628283.4","429489.53"
"1","A1","2","2","12","1238088.6","674473.0","628344.5","429381.47"
"1","A1","2","2","13","1256233.9","672425.8","629313.6","432064.72"
"1","A1","2","2","14","1287910.2","668581.8","629854.8","434460.56"
"1","A1","2","2","15","1331582.5","664513.5","631649.1","436960.3"
"1","A1","2","2","16","1389711.5","658282.7","631791.06","438284.22"
"1","A1","2","2","17","1457274.2","651237.1","630992.2","442438.94"
"1","A1","2","2","18","1530022.9","644956.06","630804.8","446012.25"
"1","A1","2","2","19","1602897.8","638123.94","631940.94","448876.44"
