# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"pTRIP JAK1 E139K 1","B-ACTIN","12.4935293551557","","12.4935293551557","0.566733188548872","0.1636017794836931","-0.27270382322703135","1.2080698083325911","0.8126192930727214","1.795961127487209","FALSE"
"pTRIP JAK1 E139K 1","IFI27","30.466443649169978","","30.466443649169978","0.08699324599709844","0.05022557399410412","-0.46605670769551466","1.3813287426607546","0.8458221351348129","2.255875101916812","FALSE"
"pTRIP JAK1 E139K 1","JAK1","17.50549093832721","","17.50549093832721","0.07468098929023999","0.04311708927006762","-0.3826277293306859","1.3037142835497566","0.8556834071775359","1.9863315320534318","FALSE"
"pTRIP JAK1 E139K 1","MX1","28.009788410665127","","28.009788410665127","0.05907079201867811","0.03410453767322821","-0.27631636384200675","1.2110986326625683","0.8680294648728168","1.6897581906992654","FALSE"
"pTRIP JAK1 E139K 1","RSAD2","34.28359494782651","","34.28359494782651","0.47302161321937786","0.2730991557247189","-0.10426818137825933","1.0749489756531505","0.0746642408867764","15.476154133945103","FALSE"
"pTRIP JAK1 E139K 2","B-ACTIN","12.629228464978","","12.629228464978","0.38243303802181505","0.11039890872445066","-0.13700471340473008","1.0996197418578673","0.8414691727442412","1.4369671710493896","FALSE"
"pTRIP JAK1 E139K 2","IFI27","30.331841532875913","","30.331841532875913","0.14840281181992915","0.08568040335273347","-0.6006588239895798","1.5164088947232024","0.6567897742033169","3.5011140951226336","FALSE"
"pTRIP JAK1 E139K 2","JAK1","17.35841106602528","","17.35841106602528","0.0339346593955035","0.01959218473685221","-0.5297076016326159","1.4436365766769725","1.1922381014109162","1.7480455984867973","FALSE"
"pTRIP JAK1 E139K 2","MX1","28.014314857172263","","28.014314857172263","0.034154901643714","0.01971934165814347","-0.27178991733487123","1.2073047731292421","0.9958243379855914","1.4636967180066454","FALSE"
"pTRIP JAK1 E139K 2","RSAD2","35.425008052295205","","35.425008052295205","0.2919779899042954","0.1685735710686908","1.0371449230904375","0.4872908631426701","0.0939354851447853","2.5278241224425115","FALSE"
"pTRIP JAK1 E139K 3","B-ACTIN","12.583376772007544","","12.583376772007544","0.4698719781850097","0.13564035654488865","-0.18285640637518696","1.1351291154013645","0.8170942548010719","1.5769516197927305","FALSE"
"pTRIP JAK1 E139K 3","IFI27","30.693325244633012","","30.693325244633012","0.07458143455675208","0.04305961131788927","-0.23917511223248056","1.1803175998809692","0.7751278600437688","1.7973159118678887","FALSE"
"pTRIP JAK1 E139K 3","JAK1","17.321447158797117","","17.321447158797117","0.14347003066235295","0.08283246082355335","-0.5666715088607788","1.4811025233814106","0.6595898266857536","3.325801272268414","FALSE"
"pTRIP JAK1 E139K 3","MX1","28.136846962844512","","28.136846962844512","0.08334682607780158","0.04812031247211967","-0.14925781166262198","1.1089988055657938","0.6931735229891945","1.7742719679232888","FALSE"
"pTRIP JAK1 E139K 3","RSAD2","35.00176453362305","","35.00176453362305","0.5469540978682899","0.3157840956386261","0.6139014044182858","0.6534272814575565","0.029914765068607893","14.272791752627391","FALSE"
"pTRIP JAK1 I578V 1","B-ACTIN","12.5882960280489","","12.5882960280489","0.4209039539214646","0.12150450554976773","-0.17793715033383073","1.131265179258193","0.8426951774520517","1.5186522244870546","FALSE"
"pTRIP JAK1 I578V 1","IFI27","30.929560712403866","","30.929560712403866","0.5329952438589888","0.30772494751877744","-0.002939644461626756","1.0020396836007694","0.04963110242817159","20.230933394314295","FALSE"
"pTRIP JAK1 I578V 1","JAK1","20.72928953702939","","20.72928953702939","0.07404454198044416","0.04274963624443198","2.8411708693714957","0.13954759158397703","0.09192031069326881","0.21185231174718472","FALSE"
"pTRIP JAK1 I578V 1","MX1","28.396010490409857","","28.396010490409857","0.050184191828780284","0.028973856661410117","0.10990571590272324","0.9266486189528405","0.6982813023793596","1.2297016404152652","FALSE"
"pTRIP JAK1 I578V 1","RSAD2","35.273680036876684","","35.273680036876684","0.48284907716665126","0.2787730446801285","0.8858169076719165","0.5411809991481327","0.03556338566340531","8.23534847359432","FALSE"
