# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"pTRIP JAK1 E139K 1","B-ACTIN","12","-","0","12.493529355155696","0.5667331885489558","0.1636017794837173",
"pTRIP JAK1 E139K 1","IFI27","3","-","0","30.466443649169978","0.08699324599673018","0.050225573993891506",
"pTRIP JAK1 E139K 1","JAK1","3","-","0","17.50549093832721","0.07468098929022036","0.04311708927005629",
"pTRIP JAK1 E139K 1","MX1","3","-","0","28.009788410665127","0.05907079201922369","0.0341045376735432",
"pTRIP JAK1 E139K 1","RSAD2","3","-","0","34.28359494782651","0.4730216132192937","0.27309915572467025",
"pTRIP JAK1 E139K 2","B-ACTIN","12","-","0","12.629228464977999","0.38243303802188167","0.11039890872446989",
"pTRIP JAK1 E139K 2","IFI27","3","-","0","30.331841532875913","0.14840281181996573","0.08568040335275459",
"pTRIP JAK1 E139K 2","JAK1","3","-","0","17.35841106602528","0.03393465939505873","0.019592184736595422",
"pTRIP JAK1 E139K 2","MX1","3","-","0","28.014314857172263","0.03415490164391561","0.01971934165825987",
"pTRIP JAK1 E139K 2","RSAD2","3","-","0","35.425008052295205","0.2919779899041395","0.16857357106860077",
"pTRIP JAK1 E139K 3","B-ACTIN","12","-","0","12.583376772007545","0.46987197818501386","0.13564035654488987",
