# File Name: /Volumes/USB DISK/qPCR/Exp16_6.7.24_u4cs_20240607_170611.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-06-07 05:05:12 PM EDT
# Run End Data/Time: 2024-06-07 06:39:43 PM EDT
# Run Duration: 94 minutes 30 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-06-10 09:51:37 AM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Relative Quantification v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-06-10 09:52:04 AM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","FALSE","pTRIP Luciferase 1","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.208957670348864","","","11.688118033876684","0.8859922748642813","12.673759675026664","0.5286039584560739","TRUE","0.03999999910593033","TRUE","3","9"
"1","A1","FALSE","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5951084514731795","","","26.12381582338134","0.9880583784024157","26.173056378058458","0.06822361625978332","TRUE","0.6244082369160369","TRUE","3","20"
"2","A2","FALSE","pTRIP JAK1 N11S 1","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.1965234061962018","","","12.982787108750678","0.7729795870623832","12.720248611887458","0.6654389165878057","TRUE","0.03999999910593033","TRUE","3","9"
"2","A2","FALSE","pTRIP JAK1 N11S 1","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5867618847432239","","","17.188140217270707","0.9895560872898382","17.117635869370407","0.06121247828011095","TRUE","0.6244082369160369","TRUE","3","10"
"3","A3","FALSE","pTRIP Luciferase 2","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.2216997920933133","","","11.476474849714489","0.868597231195325","12.014289815690715","1.3222783658159822","TRUE","0.03999999910593033","TRUE","3","8"
"3","A3","FALSE","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.6000081220008096","","","26.08141658377434","0.9885042399383758","26.187403539304867","0.09187755076720584","TRUE","0.6244082369160369","TRUE","3","20"
"4","A4","FALSE","pTRIP JAK1 N11S 2","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.1975538866976176","","","12.581160973374452","0.8885936769853237","12.50611970402237","0.4751314614075072","TRUE","0.03999999910593033","TRUE","3","10"
"4","A4","FALSE","pTRIP JAK1 N11S 2","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5775626854497002","","","16.693052036022934","0.9882918279081093","16.683886384373572","0.02358498191443406","TRUE","0.6244082369160369","TRUE","3","10"
"5","A5","FALSE","pTRIP Luciferase 3","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.2546484290922957","","","12.504724788872302","0.938432084585055","12.38878275303341","0.6004692531840167","TRUE","0.03999999910593033","TRUE","3","9"
"5","A5","FALSE","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.638429884669549","","","25.882518347725714","0.9907099028492018","26.078472095715217","0.1734186935350532","TRUE","0.6244082369160369","TRUE","3","20"
"6","A6","FALSE","pTRIP JAK1 N11S 3","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.204503721588982","","","12.82418713188439","0.8103063270056572","12.902911023014324","0.37374728588419576","TRUE","0.03999999910593033","TRUE","3","10"
"6","A6","FALSE","pTRIP JAK1 N11S 3","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5731245973459846","","","17.07858664020604","0.9881498907002062","17.048205692636632","0.027545436586059676","TRUE","0.6244082369160369","TRUE","3","10"
"7","A7","FALSE","pTRIP JAK1 WT 1","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.2314725644227362","","","11.559837340412365","0.7146010178745364","12.412272409635365","0.41233252742227045","TRUE","0.03999999910593033","TRUE","3","9"
"7","A7","FALSE","pTRIP JAK1 WT 1","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.608930948414921","","","17.01411823784712","0.979421288869893","17.17922329570605","0.15227444027848963","TRUE","0.6244082369160369","TRUE","3","9"
"8","A8","FALSE","pTRIP JAK1 S153T 1","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.2028448356039338","","","13.083411736817741","0.8525216950842158","12.766233178382732","0.6500146247667998","TRUE","0.03999999910593033","TRUE","3","11"
"8","A8","FALSE","pTRIP JAK1 S153T 1","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5765319082535527","","","17.917618936308124","0.9918697963763978","17.888118667657896","0.06120801200350342","TRUE","0.6244082369160369","TRUE","3","11"
"9","A9","FALSE","pTRIP JAK1 WT 2","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.2146617723113722","","","12.203982220556451","0.8460646655319188","12.584105510624084","0.48449508182360557","TRUE","0.03999999910593033","TRUE","3","10"
"9","A9","FALSE","pTRIP JAK1 WT 2","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5897798966398735","","","17.100013743923","0.9902316907060407","17.22447571742053","0.10779982486823944","TRUE","0.6244082369160369","TRUE","3","10"
"10","A10","FALSE","pTRIP JAK1 S153T 2","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.2070209163774255","","","12.887877231521092","0.8084751048438947","12.377095796031247","0.5640835757477126","TRUE","0.03999999910593033","TRUE","3","10"
"10","A10","FALSE","pTRIP JAK1 S153T 2","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5657494223272321","","","18.050445587782637","0.984255320509375","17.98883336646909","0.05431871569343985","TRUE","0.6244082369160369","TRUE","3","11"
"11","A11","FALSE","pTRIP JAK1 WT 3","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.213891731797692","","","11.458788206368244","0.7279694703627607","12.600750853992606","0.45763890668065654","TRUE","0.03999999910593033","TRUE","3","8"
"11","A11","FALSE","pTRIP JAK1 WT 3","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5854122404841409","","","17.364658463974337","0.9911532844884322","17.435950562842148","0.061798996686990224","TRUE","0.6244082369160369","TRUE","3","10"
"12","A12","FALSE","pTRIP JAK1 S153T 3","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.1935776146625603","","","13.419431242173204","0.8238326111912861","13.042489959734311","0.3646439262407794","TRUE","0.03999999910593033","TRUE","3","11"
"12","A12","FALSE","pTRIP JAK1 S153T 3","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5657416580797747","","","17.928797618388806","0.9904610214750851","17.8642782298783","0.08766475653979577","TRUE","0.6244082369160369","TRUE","3","12"
"13","A13","FALSE","pTRIP JAK1 S703I 1","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.2219314033123754","","","11.59770613264693","0.6972764475217761","12.435196940304929","0.4915269331854466","TRUE","0.03999999910593033","TRUE","3","9"
"13","A13","FALSE","pTRIP JAK1 S703I 1","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5817634435820198","","","17.34173634495437","0.9851474166888462","17.559710351773344","0.20820922513263046","TRUE","0.6244082369160369","TRUE","3","10"
"14","A14","FALSE","pTRIP JAK1 S512L 1","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.2137570320565967","","","11.605415208901437","0.8284166954370072","12.569756467734715","1.2330879943637716","TRUE","0.03999999910593033","TRUE","3","8"
"14","A14","FALSE","pTRIP JAK1 S512L 1","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5879264696130013","","","26.214419981059244","0.9897373445831905","26.272728701366447","0.10245715491934666","TRUE","0.6244082369160369","TRUE","3","19"
"15","A15","FALSE","pTRIP JAK1 S703I 2","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.2151125885713319","","","11.574804275360638","0.7338209032213107","12.28188461975064","0.6374476496958861","TRUE","0.03999999910593033","TRUE","3","8"
"15","A15","FALSE","pTRIP JAK1 S703I 2","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5810236342055246","","","17.68529955011588","0.9862903488452146","17.754234966938363","0.08154055251175729","TRUE","0.6244082369160369","TRUE","3","11"
"16","A16","FALSE","pTRIP JAK1 S512L 2","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.2043982151986774","","","12.535346923580903","0.9059442904283777","12.616009189243892","0.5952679127663854","TRUE","0.03999999910593033","TRUE","3","9"
"16","A16","FALSE","pTRIP JAK1 S512L 2","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.5892078311059052","","","26.323150453922544","0.988184956193072","26.264648856089565","0.054649684918861144","TRUE","0.6244082369160369","TRUE","3","19"
"17","A17","FALSE","pTRIP JAK1 S703I 3","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.1974940554079372","","","13.156107968127424","0.856358844348548","12.305691111330633","0.8007674345484787","TRUE","0.03999999910593033","TRUE","3","11"
"17","A17","FALSE","pTRIP JAK1 S703I 3","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.574034930848961","","","17.90333662876416","0.9858691562663132","17.73060467703093","0.1976318247351675","TRUE","0.6244082369160369","TRUE","3","11"
"18","A18","FALSE","pTRIP JAK1 S512L 3","B-ACTIN","UNKNOWN","VIC","TAMRA","AMP","1.3311233565455656","","","12.342754046641954","0.9399979544899107","12.755223841361442","0.30708263341604003","TRUE","0.03999999910593033","TRUE","3","10"
"18","A18","FALSE","pTRIP JAK1 S512L 3","JAK1","UNKNOWN","FAM","NFQ-MGB","AMP","1.708202357401415","","","25.4264956421692","0.9930976398409851","26.02312439578485","0.5184644893550803","TRUE","0.6244082369160369","TRUE","3","19"
