# File Name: /shared/data/ui/current_run/Exp20_7.15.2024_U4Cs_20240712_122202.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-07-12 12:20:29 PM EDT
# Run End Date/Time: 2024-07-12 01:54:24 PM EDT
# Run Duration: 93 minutes 55 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-07-12 01:56:29 PM EDT
# Exported On: 2024-07-12 01:56:30 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.2621544393171207","","","12.426246596444198","0.5100354544988839","12.715828639011056","0.24516695501115726","true","0.05864248331082033","true","3","9"
"1","A1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5642867094682003","","","23.893924409280565","0.9900835055927373","23.915750621948003","0.05863852184660793","true","0.555526471654629","true","3","17"
"2","A2","false","pTRIP JAK1 N76S 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1050456575657943","","","13.45302921215611","0.47277814740795326","13.302137350028657","0.22844467743051217","true","0.05864248331082033","true","3","10"
"2","A2","false","pTRIP JAK1 N76S 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5870730068475978","","","13.89883304595628","0.98666353650046","13.842228565099925","0.06551247072493534","true","0.555526471654629","true","3","7"
"3","A3","false","pTRIP Luciferase 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.2601824858932416","","","12.738581605711978","0.5485263596361946","12.714405132803419","0.18104087707786667","true","0.05864248331082033","true","3","9"
"3","A3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5582731695402585","","","23.925293607555503","0.993604335718293","23.974107901757037","0.044421788663470164","true","0.555526471654629","true","3","17"
"4","A4","false","pTRIP JAK1 N76S 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1358053660218344","","","12.714007855554978","0.4615879226043519","12.993134680062981","0.3399811041919711","true","0.05864248331082033","true","3","9"
"4","A4","false","pTRIP JAK1 N76S 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5912171501452268","","","13.696590012544661","0.9868025236482539","13.683990872609442","0.05516875435644891","true","0.555526471654629","true","3","8"
"5","A5","false","pTRIP Luciferase 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.2717117580163684","","","12.065362630486547","0.4905957274871443","12.537383854590791","0.3089474178208255","true","0.05864248331082033","true","3","8"
"5","A5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5527448149047849","","","23.499677436086202","0.9893234393097312","23.538769586002292","0.038115936204886264","true","0.555526471654629","true","3","16"
"6","A6","false","pTRIP JAK1 N76S 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1367840231890594","","","12.77342953729492","0.46834126837152446","12.880233772021404","0.21958659041156597","true","0.05864248331082033","true","3","9"
"6","A6","false","pTRIP JAK1 N76S 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5823854242075095","","","13.79502954635879","0.9944454633106606","13.76131910406343","0.045658556327867514","true","0.555526471654629","true","3","7"
"7","A7","false","pTRIP JAK1 WT 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.161818236394182","","","12.247092078067542","0.4667544521659937","12.927967967763509","0.3719674999968726","true","0.05864248331082033","true","3","8"
"7","A7","false","pTRIP JAK1 WT 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5866750171050954","","","13.661242359620235","0.9866883520212131","13.82395807732226","0.15160341094303686","true","0.555526471654629","true","3","7"
"8","A8","false","pTRIP JAK1 I359M 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0604720584399039","","","12.77332023224379","0.3993129620061625","12.912155729909209","0.2221742248352675","true","0.05864248331082033","true","3","9"
"8","A8","false","pTRIP JAK1 I359M 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5803454595203206","","","12.854323241345245","0.9764522941401809","12.796850292766655","0.05489916782015827","true","0.555526471654629","true","3","7"
"9","A9","false","pTRIP JAK1 WT 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1446893603930417","","","12.846336191029902","0.46962191457049995","13.314557105042413","0.3591115498557459","true","0.05864248331082033","true","3","9"
"9","A9","false","pTRIP JAK1 WT 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5893505985892973","","","13.904907591986273","0.9918295381343134","13.938938368449252","0.02948206199762795","true","0.555526471654629","true","3","8"
"10","A10","false","pTRIP JAK1 I359M 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0677305888082609","","","12.89820745187697","0.41159205779341795","13.067447058099246","0.19065719796883082","true","0.05864248331082033","true","3","9"
"10","A10","false","pTRIP JAK1 I359M 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5780206604427622","","","12.859707028829714","0.9865363918106349","12.865166441936957","0.08176114512672272","true","0.555526471654629","true","3","6"
"11","A11","false","pTRIP JAK1 WT 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.153031700768727","","","12.694030570828527","0.46719727039956216","16.74513930623006","7.048614145789065","true","0.05864248331082033","true","3","9"
"11","A11","false","pTRIP JAK1 WT 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.588400201996516","","","13.85581459668153","0.9862901523010862","13.924393376040776","0.06062493227781353","true","0.555526471654629","true","3","8"
"12","A12","false","pTRIP JAK1 I359M 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","0.9830291677669608","","","13.48909277804849","0.34859686695323405","13.416130551731532","0.20202900943411786","true","0.05864248331082033","true","3","10"
