# File Name: /shared/data/ui/current_run/Exp26_ZP_Exp4_CM_9.9.24_U4Cs_20240909_170656.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-09-09 05:09:43 PM EDT
# Run End Date/Time: 2024-09-09 06:42:48 PM EDT
# Run Duration: 93 minutes 4 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-09-09 06:43:06 PM EDT
# Exported On: 2024-09-09 06:43:07 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1297534451797415","","","12.655168637790247","0.6622596413467879","12.227616701280008","0.44152934871407884","true","0.03999999910593033","true","3","9"
"1","A1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4503238613200264","","","24.780474426133196","0.9852111497117196","24.70799428192849","0.0648161310729344","true","0.3693909447179073","true","3","19"
"2","A2","false","pTRIP JAK1 Q1016H 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","0.9870095472665151","","","13.8362549557487","0.5029672365207623","13.055049887593931","0.4835553036597388","true","0.03999999910593033","true","3","10"
"2","A2","false","pTRIP JAK1 Q1016H 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4837319967858378","","","14.60422325636765","0.9699331032473543","14.699472518887871","0.10583734281866865","true","0.3693909447179073","true","3","9"
"3","A3","false","pTRIP Luciferase 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1412181125952456","","","12.57927389354623","0.6555963794630478","12.19009004669899","0.3661546424008627","true","0.03999999910593033","true","3","9"
"3","A3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4606184349329148","","","24.544269766392716","0.9840531735874939","24.607879648595684","0.056670137019668325","true","0.3693909447179073","true","3","19"
"4","A4","false","pTRIP JAK1 Q1016H 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0268977317230217","","","13.008266475933087","0.5579049497944623","12.320306911961486","0.37319377948693394","true","0.03999999910593033","true","3","10"
"4","A4","false","pTRIP JAK1 Q1016H 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.485623512707641","","","14.586718942477226","0.9716855455899551","14.587866247586325","0.070803877676102","true","0.3693909447179073","true","3","8"
"5","A5","false","pTRIP Luciferase 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1535277587289243","","","13.009138091664667","0.6470807975053251","12.443409674741808","0.5138983279493294","true","0.03999999910593033","true","3","10"
"5","A5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4574282632682238","","","24.904103093744972","0.9877800912623511","24.831126704620317","0.07341779484383924","true","0.3693909447179073","true","3","19"
"6","A6","false","pTRIP JAK1 Q1016H 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0610737357061064","","","12.630918877323413","0.5628060616641917","12.397217394871133","0.2950419195255175","true","0.03999999910593033","true","3","9"
"6","A6","false","pTRIP JAK1 Q1016H 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4783909610487065","","","14.908846126926864","0.9842860620657333","15.006309836731509","0.10934523868074272","true","0.3693909447179073","true","3","9"
"7","A7","false","pTRIP JAK1 WT 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0743856047311302","","","12.123859593617972","0.5919851068846451","11.947656063722684","0.26558663629511703","true","0.03999999910593033","true","3","8"
"7","A7","false","pTRIP JAK1 WT 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4779722630162468","","","14.877013802457487","0.9878031766187089","14.877624403618745","0.08009036130692478","true","0.3693909447179073","true","3","9"
"9","A9","false","pTRIP JAK1 WT 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0710941330005563","","","12.606777136552221","0.6046901656745097","12.08642862644219","0.3385922228691513","true","0.03999999910593033","true","3","9"
"9","A9","false","pTRIP JAK1 WT 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4797594900251436","","","15.39512336491683","0.9778599922350335","15.347181194243717","0.05022559628904101","true","0.3693909447179073","true","3","9"
"11","A11","false","pTRIP JAK1 WT 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0564639091252739","","","12.352678053838812","0.565430336181284","12.128824689653726","0.36930279371027314","true","0.03999999910593033","true","3","8"
"11","A11","false","pTRIP JAK1 WT 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.468197307007823","","","15.071547081547774","0.9803700642201856","15.073548812105022","0.015609551039717883","true","0.3693909447179073","true","3","9"
"13","A13","false","pTRIP JAK1 S703I 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0687725943397783","","","12.4814259049727","0.5874621411612583","11.93627208612647","0.3764635325021673","true","0.03999999910593033","true","3","9"
