# File Name: /shared/data/ui/current_run/Exp2_CM_Exp24_ZP_8.23.2024_U4Cs_real_20240823_152858.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-08-23 03:29:16 PM EDT
# Run End Date/Time: 2024-08-23 05:02:20 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-08-23 05:02:33 PM EDT
# Exported On: 2024-08-23 05:02:34 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase CM","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.2364202895532934","","","16.154826742833727","0.552780048867268","15.565532297097208","0.49808643508055134","true","0.06584000183568375","true","3","12"
"1","A1","false","pTRIP Luciferase CM","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5437968056108526","","","25.059075710994065","0.9689005728747468","24.876467899028324","0.179331816187091","true","0.638231691369855","true","3","18"
"3","A3","false","pTRIP JAK1 WT CM","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.124347987698846","","","14.761242692804274","0.42711363428107474","15.079402542245772","0.2290767601225983","true","0.06584000183568375","true","3","10"
"3","A3","false","pTRIP JAK1 WT CM","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5940131003621643","","","15.972804734831719","0.9654888730698429","16.03823081191181","0.07710940237756389","true","0.638231691369855","true","3","10"
"5","A5","false","pTRIP JAK1 S703I CM","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1207828901472339","","","14.891222761349024","0.4285247766841842","14.898520318774002","0.2504332787525493","true","0.06584000183568375","true","3","11"
"5","A5","false","pTRIP JAK1 S703I CM","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5935774457635161","","","15.773838081105588","0.9699133414957112","15.695538535418066","0.13738281705092245","true","0.638231691369855","true","3","8"
"7","A7","false","pTRIP JAK1 E139K CM","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.2014588852790817","","","15.267864293020306","0.528232076018174","15.257975939319763","0.389415471882052","true","0.06584000183568375","true","3","11"
"7","A7","false","pTRIP JAK1 E139K CM","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.585896485918414","","","18.351128738709633","0.9710616217226894","18.362089055289267","0.03540145448046878","true","0.638231691369855","true","3","11"
"9","A9","false","pTRIP JAK1 R1041Q CM","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.095927356723788","","","15.422951750140609","0.43083699269527925","15.675317677293686","0.631406690665271","true","0.06584000183568375","true","3","11"
"9","A9","false","pTRIP JAK1 R1041Q CM","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5884965949574108","","","16.440353551922136","0.9700245796747614","16.49019307837217","0.043389772161604084","true","0.638231691369855","true","3","10"
