# File Name: /shared/data/ui/current_run/Exp31_11.4.2024_U4Cs_20241104_164931.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-11-04 04:49:00 PM EST
# Run End Date/Time: 2024-11-04 06:22:09 PM EST
# Run Duration: 93 minutes 8 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-11-04 06:23:26 PM EST
# Exported On: 2024-11-04 06:23:27 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1265091711519721","","","12.030438102259904","0.9306591518170838","12.291532100682806","0.19069083104089685","true","0.04530790746234278","true","3","9"
"1","A1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5410180922188148","","","24.55520331975373","0.9769362444084417","24.55257350941081","0.006985299854402768","true","0.3035424235705556","true","3","19"
"2","A2","false","pTRIP JAK1 R69H 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.115926226991808","","","11.901180948254556","0.9204958964123205","12.000298088303275","0.16126376352133479","true","0.04530790746234278","true","3","9"
"2","A2","false","pTRIP JAK1 R69H 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5313125236897727","","","16.710029663384375","0.9789082156788486","16.701875729535157","0.011452928124343594","true","0.3035424235705556","true","3","12"
"3","A3","false","pTRIP Luciferase 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1307585986751598","","","11.627082419423743","0.9076482372670154","12.009963714786503","0.22390464801297494","true","0.04530790746234278","true","3","8"
"3","A3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.538305697780654","","","22.89832458760145","0.9797145258964692","23.010216195468246","0.12343400319538485","true","0.3035424235705556","true","3","18"
"4","A4","false","pTRIP JAK1 R69H 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.112165393240791","","","12.208320536805118","0.9071044140324835","12.328472209957644","0.208506429278397","true","0.04530790746234278","true","3","9"
"4","A4","false","pTRIP JAK1 R69H 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5185757314695343","","","16.422608009223758","0.9754766463525711","16.490511193327897","0.07086119358815912","true","0.3035424235705556","true","3","11"
"5","A5","false","pTRIP Luciferase 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1343395532574445","","","11.893408839986702","0.945294034663508","11.954423560542224","0.22730164778298254","true","0.04530790746234278","true","3","9"
"5","A5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5346207749673668","","","24.975596133711726","0.9833137678934639","25.01425214645884","0.061777496741386675","true","0.3035424235705556","true","3","19"
"6","A6","false","pTRIP JAK1 R69H 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1184309925892106","","","12.378513988288809","0.9150124648640062","12.489128653728562","0.1535217564986097","true","0.04530790746234278","true","3","9"
"6","A6","false","pTRIP JAK1 R69H 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.529075923760699","","","16.923967462183","0.9869829114660439","16.933686031521184","0.009355577638090053","true","0.3035424235705556","true","3","11"
"7","A7","false","pTRIP JAK1 WT 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1099662825233636","","","11.626266355456501","0.9279182110772364","11.820114999178564","0.18818609525518984","true","0.04530790746234278","true","3","8"
"7","A7","false","pTRIP JAK1 WT 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.524593722821359","","","16.042357315603688","0.9814048819588577","16.0496189317462","0.012476377734854964","true","0.3035424235705556","true","3","11"
"8","A8","false","pTRIP JAK1 N76S 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1027125851226915","","","11.821336559403804","0.9374146046280437","12.132752215717474","0.1922082052122805","true","0.04530790746234278","true","3","8"
"8","A8","false","pTRIP JAK1 N76S 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5230775891717272","","","15.189046690963625","0.9817043546948726","15.242354146245736","0.052713158197557536","true","0.3035424235705556","true","3","9"
"9","A9","false","pTRIP JAK1 WT 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1025888313757994","","","12.433447321667359","0.9176949436470082","12.562399247701386","0.12013305205054563","true","0.04530790746234278","true","3","9"
"9","A9","false","pTRIP JAK1 WT 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5229951181140429","","","16.07069224197594","0.9755828971990985","16.020933327846958","0.05031792990620577","true","0.3035424235705556","true","3","11"
