# File Name: /shared/data/ui/current_run/Exp33_11.20.24_U4Cs_upsidedown_real_20241120_121128.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-11-20 12:11:47 PM EST
# Run End Date/Time: 2024-11-20 01:45:50 PM EST
# Run Duration: 94 minutes 2 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-11-20 01:46:12 PM EST
# Exported On: 2024-11-20 01:46:13 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"97","E1","false","pTRIP JAK1 E459K 3","B-Actin","UNKNOWN","VIC","TAMRA","Amp","1.1902208992969494","","","14.124947851681766","0.9506712651525804","13.592345680557017","0.45313007044115566","true","0.05086852656467647","true","3","11"
"97","E1","false","pTRIP JAK1 E459K 3","ISG15","UNKNOWN","FAM","NFQ-MGB","Amp","1.540129490772701","","","25.5888614350269","0.9808955116022905","25.62279087347486","0.04155923469577664","true","0.5061456229716117","true","3","20"
"98","E2","false","pTRIP JAK1 E139K 3","B-Actin","UNKNOWN","VIC","TAMRA","Amp","1.195358450674384","","","13.657564050920769","0.9563299993270657","13.51919946778177","0.4406257690932081","true","0.05086852656467647","true","3","9"
"98","E2","false","pTRIP JAK1 E139K 3","ISG15","UNKNOWN","FAM","NFQ-MGB","Amp","1.5414213144354272","","","26.226053927722653","0.9830142556845416","26.24618797244887","0.04041839198288905","true","0.5061456229716117","true","3","20"
"99","E3","false","pTRIP JAK1 E459K 2","B-Actin","UNKNOWN","VIC","TAMRA","Amp","1.2054470598422953","","","13.719773638945654","0.9139273194136975","13.608647465774789","0.4270640578888408","true","0.05086852656467647","true","3","10"
"99","E3","false","pTRIP JAK1 E459K 2","ISG15","UNKNOWN","FAM","NFQ-MGB","Amp","1.5256597705549628","","","25.900390112949488","0.9833635978004419","25.859066165468665","0.043330588178380834","true","0.5061456229716117","true","3","20"
"100","E4","false","pTRIP JAK1 E139K 2","B-Actin","UNKNOWN","VIC","TAMRA","Amp","1.1907505257947204","","","14.329301024526917","0.9572977565308067","13.714142305446051","0.5108766286293586","true","0.05086852656467647","true","3","10"
"100","E4","false","pTRIP JAK1 E139K 2","ISG15","UNKNOWN","FAM","NFQ-MGB","Amp","1.5349183755322622","","","26.482681045505593","0.9778875915611556","26.505050733153094","0.07368714627838437","true","0.5061456229716117","true","3","20"
"101","E5","false","pTRIP JAK1 E459K 1","B-Actin","UNKNOWN","VIC","TAMRA","Amp","1.196953367521211","","","13.111526968861515","0.947713438811437","13.51365664696852","0.321387385396012","true","0.05086852656467647","true","3","9"
"101","E5","false","pTRIP JAK1 E459K 1","ISG15","UNKNOWN","FAM","NFQ-MGB","Amp","1.5371448582559768","","","26.091205237220365","0.9784164813346711","26.098483572799655","0.04791159709926683","true","0.5061456229716117","true","3","20"
"102","E6","false","pTRIP JAK1 E139K 1","B-Actin","UNKNOWN","VIC","TAMRA","Amp","1.2055474371175963","","","13.296086836944038","0.9432507885906998","13.16588275758376","0.4345889212998171","true","0.05086852656467647","true","3","10"
