# File Name: /shared/data/ui/current_run/Exp34_11.22.24_U4Cs_20241122_115455.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-11-22 11:55:39 AM EST
# Run End Date/Time: 2024-11-22 01:29:35 PM EST
# Run Duration: 93 minutes 56 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-11-22 01:30:00 PM EST
# Exported On: 2024-11-22 01:30:01 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0835908820472375","","","12.439672146514582","0.9320701639156214","12.880712764303672","0.24751871978513906","true","0.03999999910593033","true","3","9"
"1","A1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4539939744599497","","","25.072732897872164","0.9731795320284565","25.109038706721616","0.05831881428158141","true","0.35018048262677","true","3","19"
"2","A2","false","pTRIP JAK1 S153T 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0817655397082826","","","12.871540441148998","0.913537522331097","12.927676475809596","0.09670723453021973","true","0.03999999910593033","true","3","9"
"2","A2","false","pTRIP JAK1 S153T 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4670250042348743","","","18.39721538663305","0.9752793953780041","18.37549451338957","0.07220479930364018","true","0.35018048262677","true","3","13"
"3","A3","false","pTRIP Luciferase 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0890750520624626","","","14.941258779138046","0.9192027185974977","14.878546518647463","0.16329770799565857","true","0.03999999910593033","true","3","12"
"3","A3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4690157249766265","","","26.383601485252505","0.9777043684587962","26.45478307406309","0.06438442919191108","true","0.35018048262677","true","3","21"
"4","A4","false","pTRIP JAK1 S153T 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0739554143460504","","","12.849009023580365","0.9420012278155283","12.755856861578252","0.22076456796345942","true","0.03999999910593033","true","3","10"
"4","A4","false","pTRIP JAK1 S153T 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.451078889168911","","","18.223066334402063","0.9673878742332478","18.14804567707615","0.07205459301121832","true","0.35018048262677","true","3","13"
"5","A5","false","pTRIP Luciferase 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.079435722766919","","","12.693321914155558","0.9172530524574348","12.469334494305036","0.6666200406283184","true","0.03999999910593033","true","3","10"
"5","A5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4590361005032386","","","24.986383448745045","0.9761529984193281","25.0028877121235","0.05995810439351912","true","0.35018048262677","true","3","19"
"6","A6","false","pTRIP JAK1 S153T 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0783548204805375","","","12.378943961530826","0.9424779652302918","12.431891006708542","0.19927490196912517","true","0.03999999910593033","true","3","9"
"6","A6","false","pTRIP JAK1 S153T 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4516837497163333","","","18.022453595687935","0.9763438329003922","17.984137226737953","0.034265400429701665","true","0.35018048262677","true","3","12"
"7","A7","false","pTRIP JAK1 WT 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0761256983037009","","","12.507436459942028","0.9353459522070523","12.713953813569468","0.33356972230567417","true","0.03999999910593033","true","3","9"
"7","A7","false","pTRIP JAK1 WT 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.456720670663071","","","16.4259719743846","0.9797262860101781","16.498066957107728","0.0783307572591502","true","0.35018048262677","true","3","10"
"8","A8","false","pTRIP JAK1 S512L 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0808206788528016","","","12.390704065149514","0.885370911022474","12.527096533565235","0.37400395369520106","true","0.03999999910593033","true","3","9"
"8","A8","false","pTRIP JAK1 S512L 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4588548405604869","","","16.88083073356404","0.9850899651091917","16.9176339039612","0.03706244007626151","true","0.35018048262677","true","3","11"
"9","A9","false","pTRIP JAK1 WT 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0739436289184023","","","12.914186300124708","0.9352789222882704","12.977363381195504","0.6311715302492771","true","0.03999999910593033","true","3","9"
"9","A9","false","pTRIP JAK1 WT 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4499241309956938","","","16.995321420570473","0.9757083291426636","17.02316160532991","0.04068819139018632","true","0.35018048262677","true","3","11"
"10","A10","false","pTRIP JAK1 S512L 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0920897462664976","","","12.798063474804007","0.9265852530350225","12.926222764263974","0.37887793924798724","true","0.03999999910593033","true","3","10"
"10","A10","false","pTRIP JAK1 S512L 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4545734702990094","","","16.96600778947105","0.9797680017627567","16.922393545549166","0.057689510386146205","true","0.35018048262677","true","3","11"
"11","A11","false","pTRIP JAK1 WT 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0781746575380953","","","12.578752699081335","0.8944644653542925","12.894998336276606","0.2701517165220564","true","0.03999999910593033","true","3","10"
"11","A11","false","pTRIP JAK1 WT 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4665498452262489","","","16.26578333471005","0.9633814206456083","16.620895282099703","0.3084459873779196","true","0.35018048262677","true","3","10"
"12","A12","false","pTRIP JAK1 S512L 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0777791471740987","","","12.551071846022122","0.9123504030184862","12.68002073103555","0.25540211002102786","true","0.03999999910593033","true","3","10"
"12","A12","false","pTRIP JAK1 S512L 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4561750133877533","","","16.150806379801033","0.9637530555912515","16.292694925301795","0.12289763499821471","true","0.35018048262677","true","3","10"
"13","A13","false","pTRIP JAK1 S703I 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0817340068582166","","","12.740990395605621","0.9097248744230133","12.834173821623864","0.2644422308242523","true","0.03999999910593033","true","3","10"
"13","A13","false","pTRIP JAK1 S703I 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.45840027519874","","","16.290933882280374","0.9803520469589407","16.36178246455748","0.0944437867893462","true","0.35018048262677","true","3","10"
"14","A14","false","pTRIP JAK1 R826S 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0908980497916394","","","12.81368462829063","0.9424723657513749","12.818713971157125","0.24507395671760568","true","0.03999999910593033","true","3","10"
"14","A14","false","pTRIP JAK1 R826S 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4641367257620366","","","18.45264461093727","0.9612548128365909","18.4693986600983","0.0735272725132477","true","0.35018048262677","true","3","13"
"15","A15","false","pTRIP JAK1 S703I 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0771364448753258","","","12.171749968611376","0.8903421541766262","12.283114541156424","0.7487179525343476","true","0.03999999910593033","true","3","9"
"15","A15","false","pTRIP JAK1 S703I 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4616019296481733","","","15.78629893522389","0.9815633848295693","15.930893703568145","0.1298956199564319","true","0.35018048262677","true","3","10"
"16","A16","false","pTRIP JAK1 R826S 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0953901495154073","","","12.161641005032273","0.9319531548770219","12.548692570550765","0.20362024190979927","true","0.03999999910593033","true","3","8"
"16","A16","false","pTRIP JAK1 R826S 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4638616035469727","","","18.32643619024615","0.9654521959663805","18.252854901326106","0.07132204558031714","true","0.35018048262677","true","3","12"
"17","A17","false","pTRIP JAK1 S703I 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0798837838926623","","","12.12932119978981","0.9203868259547204","12.610026114509687","0.39194372170423003","true","0.03999999910593033","true","3","8"
"17","A17","false","pTRIP JAK1 S703I 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4548958977933761","","","16.02263804017861","0.963156262365742","16.119175243574237","0.08579021953332912","true","0.35018048262677","true","3","10"
"18","A18","false","pTRIP JAK1 R826S 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0895812305146049","","","12.414222314851056","0.9783883356484296","12.659378596485963","0.33857163093122705","true","0.03999999910593033","true","3","9"
"18","A18","false","pTRIP JAK1 R826S 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4629022398368092","","","18.67883819285442","0.9726259752800676","18.596050509528176","0.15117175071218383","true","0.35018048262677","true","3","13"
"19","A19","false","pTRIP JAK1 E139K 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0531343163500715","","","12.24815888008083","0.8265535612912969","13.991105014590984","4.694456290985909","true","0.03999999910593033","true","3","9"
"19","A19","false","pTRIP JAK1 E139K 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4571844685695823","","","14.951414497665176","0.9711967674238922","14.99443507996275","0.06860992173977742","true","0.35018048262677","true","3","9"
"20","A20","false","pTRIP JAK1 Q1016H 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0691355157063729","","","11.930859013742328","0.897848219550105","12.4704143776627","0.32322094559319947","true","0.03999999910593033","true","3","9"
"20","A20","false","pTRIP JAK1 Q1016H 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4516891013892497","","","16.0962131413938","0.9788307433053075","16.153918981003436","0.06313862149515252","true","0.35018048262677","true","3","9"
"21","A21","false","pTRIP JAK1 E139K 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.042059013167911","","","12.624256716582707","0.8367053191394349","12.888956225339731","0.29106152164717686","true","0.03999999910593033","true","3","9"
"21","A21","false","pTRIP JAK1 E139K 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4442690334175827","","","15.252095205424482","0.9669590663338585","15.209008169145156","0.05680905463509768","true","0.35018048262677","true","3","9"
"22","A22","false","pTRIP JAK1 Q1016H 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.003416768929713","","","18.021198049048557","0.7831479746492003","18.06688187505126","0.20687157090632663","true","0.03999999910593033","true","3","15"
"22","A22","false","pTRIP JAK1 Q1016H 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4609223637041742","","","18.03242512293178","0.9835007655965392","18.040076923490748","0.011394855341615147","true","0.35018048262677","true","3","12"
"23","A23","false","pTRIP JAK1 E139K 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0400310012720877","","","12.49959883324438","0.9113608610914246","13.79806608854171","4.393041713326433","true","0.03999999910593033","true","3","10"
"23","A23","false","pTRIP JAK1 E139K 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.455315019608343","","","14.674883593250332","0.9786768770792482","14.610411593028696","0.06781618930030066","true","0.35018048262677","true","3","9"
"24","A24","false","pTRIP JAK1 Q1016H 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0573809774290233","","","12.333460021651515","0.915165449421691","12.615048909568676","0.1603433732134204","true","0.03999999910593033","true","3","9"
"24","A24","false","pTRIP JAK1 Q1016H 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4487888437837715","","","16.977365366473016","0.9806151598301461","16.92717278583659","0.054080020452311056","true","0.35018048262677","true","3","11"
"25","B1","false","pTRIP Luciferase 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0843183945419714","","","12.861440189432734","0.88687178865116","12.880712764303672","0.24751871978513906","true","0.03999999910593033","true","3","10"
"25","B1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4687265255083737","","","25.078074401514883","0.9734125712167242","25.109038706721616","0.05831881428158141","true","0.35018048262677","true","3","19"
"26","B2","false","pTRIP JAK1 S153T 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0793962174859129","","","12.783532149426197","0.9059237409674715","12.927676475809596","0.09670723453021973","true","0.03999999910593033","true","3","9"
"26","B2","false","pTRIP JAK1 S153T 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4657576313481624","","","18.434345523401028","0.9703613710205261","18.37549451338957","0.07220479930364018","true","0.35018048262677","true","3","13"
"27","B3","false","pTRIP Luciferase 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0870346415845455","","","14.815224581793178","0.9264762410224805","14.878546518647463","0.16329770799565857","true","0.03999999910593033","true","3","12"
"27","B3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4657294890731516","","","26.47179321230942","0.976598832424688","26.45478307406309","0.06438442919191108","true","0.35018048262677","true","3","21"
"28","B4","false","pTRIP JAK1 S153T 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0832451768534932","","","12.648286686090906","0.8866089481092224","12.755856861578252","0.22076456796345942","true","0.03999999910593033","true","3","10"
"28","B4","false","pTRIP JAK1 S153T 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4678599256701774","","","18.141692853204923","0.9670683657735435","18.14804567707615","0.07205459301121832","true","0.35018048262677","true","3","12"
"29","B5","false","pTRIP Luciferase 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.104895442694549","","","12.135760381440235","0.9111445939416835","12.469334494305036","0.6666200406283184","true","0.03999999910593033","true","3","8"
"29","B5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4643233640635507","","","24.95291028731232","0.9787625016833049","25.0028877121235","0.05995810439351912","true","0.35018048262677","true","3","19"
"30","B6","false","pTRIP JAK1 S153T 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.083165945033486","","","12.271874792558094","0.9193303469212533","12.431891006708542","0.19927490196912517","true","0.03999999910593033","true","3","9"
"30","B6","false","pTRIP JAK1 S153T 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4550054116248878","","","17.97352360599705","0.9809237546227475","17.984137226737953","0.034265400429701665","true","0.35018048262677","true","3","12"
"31","B7","false","pTRIP JAK1 WT 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0694894670841222","","","12.5172579804","0.8451717618677406","12.713953813569468","0.33356972230567417","true","0.03999999910593033","true","3","9"
"31","B7","false","pTRIP JAK1 WT 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4556496689045335","","","16.48681283504709","0.9639576362228538","16.498066957107728","0.0783307572591502","true","0.35018048262677","true","3","11"
"32","B8","false","pTRIP JAK1 S512L 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0878409994765537","","","12.523674463505227","0.9175277020395318","12.527096533565235","0.37400395369520106","true","0.03999999910593033","true","3","9"
