# File Name: /shared/data/ui/current_run/Exp36_12.13.24_U4Cs_20241213_150213.eds
# Comment: 
# Operator: Guest
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-12-13 03:02:37 PM EST
# Run End Date/Time: 2024-12-13 04:35:41 PM EST
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-12-13 04:35:58 PM EST
# Exported On: 2024-12-13 04:35:59 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 1","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2289996126577472","","","10.912015986214332","0.9369558048154873","11.18839463708286","0.21179574836430204","true","0.06432327391519396","true","3","7"
"1","A1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5785407658447168","","","25.055190740344266","0.9843133431353854","25.102657732576883","0.05751432355265712","true","0.535912867750671","true","3","19"
"2","A2","false","pTRIP JAK1 E459K 1","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.205569259768404","","","10.900103046430075","0.9458442825730441","11.13757233931697","0.1480663645444788","true","0.06432327391519396","true","3","7"
"2","A2","false","pTRIP JAK1 E459K 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5712397322341498","","","16.20345135975531","0.9754260258401934","16.22252153790912","0.024883144437290713","true","0.535912867750671","true","3","10"
"3","A3","false","pTRIP Luciferase 2","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2314538422044987","","","10.861236571593636","0.950016714841962","11.191780777245322","0.21826675116482863","true","0.06432327391519396","true","3","7"
"3","A3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5668932931217563","","","25.064285741416235","0.9847682626296531","25.06928132899451","0.05108846857588998","true","0.535912867750671","true","3","19"
"4","A4","false","pTRIP JAK1 E459K 2","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2068084159897765","","","10.937338132589392","0.9379725369278659","11.414394011775741","0.28044193455245914","true","0.06432327391519396","true","3","7"
"4","A4","false","pTRIP JAK1 E459K 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.557315539774726","","","16.026616541955548","0.9788344757795381","16.08889085740257","0.10247134906153779","true","0.535912867750671","true","3","10"
"5","A5","false","pTRIP Luciferase 3","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2377995722781707","","","11.534578239460249","0.9569427120739448","11.748637806548873","0.15173205689705838","true","0.06432327391519396","true","3","8"
"5","A5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5666279321247125","","","24.902488264420427","0.9882180092304993","24.90336955116115","0.07089661092481768","true","0.535912867750671","true","3","19"
