# File Name: /shared/data/ui/current_run/Exp37_U4Cs_1.6.24_20250106_162925.eds
# Comment: 
# Operator: Guest
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2025-01-06 04:29:21 PM EST
# Run End Date/Time: 2025-01-06 06:04:10 PM EST
# Run Duration: 94 minutes 49 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-01-06 06:04:37 PM EST
# Exported On: 2025-01-06 06:04:38 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1568348506044","","","11.920547729550918","0.9222816614971185","12.057123501070878","0.17648675258229313","true","0.04393527758543042","true","3","9"
"1","A1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5245916540996414","","","25.166687565149537","0.9683765515857389","25.235939299279394","0.06089912735888086","true","0.41000538051404206","true","3","19"
"2","A2","false","pTRIP JAK1 S153T 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1386671131014017","","","11.920299433803741","0.9354245359071237","12.194253867013154","0.2923277173981065","true","0.04393527758543042","true","3","9"
"2","A2","false","pTRIP JAK1 S153T 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5202553912956864","","","17.472930406172182","0.9832586658729453","17.53098914594058","0.053051916377624526","true","0.41000538051404206","true","3","12"
"3","A3","false","pTRIP Luciferase 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1743783131292878","","","12.03184868077135","0.9406551551876394","12.26678175500401","0.20697235425444716","true","0.04393527758543042","true","3","9"
"3","A3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5199575772478315","","","24.8063854665047","0.974041748208618","24.827311534450928","0.030162902108964853","true","0.41000538051404206","true","3","19"
"4","A4","false","pTRIP JAK1 S153T 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.126116192681596","","","11.979920925199327","0.9186768698627529","12.147818866590251","0.23994729524130481","true","0.04393527758543042","true","3","8"
"4","A4","false","pTRIP JAK1 S153T 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5034185526515693","","","17.881409811249917","0.9721200740707572","17.913277827292806","0.027623463491435983","true","0.41000538051404206","true","3","12"
"5","A5","false","pTRIP Luciferase 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1727832387954011","","","11.667760185802749","0.930718410835652","12.102957660859213","0.24698324467840205","true","0.04393527758543042","true","3","8"
"5","A5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.52382336344066","","","24.586520812789267","0.9710683649352961","24.628496705809898","0.036842097703136616","true","0.41000538051404206","true","3","19"
"6","A6","false","pTRIP JAK1 S153T 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1506260719951094","","","11.528612097741089","0.9425217101576274","12.018442607557276","0.2901515614460557","true","0.04393527758543042","true","3","8"
"6","A6","false","pTRIP JAK1 S153T 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5163594554992696","","","17.21900065476831","0.9648043943629356","17.35771381809781","0.15493693904382866","true","0.41000538051404206","true","3","12"
"7","A7","false","pTRIP JAK1 WT 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1414173487506134","","","11.61483858595114","0.9350240169995963","11.92834601699918","0.21042558607937098","true","0.04393527758543042","true","3","8"
"7","A7","false","pTRIP JAK1 WT 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5037721535574948","","","16.953300577629186","0.9534657635523287","16.910673909341035","0.038030141339048355","true","0.41000538051404206","true","3","11"
"9","A9","false","pTRIP JAK1 WT 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1391991337223197","","","11.962814895556477","0.94362986369265","12.096793421337265","0.22046682576694598","true","0.04393527758543042","true","3","9"
"9","A9","false","pTRIP JAK1 WT 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.505822197121651","","","16.870574067165627","0.9490354124544796","16.904837802397118","0.033195218780398314","true","0.41000538051404206","true","3","11"
"11","A11","false","pTRIP JAK1 WT 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1318553339697919","","","11.708765502437597","0.9147398746717432","12.011414640325858","0.20633216462803314","true","0.04393527758543042","true","3","8"
"11","A11","false","pTRIP JAK1 WT 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5121131386229845","","","16.3666118018914","0.9555109266777512","16.42600266375923","0.08009491748966568","true","0.41000538051404206","true","3","11"
"13","A13","false","pTRIP JAK1 S703I 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1346286624766524","","","11.303120904266681","0.8955271522161061","12.0414559552313","0.3446045303722033","true","0.04393527758543042","true","3","8"
"13","A13","false","pTRIP JAK1 S703I 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.51451326124054","","","16.25331965593159","0.9566167188680746","16.409451931686036","0.15364555342265215","true","0.41000538051404206","true","3","10"
"15","A15","false","pTRIP JAK1 S703I 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1354082663308693","","","11.57079079128594","0.9310998729678813","11.853871564385514","0.38812082150436905","true","0.04393527758543042","true","3","8"
"15","A15","false","pTRIP JAK1 S703I 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.51318600541884","","","16.407388600286776","0.9546586061546282","16.459361237632205","0.16282556962260958","true","0.41000538051404206","true","3","11"
"17","A17","false","pTRIP JAK1 S703I 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1201550855476776","","","11.774525064282642","0.8904384679416486","12.232991488625503","0.2808769978135331","true","0.04393527758543042","true","3","8"
"17","A17","false","pTRIP JAK1 S703I 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5155305316355399","","","16.175039454073143","0.9578939322787513","16.26328923779962","0.07652877725199168","true","0.41000538051404206","true","3","11"
"19","A19","false","pTRIP JAK1 E139K 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0475607229088497","","","11.562491760242192","0.6890701237043481","12.205245923119586","0.32766697771534053","true","0.04393527758543042","true","3","8"
"19","A19","false","pTRIP JAK1 E139K 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5163457468292965","","","13.87784771915453","0.9666818880446237","14.0273847273007","0.13434036400543947","true","0.41000538051404206","true","3","9"
"21","A21","false","pTRIP JAK1 E139K 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0567162923792426","","","11.707919955908778","0.753809054574732","12.122493262735054","0.21275932559362132","true","0.04393527758543042","true","3","9"
"21","A21","false","pTRIP JAK1 E139K 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.510971483393788","","","13.978285847197286","0.9566672751958581","14.150882432064565","0.16087977685726806","true","0.41000538051404206","true","3","8"
"23","A23","false","pTRIP JAK1 E139K 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0569518047766913","","","11.689559731057585","0.7748301743266982","12.057126615138275","0.1825830080300746","true","0.04393527758543042","true","3","8"
"23","A23","false","pTRIP JAK1 E139K 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5070098229159117","","","14.141344014687942","0.961971657519029","14.25911483183684","0.10241169227489527","true","0.41000538051404206","true","3","9"
"25","B1","false","pTRIP Luciferase 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1755149867140093","","","11.931177664631985","0.9493434518373186","12.057123501070878","0.17648675258229313","true","0.04393527758543042","true","3","9"
"25","B1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5250335198385252","","","25.25998916979178","0.9721582177087065","25.235939299279394","0.06089912735888086","true","0.41000538051404206","true","3","19"
"26","B2","false","pTRIP JAK1 S153T 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1427644577992437","","","11.895353375827625","0.928806627440792","12.194253867013154","0.2923277173981065","true","0.04393527758543042","true","3","9"
"26","B2","false","pTRIP JAK1 S153T 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5139654674089118","","","17.576941662211993","0.9619998700080579","17.53098914594058","0.053051916377624526","true","0.41000538051404206","true","3","12"
"27","B3","false","pTRIP Luciferase 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1791333908432493","","","12.129685764755372","0.9438398651613437","12.26678175500401","0.20697235425444716","true","0.04393527758543042","true","3","9"
"27","B3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.517356316682381","","","24.861886296355337","0.972989987506371","24.827311534450928","0.030162902108964853","true","0.41000538051404206","true","3","19"
"28","B4","false","pTRIP JAK1 S153T 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.155493272382761","","","11.808183391950447","0.9255780958097249","12.147818866590251","0.23994729524130481","true","0.04393527758543042","true","3","8"
"28","B4","false","pTRIP JAK1 S153T 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5096348145950154","","","17.93038567532998","0.9662804985185028","17.913277827292806","0.027623463491435983","true","0.41000538051404206","true","3","12"
"29","B5","false","pTRIP Luciferase 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.173351849103066","","","11.93935542925172","0.9298866908126555","12.102957660859213","0.24698324467840205","true","0.04393527758543042","true","3","9"
"29","B5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.523133781917377","","","24.6554728462974","0.9849216568030604","24.628496705809898","0.036842097703136616","true","0.41000538051404206","true","3","19"
"30","B6","false","pTRIP JAK1 S153T 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1476528251654021","","","11.653075934084665","0.9274073568408293","12.018442607557276","0.2901515614460557","true","0.04393527758543042","true","3","8"
"30","B6","false","pTRIP JAK1 S153T 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.508053556067961","","","17.52491951227585","0.9579137408513007","17.35771381809781","0.15493693904382866","true","0.41000538051404206","true","3","12"
"31","B7","false","pTRIP JAK1 WT 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1459997343941644","","","11.856955658830593","0.9312672636955638","11.92834601699918","0.21042558607937098","true","0.04393527758543042","true","3","9"
"31","B7","false","pTRIP JAK1 WT 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5070114520487472","","","16.88022181088192","0.9574571467763974","16.910673909341035","0.038030141339048355","true","0.41000538051404206","true","3","11"
"33","B9","false","pTRIP JAK1 WT 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1424027354357578","","","12.010828042493735","0.9179705799274124","12.096793421337265","0.22046682576694598","true","0.04393527758543042","true","3","9"
"33","B9","false","pTRIP JAK1 WT 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5058342933273146","","","16.907089485679023","0.9499240938569745","16.904837802397118","0.033195218780398314","true","0.41000538051404206","true","3","10"
"35","B11","false","pTRIP JAK1 WT 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1361110307919418","","","11.79332918504311","0.9093411001791879","12.011414640325858","0.20633216462803314","true","0.04393527758543042","true","3","9"
