# File Name: /shared/data/ui/current_run/Exp38_12.30.24_ZP_20241230_173808.eds
# Comment: 
# Operator: Guest
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-12-30 05:39:58 PM EST
# Run End Date/Time: 2024-12-30 07:13:03 PM EST
# Run Duration: 93 minutes 4 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-12-30 07:13:24 PM EST
# Exported On: 2024-12-30 07:13:25 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","Luciferase 5","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.217255054606868","","","12.78550732698422","0.9290188702501097","13.049557343179666","0.37126057137342133","true","0.054585737036267165","true","3","9"
"1","A1","false","Luciferase 5","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5601157848379195","","","26.514333939704834","0.9811969020396264","26.5489561752356","0.0544928219356931","true","0.5466064164380489","true","3","20"
"2","A2","false","JAK1 S703I 45","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2004265267867578","","","17.36814227120498","0.9334582001162836","17.425367728594935","0.25681220402992405","true","0.054585737036267165","true","3","14"
"2","A2","false","JAK1 S703I 45","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.56927089992819","","","21.357381167434568","0.9731865209855056","21.380257394668956","0.06068595777185297","true","0.5466064164380489","true","3","15"
"3","A3","false","Luciferase 15","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2307979926686181","","","14.428644327944582","0.9382606670628","14.624389491864406","0.39711380441339106","true","0.054585737036267165","true","3","11"
"3","A3","false","Luciferase 15","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5647318559640553","","","28.554914266390014","0.9851637127378183","28.560943544700123","0.03737982961987362","true","0.5466064164380489","true","3","22"
"4","A4","false","JAK1 S703I 135","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2243111627709906","","","17.30002265781895","0.9416660627561906","17.66698614992666","0.41941054255084553","true","0.054585737036267165","true","3","14"
"4","A4","false","JAK1 S703I 135","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5628267727969278","","","23.434285869839883","0.9688976080468601","23.409718184136647","0.03297826757834566","true","0.5466064164380489","true","3","18"
"5","A5","false","Luciferase 45","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2416471554003643","","","15.76877066545001","0.9197108809459646","16.0351086481665","0.2642931972854723","true","0.054585737036267165","true","3","12"
"5","A5","false","Luciferase 45","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5633280660407138","","","29.739023823867385","0.9703301975957751","29.83200571636503","0.10998121890580154","true","0.5466064164380489","true","3","24"
"6","A6","false","JAK1 S703I 405","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2334210307907751","","","17.326423346551664","0.9303282323222478","17.522702391191242","0.3462634053986244","true","0.054585737036267165","true","3","14"
"6","A6","false","JAK1 S703I 405","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5545475064524024","","","25.690920907747717","0.9690359780867935","25.694584876571042","0.06416271046390726","true","0.5466064164380489","true","3","20"
"7","A7","false","Luciferase 135","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2335925891214052","","","16.58801796703805","0.9576960826704459","16.921723758380622","0.34056667148999814","true","0.054585737036267165","true","3","13"
"7","A7","false","Luciferase 135","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5666505959309471","","","30.080933068339917","0.96868712193027","30.064717682705027","0.11272991304333164","true","0.5466064164380489","true","3","24"
"8","A8","false","JAK1 E139K 5","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.0930564533571305","","","12.704223676160336","0.7305148117452335","13.021748533903747","0.31836839589152177","true","0.054585737036267165","true","3","9"
"8","A8","false","JAK1 E139K 5","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5568435545923511","","","13.726579556804854","0.9651871373778844","13.684359056048274","0.09006542561824268","true","0.5466064164380489","true","3","8"
"9","A9","false","Luciferase 405","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2397053540657912","","","16.98203041559129","0.933274962852868","17.30797731993856","0.4090198561562047","true","0.054585737036267165","true","3","13"
"9","A9","false","Luciferase 405","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.564044838272145","","","30.134352622812834","0.9749521393392042","30.319578368767548","0.1608431398868118","true","0.5466064164380489","true","3","24"
"10","A10","false","JAK1 E139K 15","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.1557545198006118","","","14.98549138425069","0.9454894856959034","15.262589284080947","0.37002361258420774","true","0.054585737036267165","true","3","11"
"10","A10","false","JAK1 E139K 15","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.555820119482905","","","17.35517530545265","0.9673395282915208","17.29074178106033","0.08184548167313788","true","0.5466064164380489","true","3","11"
"11","A11","false","JAK1 WT 5","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.0801018297065699","","","12.827719836891813","0.6947015010121663","13.288396492216775","0.4331943541003142","true","0.054585737036267165","true","3","9"
"11","A11","false","JAK1 WT 5","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5508474546383992","","","13.84392722763042","0.9560214551849832","13.909015914975825","0.07961341651370045","true","0.5466064164380489","true","3","8"
"12","A12","false","JAK1 E139K 45","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.1832543270748497","","","16.2229208009202","0.9355155815788817","16.535112741288117","0.3833116523673039","true","0.054585737036267165","true","3","13"
"12","A12","false","JAK1 E139K 45","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5465226928522973","","","19.966928839013985","0.9706692791482494","19.91855379337617","0.06754636194799267","true","0.5466064164380489","true","3","13"
"13","A13","false","JAK1 WT 15","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.1504312923651745","","","15.064133467377946","0.9188661299485245","15.185044216659115","0.2781316384151044","true","0.054585737036267165","true","3","12"
"13","A13","false","JAK1 WT 15","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5553018719396676","","","17.244040512301765","0.9638275079296359","17.335969105667896","0.08122999390730966","true","0.5466064164380489","true","3","10"
"14","A14","false","JAK1 E139K 135","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2080190646670446","","","16.937312371049487","0.9444609433459183","17.24454281144655","0.3402430130673515","true","0.054585737036267165","true","3","13"
"14","A14","false","JAK1 E139K 135","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5446648027641612","","","22.061383414182995","0.9704732734981104","21.99417647234361","0.05836030580435334","true","0.5466064164380489","true","3","16"
"15","A15","false","JAK1 WT 45","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.1849048586825335","","","16.095873007688077","0.936510974446024","16.238778186822195","0.3423532565880015","true","0.054585737036267165","true","3","13"
"15","A15","false","JAK1 WT 45","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5491762743305613","","","19.891069801207337","0.9731477646185684","19.934672741167148","0.047560895425392845","true","0.5466064164380489","true","3","14"
"16","A16","false","JAK1 E139K 405","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2271442020209795","","","17.083300811788668","0.9426311643543223","17.501245418629697","0.46925066284169353","true","0.054585737036267165","true","3","13"
"16","A16","false","JAK1 E139K 405","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.553477676722354","","","23.725191419246784","0.9730324395962553","23.687755651225668","0.07902785761492802","true","0.5466064164380489","true","3","17"
"17","A17","false","JAK1 WT 135","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.20898164966747","","","16.657275273850622","0.9396721119916202","17.023645652772817","0.39124439561742164","true","0.054585737036267165","true","3","13"
"17","A17","false","JAK1 WT 135","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5476081493817555","","","21.99463954719384","0.9740479963604941","21.99762118645567","0.013335418207052464","true","0.5466064164380489","true","3","16"
"18","A18","false","U4C WT Control","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2419414214378859","","","12.182344829282549","0.9828176946521114","12.378836913810467","0.25690642189244134","true","0.054585737036267165","true","3","8"
"18","A18","false","U4C WT Control","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5644353277263647","","","26.721308961407296","0.9750492946945141","26.70831576845647","0.0489110867046045","true","0.5466064164380489","true","3","20"
"19","A19","false","JAK1 WT 405","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2244827493623298","","","17.63571303095126","0.928488795373607","18.037306803188006","0.4622983095699061","true","0.054585737036267165","true","3","14"
"19","A19","false","JAK1 WT 405","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.543604882918055","","","24.21921199569536","0.9724132711175157","24.31997065524447","0.08783376016904655","true","0.5466064164380489","true","3","17"
"21","A21","false","JAK1 S703I 5","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.0961701964280852","","","14.975402008550557","0.7835167957926421","15.58208182442425","0.43576468988879147","true","0.054585737036267165","true","3","11"
"21","A21","false","JAK1 S703I 5","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5551076265310784","","","16.08862453175285","0.9664561079515273","16.19549770432628","0.10588416547966399","true","0.5466064164380489","true","3","10"
"23","A23","false","JAK1 S703I 15","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.1476829869086684","","","17.033210752648536","0.9369676964486079","17.20669414656682","0.38266904534313145","true","0.054585737036267165","true","3","14"
"23","A23","false","JAK1 S703I 15","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.561199710408227","","","19.36174063308706","0.9813928592767832","19.434543124684108","0.07774164735438434","true","0.5466064164380489","true","3","12"
"25","B1","false","Luciferase 5","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2235041192724507","","","12.786848194878125","0.9468573733150828","13.049557343179666","0.37126057137342133","true","0.054585737036267165","true","3","10"
"25","B1","false","Luciferase 5","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.566005544177675","","","26.611769416550423","0.9772583980317652","26.5489561752356","0.0544928219356931","true","0.5466064164380489","true","3","21"
"26","B2","false","JAK1 S703I 45","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.194282772980959","","","17.27661405239924","0.9273508358760238","17.425367728594935","0.25681220402992405","true","0.054585737036267165","true","3","14"
"26","B2","false","JAK1 S703I 45","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5650600582223135","","","21.44905659388617","0.9691477427706567","21.380257394668956","0.06068595777185297","true","0.5466064164380489","true","3","15"
"27","B3","false","Luciferase 15","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2365251169679474","","","14.259991025018216","0.9539045417066412","14.624389491864406","0.39711380441339106","true","0.054585737036267165","true","3","11"
"27","B3","false","Luciferase 15","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5695854414742647","","","28.60097152624548","0.9777957367910283","28.560943544700123","0.03737982961987362","true","0.5466064164380489","true","3","22"
"28","B4","false","JAK1 S703I 135","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2252107358612645","","","17.404054240627907","0.9377965390309911","17.66698614992666","0.41941054255084553","true","0.054585737036267165","true","3","14"
"28","B4","false","JAK1 S703I 135","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5613771698784866","","","23.42263132021059","0.9710272145096844","23.409718184136647","0.03297826757834566","true","0.5466064164380489","true","3","17"
"29","B5","false","Luciferase 45","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2494728240319104","","","15.814686390284162","0.9397777713333456","16.0351086481665","0.2642931972854723","true","0.054585737036267165","true","3","12"
"29","B5","false","Luciferase 45","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5686227454155268","","","29.803585753779934","0.9803857168919008","29.83200571636503","0.10998121890580154","true","0.5466064164380489","true","3","23"
"30","B6","false","JAK1 S703I 405","GAPDH","UNKNOWN","VIC","TAMRA","Amp","1.2308042077528585","","","17.411955857971897","0.9233533398281704","17.522702391191242","0.3462634053986244","true","0.054585737036267165","true","3","14"
