# File Name: /shared/data/ui/current_run/Exp40_U4Cs_ZP_1.24.25_20250124_154841.eds
# Comment: 
# Operator: Guest
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2025-01-24 03:48:38 PM EST
# Run End Date/Time: 2025-01-24 05:23:09 PM EST
# Run Duration: 94 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-01-24 05:23:54 PM EST
# Exported On: 2025-01-24 05:23:55 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1648177815830838","","","11.504582451031354","0.9215587948671827","11.664869358710334","0.1606487341704844","true","0.03999999910593033","true","3","8"
"1","A1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5101032614928322","","","25.285790484732658","0.9800287766071692","25.21457244021237","0.06723595643522975","true","0.4274603861666323","true","3","20"
"2","A2","false","pTRIP JAK1 E362D 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0906991514869142","","","12.763558285162183","0.9370198830106745","12.703941206423933","0.15110130981829342","true","0.03999999910593033","true","3","10"
"2","A2","false","pTRIP JAK1 E362D 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5124704703000393","","","15.27650972434823","0.9832386850231681","15.364228861473029","0.08620846810048453","true","0.4274603861666323","true","3","9"
"3","A3","false","pTRIP Luciferase 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1737267436058179","","","11.76483925093309","0.9527303777758874","11.792826648063889","0.15823790805379132","true","0.03999999910593033","true","3","9"
"3","A3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.508497159215527","","","25.01451886169795","0.9805955168298346","25.047903877862428","0.03331688376912935","true","0.4274603861666323","true","3","19"
"4","A4","false","pTRIP JAK1 E362D 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.12209508768261","","","11.615340832810247","0.9556743574155085","11.93976075623391","0.16280575469494443","true","0.03999999910593033","true","3","8"
"4","A4","false","pTRIP JAK1 E362D 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5112250209478293","","","15.376824359768214","0.9789914283557142","15.381125913222094","0.06741055120640688","true","0.4274603861666323","true","3","9"
"5","A5","false","pTRIP Luciferase 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1837993946254217","","","11.85651690861583","0.9220245455470523","12.063105723680833","0.15431518698492522","true","0.03999999910593033","true","3","9"
"5","A5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.516343489977544","","","24.169958125131117","0.9762865407873477","24.12546971942","0.042614310487705344","true","0.4274603861666323","true","3","19"
