# File Name: /shared/data/ui/current_run/Exp42_ZP_u4cs_2.5.25_20250205_122010.eds
# Comment: 
# Operator: Guest
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2025-02-05 12:20:58 PM EST
# Run End Date/Time: 2025-02-05 01:54:02 PM EST
# Run Duration: 93 minutes 4 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-02-05 01:54:13 PM EST
# Exported On: 2025-02-05 01:54:14 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1480242111253611","","","12.971507275624113","0.9485817008209573","13.074951014872445","0.16728497119337873","true","0.03999999910593033","true","3","10"
"1","A1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5045011125627539","","","25.78878113021262","0.9925623873909022","25.896960033566767","0.09644985424050138","true","0.3640760311693096","true","3","19"
"2","A2","false","pTRIP JAK1 I735T 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0253625335617575","","","13.985519516368113","0.819162690208201","14.021814490917082","0.10785326528353514","true","0.03999999910593033","true","3","11"
"2","A2","false","pTRIP JAK1 I735T 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5106894848723518","","","14.807173305537393","0.9712789606339451","14.84459797329672","0.07141976612054252","true","0.3640760311693096","true","3","10"
"3","A3","false","pTRIP Luciferase 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1539553998872705","","","12.90310498960628","0.9660844489791156","13.072824388669288","0.1413525232465781","true","0.03999999910593033","true","3","10"
"3","A3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5156305325026018","","","25.53471652045465","0.9870272472483596","25.571266926793086","0.06814223489220261","true","0.3640760311693096","true","3","20"
"4","A4","false","pTRIP JAK1 I735T 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0427370312147037","","","13.171525343261028","0.82092833513576","13.450425171022715","0.15958978386463687","true","0.03999999910593033","true","3","10"
"4","A4","false","pTRIP JAK1 I735T 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.502410046464015","","","14.75127260816079","0.9677704784067025","14.770846620369406","0.023496154432427137","true","0.3640760311693096","true","3","9"
"5","A5","false","pTRIP Luciferase 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1562125711105065","","","12.8613764931496","0.9547278369755744","13.101629529935726","0.14569019824746976","true","0.03999999910593033","true","3","10"
"5","A5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.516202582375683","","","25.902061881573623","0.9773748246985892","25.931103507136612","0.030635929830400692","true","0.3640760311693096","true","3","20"
"6","A6","false","pTRIP JAK1 I735T 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0668325062943778","","","12.61053157592821","0.8930896757217827","12.925958677800006","0.2095607214990282","true","0.03999999910593033","true","3","9"
"6","A6","false","pTRIP JAK1 I735T 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4958867984478288","","","14.76971620404743","0.9488334873632089","14.795958075882702","0.04792723641174117","true","0.3640760311693096","true","3","9"
"7","A7","false","pTRIP JAK1 WT 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0808835152420797","","","12.667893077701176","0.9249670378276682","12.893092395065821","0.2232128913543676","true","0.03999999910593033","true","3","10"
"7","A7","false","pTRIP JAK1 WT 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5026053909329489","","","14.68431217757163","0.9736312696815","14.78163906518464","0.08921351682441449","true","0.3640760311693096","true","3","8"
"9","A9","false","pTRIP JAK1 WT 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0797005815879723","","","12.105381774076637","0.9440200475324261","12.743738922022947","0.48018235470061466","true","0.03999999910593033","true","3","9"
"9","A9","false","pTRIP JAK1 WT 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4947617876897143","","","14.574965120553806","0.9840258912847841","14.72392339027664","0.13619199868258092","true","0.3640760311693096","true","3","9"
"11","A11","false","pTRIP JAK1 WT 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0777030988077172","","","12.40155069374034","0.9096025859733434","12.97983977697009","0.2944662559038048","true","0.03999999910593033","true","3","9"
"11","A11","false","pTRIP JAK1 WT 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4944426079279571","","","14.75966800708423","0.9783484906008897","14.883120113032723","0.11901930317620442","true","0.3640760311693096","true","3","9"
"13","A13","false","pTRIP JAK1 S703I 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0650653625962223","","","12.197374892974807","0.8714959928456575","12.98565135191651","0.4916628315558568","true","0.03999999910593033","true","3","9"
"13","A13","false","pTRIP JAK1 S703I 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5022698398035668","","","14.199128601268544","0.9621275165827233","14.317638259347168","0.16742755478121873","true","0.3640760311693096","true","3","9"
"15","A15","false","pTRIP JAK1 S703I 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0674729090236559","","","12.510101072537502","0.9083467682956556","12.850500747961801","0.26221522571506006","true","0.03999999910593033","true","3","9"
"15","A15","false","pTRIP JAK1 S703I 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4958366292315797","","","14.6431922934941","0.9630970099941005","14.670379311019381","0.0930119494807492","true","0.3640760311693096","true","3","9"
"17","A17","false","pTRIP JAK1 S703I 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0561882515184797","","","12.596758610343656","0.8769105442955113","13.09962048405871","0.3002274081742164","true","0.03999999910593033","true","3","9"
"17","A17","false","pTRIP JAK1 S703I 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.494179773525653","","","14.555834201225451","0.9682576610427522","14.686600058359671","0.15490622820863728","true","0.3640760311693096","true","3","8"
"19","A19","false","pTRIP JAK1 E139K 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","0.9934535134431062","","","12.910520756295586","0.6761188834783106","13.156707025979765","0.17792339086539585","true","0.03999999910593033","true","3","10"
"19","A19","false","pTRIP JAK1 E139K 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5078370383972846","","","13.08827285364356","0.9608906380425906","13.182422781151459","0.09288511551157998","true","0.3640760311693096","true","3","7"
"21","A21","false","pTRIP JAK1 E139K 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","0.9841444375563724","","","12.77465818540922","0.6776675393770426","13.36756690886705","0.2250862730399607","true","0.03999999910593033","true","3","9"
"21","A21","false","pTRIP JAK1 E139K 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.4987084171977079","","","13.179214444696111","0.9698088052331905","13.266368861574804","0.07787832499081895","true","0.3640760311693096","true","3","7"
"23","A23","false","pTRIP JAK1 E139K 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","0.9473987241733817","","","12.875582797554788","0.5983584950587124","13.475342540877548","0.38905349042592796","true","0.03999999910593033","true","3","10"
"23","A23","false","pTRIP JAK1 E139K 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5121155990004431","","","12.494015447650696","0.9709307200765362","12.714508976262179","0.2448223903880893","true","0.3640760311693096","true","3","7"
"25","B1","false","pTRIP Luciferase 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1434288404587414","","","12.818501784513398","0.943102700634967","13.074951014872445","0.16728497119337873","true","0.03999999910593033","true","3","9"
"25","B1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5058439572074163","","","25.973974755902766","0.9799715073341133","25.896960033566767","0.09644985424050138","true","0.3640760311693096","true","3","20"
"26","B2","false","pTRIP JAK1 I735T 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.023290239727499","","","13.94686314874452","0.7915275059701754","14.021814490917082","0.10785326528353514","true","0.03999999910593033","true","3","11"
"26","B2","false","pTRIP JAK1 I735T 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5055943349953966","","","14.799668114606831","0.9649025210822094","14.84459797329672","0.07141976612054252","true","0.3640760311693096","true","3","10"
"27","B3","false","pTRIP Luciferase 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.1570744296707534","","","12.928406818868655","0.9681512277908954","13.072824388669288","0.1413525232465781","true","0.03999999910593033","true","3","10"
