# File Name: /shared/data/ui/current_run/Exp43_qPCR_1_2.12.25_U4Cs_20250211_165140.eds,,,,,,,,,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,,,,,,,,,
# Operator: Guest,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,
# Instrument Type: QuantStudio™ 6 Pro System,,,,,,,,,,,,,,,,,,,,
# Block Type: 384-Well Block,,,,,,,,,,,,,,,,,,,,
# Instrument Name: QS6Pro-2778624010008,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number: 2778624010008,,,,,,,,,,,,,,,,,,,,
# Heated Cover Serial Number: 2779324012939,,,,,,,,,,,,,,,,,,,,
# Block Serial Number: 2778323082972,,,,,,,,,,,,,,,,,,,,
# Run Start Date/Time: 2025-02-11 04:52:06 PM EST,,,,,,,,,,,,,,,,,,,,
# Run End Date/Time: 2025-02-11 06:25:48 PM EST,,,,,,,,,,,,,,,,,,,,
# Run Duration: 93 minutes 42 seconds,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 20.0,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,
# Passive Reference: ROX,,,,,,,,,,,,,,,,,,,,
# PCR Stage/Step Number: Stage 2 Step 2,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,
# Analysis Date/Time: 2025-02-11 06:26:05 PM EST,,,,,,,,,,,,,,,,,,,,
# Exported On: 2025-02-11 06:26:06 PM EST,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End
1,A1,FALSE,NT 0 IFN,B-ACTIN,UNKNOWN,VIC,TAMRA,Amp,1.1271952308541215,,,16.64492832372457,0.6915805879527953,16.90111589428098,0.5333561123376231,TRUE,0.039999999,TRUE,3,13
1,A1,FALSE,NT 0 IFN,JAK1,UNKNOWN,FAM,NFQ-MGB,Amp,1.557691438041038,,,26.801301620644026,0.9775157131764003,26.887492840769763,0.081216598,TRUE,0.5697730345922734,TRUE,3,20
2,A2,FALSE,JAK1 WT 10 u/mL IFNa2b,B-ACTIN,UNKNOWN,VIC,TAMRA,Amp,1.0382180134348158,,,16.581661549619405,0.6760498098258263,17.25967981720168,0.7598680289272313,TRUE,0.039999999,TRUE,3,13
2,A2,FALSE,JAK1 WT 10 u/mL IFNa2b,JAK1,UNKNOWN,FAM,NFQ-MGB,Amp,1.5709678343767524,,,18.61493791887291,0.962489206,18.78482359,0.1562913270474143,TRUE,0.5697730345922734,TRUE,3,13
3,A3,FALSE,Luc 0 IFN,B-ACTIN,UNKNOWN,VIC,TAMRA,Amp,1.1414491650454541,,,15.897463667018538,0.6594869350241169,16.307912354199406,0.5417271359566079,TRUE,0.039999999,TRUE,3,12
3,A3,FALSE,Luc 0 IFN,JAK1,UNKNOWN,FAM,NFQ-MGB,Amp,1.5607374715308133,,,26.761760556735133,0.9732230473338795,26.83413576171613,0.0858662,TRUE,0.5697730345922734,TRUE,3,20
4,A4,FALSE,JAK1 S703I 10 u/mL IFNa2b,B-ACTIN,UNKNOWN,VIC,TAMRA,Amp,1.054533134032531,,,16.53407479831391,0.6835613473209399,17.10042794432974,0.7487215999726371,TRUE,0.039999999,TRUE,3,13
4,A4,FALSE,JAK1 S703I 10 u/mL IFNa2b,JAK1,UNKNOWN,FAM,NFQ-MGB,Amp,1.568156048171178,,,18.86317853161274,0.9625627071500795,18.99426669049603,0.14135292749937356,TRUE,0.5697730345922734,TRUE,3,13
5,A5,FALSE,JAK1 WT 0 IFN,B-ACTIN,UNKNOWN,VIC,TAMRA,Amp,1.0523824676625515,,,16.29164977122852,0.6765445454724031,16.826130595345063,0.6677754462305673,TRUE,0.039999999,TRUE,3,13
5,A5,FALSE,JAK1 WT 0 IFN,JAK1,UNKNOWN,FAM,NFQ-MGB,Amp,1.5639068880767972,,,18.54330848704459,0.9646561130993475,18.60784109939023,0.064086074,TRUE,0.5697730345922734,TRUE,3,13
