# File Name: /shared/data/ui/current_run/Exp43_qPCR_2_2.12.25_U4Cs_20250212_113751.eds
# Comment: 
# Operator: Guest
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2025-02-12 11:38:07 AM EST
# Run End Date/Time: 2025-02-12 01:13:02 PM EST
# Run Duration: 94 minutes 55 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-02-12 01:13:20 PM EST
# Exported On: 2025-02-12 01:13:22 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","JAK1 E139K 1 ng/mL IFNL2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","0.9949300918892126","","","19.970546691925996","0.7319789855655404","20.27758505018527","1.105908461641333","true","0.03999999910593033","true","3","17"
"1","A1","false","JAK1 E139K 1 ng/mL IFNL2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5668252754297625","","","20.644555198771002","0.9701270813013133","20.744113269932658","0.0869345654601199","true","0.5009017864296207","true","3","13"
"2","A2","false","Luc 0.1 ng/mL IFNG","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.1386588433237372","","","19.941564674429713","0.7555526348433098","20.057178873433784","0.6342288185813251","true","0.03999999910593033","true","3","17"
"2","A2","false","Luc 0.1 ng/mL IFNG","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5536858383433692","","","29.006545481137422","0.9624971118767238","29.089221962889265","0.08911530748948077","true","0.5009017864296207","true","3","23"
"3","A3","false","NT 10 ng/mL IFNL2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.1409192026529111","","","18.909098215143644","0.727243276631677","18.90447998124504","0.548511958015103","true","0.03999999910593033","true","3","16"
"3","A3","false","NT 10 ng/mL IFNL2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.550729037174265","","","28.843811944152094","0.9657701738774926","28.8796713598643","0.06013933712103787","true","0.5009017864296207","true","3","22"
"4","A4","false","JAK1 WT 0.1 ng/mL IFNG","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.0281736463337734","","","18.785379576505647","0.7396262161876687","18.824742437091853","0.4984342653256111","true","0.03999999910593033","true","3","16"
"4","A4","false","JAK1 WT 0.1 ng/mL IFNG","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5704712041124582","","","20.14438886370594","0.9643115178173759","20.138493428917716","0.012440719655608097","true","0.5009017864296207","true","3","14"
"5","A5","false","Luc 10 ng/mL IFNL2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.1357538028111243","","","18.40787536452443","0.7177404338766292","18.45206604207115","0.5119409402797743","true","0.03999999910593033","true","3","15"
"5","A5","false","Luc 10 ng/mL IFNL2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.561009186624864","","","28.146174744397243","0.9666714526358117","28.189541372041123","0.04044441156276078","true","0.5009017864296207","true","3","23"
"6","A6","false","JAK1 S703I 0.1 ng/mL IFNG","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.0632328207265391","","","18.252667654001236","0.7511118550418044","18.565193094261083","0.6380567578502688","true","0.03999999910593033","true","3","15"
"6","A6","false","JAK1 S703I 0.1 ng/mL IFNG","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5557660837438727","","","20.620924400558295","0.969714842022286","20.631755811281117","0.033159742510860235","true","0.5009017864296207","true","3","14"
"7","A7","false","JAK1 WT 10 ng/mL IFNL2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.0109228844103881","","","19.48796555496466","0.7109396264337098","19.62497558204771","0.45046282529183074","true","0.03999999910593033","true","3","16"
"7","A7","false","JAK1 WT 10 ng/mL IFNL2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5638185963846492","","","20.383864323624792","0.9657921054782277","20.428887367478506","0.04610065057915619","true","0.5009017864296207","true","3","14"
"8","A8","false","JAK1 E139K 0.1 ng/mL IFNG","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.0035577333275434","","","19.35483848061652","0.730807221489783","19.416168264837793","0.5881647004476848","true","0.03999999910593033","true","3","16"
"8","A8","false","JAK1 E139K 0.1 ng/mL IFNG","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5577411674016777","","","20.437159322633434","0.9731791944544617","20.40032339520335","0.1293051213412076","true","0.5009017864296207","true","3","14"
"9","A9","false","JAK1 S703I 10 ng/mL IFNL2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.0431685525852548","","","18.37526542211782","0.7245391125758774","18.557846451926043","0.47751148308249797","true","0.03999999910593033","true","3","15"
"9","A9","false","JAK1 S703I 10 ng/mL IFNL2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5642948531954544","","","20.1709145708839","0.9689744292186949","20.152452462976356","0.04363336472272116","true","0.5009017864296207","true","3","15"
"10","A10","false","NT 1 ng/mL IFNG","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.138971576967801","","","20.735422355544422","0.7634697723188564","20.851902773518578","0.5917111370359193","true","0.03999999910593033","true","3","18"
"10","A10","false","NT 1 ng/mL IFNG","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5447998623831145","","","29.500147505578312","0.9696519594587942","29.357632845390942","0.12614971420056104","true","0.5009017864296207","true","3","23"
"11","A11","false","JAK1 E139K 10 ng/mL IFNL2","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.0217097032934184","","","19.246156904769897","0.6899350664459108","19.856108357824333","0.5890284417868716","true","0.03999999910593033","true","3","16"
"11","A11","false","JAK1 E139K 10 ng/mL IFNL2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.564343343441225","","","20.19586226569416","0.9695586441977249","20.213661914227526","0.02109702016151214","true","0.5009017864296207","true","3","14"
"12","A12","false","Luc 1 ng/mL IFNG","B-ACTIN","UNKNOWN","VIC","TAMRA","Amp","1.1373186946880773","","","19.978884728558363","0.741603611046233","20.147454584298732","0.5945119869156714","true","0.03999999910593033","true","3","17"
"12","A12","false","Luc 1 ng/mL IFNG","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5504056417658618","","","29.356281277610677","0.9704832922302643","29.297584144686407","0.08145590137334134","true","0.5009017864296207","true","3","23"
