# File Name: /Volumes/USB DISK/qPCR/Exp9_4.2.2024_u4cs_20240402_122421.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-02 12:24:47 PM EDT
# Run End Data/Time: 2024-04-02 01:57:50 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-02 04:54:27 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-02 04:55:30 PM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","FAM","ROX"
"1","A1","2","2","1","192516.95","430442.56","298863.5"
"1","A1","2","2","2","192566.17","429629.9","298413.34"
"1","A1","2","2","3","192556.42","428164.34","297634.3"
"1","A1","2","2","4","192517.7","427852.16","297303.47"
"1","A1","2","2","5","192654.75","427795.38","296918.12"
"1","A1","2","2","6","193286.69","427808.62","296149.97"
"1","A1","2","2","7","193518.08","427991.47","296071.2"
"1","A1","2","2","8","194181.16","428243.88","296473.53"
"1","A1","2","2","9","194892.53","428084.16","296528.75"
"1","A1","2","2","10","195622.1","428401.12","296638.66"
"1","A1","2","2","11","196540.39","430019.34","296918.94"
"1","A1","2","2","12","197053.77","430950.56","296959.25"
"1","A1","2","2","13","198374.7","433774.03","297082.28"
"1","A1","2","2","14","200429.67","436310.78","297051.53"
"1","A1","2","2","15","203578.66","441553.47","297114.84"
"1","A1","2","2","16","209212.23","453853.2","297190.38"
"1","A1","2","2","17","217993.86","474733.34","297228.56"
"1","A1","2","2","18","231944.36","510232.56","297746.16"
"1","A1","2","2","19","251155.84","571172.1","298376.44"
"1","A1","2","2","20","274380.53","661863.0","298991.3"
"1","A1","2","2","21","298345.28","784051.5","299404.44"
"1","A1","2","2","22","321306.22","932979.94","299668.0"
"1","A1","2","2","23","342396.62","1095031.2","301040.8"
"1","A1","2","2","24","361579.94","1258646.2","301771.8"
"1","A1","2","2","25","380000.22","1417686.8","302486.03"
"1","A1","2","2","26","396535.28","1566839.0","303206.88"
"1","A1","2","2","27","411828.0","1703216.1","303805.38"
"1","A1","2","2","28","426467.78","1826032.8","304181.34"
"1","A1","2","2","29","439981.84","1940115.9","304854.5"
"1","A1","2","2","30","452688.72","2040849.8","305605.28"
"1","A1","2","2","31","464111.8","2126442.2","306182.4"
"1","A1","2","2","32","474414.34","2203140.2","306998.0"
"1","A1","2","2","33","482985.47","2271065.2","307182.97"
"1","A1","2","2","34","492282.88","2323415.5","307353.78"
"1","A1","2","2","35","498571.0","2371301.0","307650.16"
"1","A1","2","2","36","506064.56","2413069.2","308019.72"
"1","A1","2","2","37","512882.56","2442812.0","308094.66"
"1","A1","2","2","38","518340.9","2471931.8","308576.97"
"1","A1","2","2","39","525250.8","2494312.2","308952.25"
"1","A1","2","2","40","529842.7","2511134.2","309190.16"
"2","A2","2","2","1","219702.23","432891.4","334237.8"
"2","A2","2","2","2","221748.03","436931.75","336973.53"
"2","A2","2","2","3","227310.38","449101.1","345039.38"
"2","A2","2","2","4","233477.55","460569.94","353461.47"
"2","A2","2","2","5","240887.23","474517.5","363175.5"
"2","A2","2","2","6","248535.14","490267.53","373108.6"
"2","A2","2","2","7","256047.83","504704.22","382159.25"
"2","A2","2","2","8","259641.98","511419.88","385046.4"
"2","A2","2","2","9","261729.5","514278.56","386272.2"
"2","A2","2","2","10","263826.28","517756.78","388337.56"
"2","A2","2","2","11","266088.03","522140.0","389160.3"
"2","A2","2","2","12","268163.16","526026.4","391580.53"
"2","A2","2","2","13","271872.2","531722.7","392205.75"
"2","A2","2","2","14","276598.94","539938.3","395349.9"
"2","A2","2","2","15","282354.78","551028.44","399143.4"
"2","A2","2","2","16","292222.2","569901.3","400539.75"
"2","A2","2","2","17","307947.6","603242.9","402886.1"
"2","A2","2","2","18","332933.47","663632.2","406423.1"
"2","A2","2","2","19","368431.62","765617.5","408977.2"
"2","A2","2","2","20","410300.47","926699.3","410670.9"
"2","A2","2","2","21","453720.16","1148563.1","414763.06"
"2","A2","2","2","22","491971.38","1411731.1","415486.94"
"2","A2","2","2","23","528092.94","1695617.2","416938.78"
