# File Name: /Volumes/USB DISK/qPCR/Exp9_4.2.2024_u4cs_20240402_122421.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-02 12:24:47 PM EDT
# Run End Data/Time: 2024-04-02 01:57:50 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-02 04:54:27 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-02 04:55:30 PM EDT
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"pTRIP JAK1 D99E 1","GAPDH","16.70218457278461","","16.70218457278461","0.12404792304541264","0.04134930768180421","0.09961005775754472","0.933285212650979","0.8361988404489807","1.0416437407223682","FALSE"
"pTRIP JAK1 D99E 1","IFI27","27.371109564357685","","27.371109564357685","0.06720391490810222","0.03880019836278952","-3.415307148285514","10.668660521779335","7.3038104224768885","15.583689984436079","FALSE"
"pTRIP JAK1 D99E 1","JAK1","19.128872660597377","","19.128872660597377","0.06148892618499936","0.03550064808509041","1.2587416394832758","0.41790831255958505","0.2954709195220037","0.5910813760925595","FALSE"
"pTRIP JAK1 D99E 1","RSAD2","29.952268622516275","","29.952268622516275","0.2572774938715039","0.14853923034314506","-2.350101272611351","5.09860040227574","1.195260462430907","21.749005241264765","FALSE"
"pTRIP JAK1 D99E 2","GAPDH","16.68454654636637","","16.68454654636637","0.18247617142126804","0.060825390473756014","0.08197203133930486","0.9447653564171747","0.8038028083895037","1.1104484450290044","FALSE"
"pTRIP JAK1 D99E 2","IFI27","32.013008891683015","","32.013008891683015","0.23436645633063827","0.1353115366515127","1.226592179039816","0.4273256497658807","0.1139914232013794","1.6019381618320079","FALSE"
"pTRIP JAK1 D99E 2","JAK1","16.32111954106171","","16.32111954106171","0.20650674290599294","0.11922672360624788","-1.5490114800523926","2.9261657258875187","0.9133378548821468","9.37489430618606","FALSE"
"pTRIP JAK1 D99E 2","RSAD2","34.052685603188834","","34.052685603188834","0.09006470649991609","0.051998882542211196","1.7503157080612084","0.29723672668049406","0.17888069175725235","0.493902784139657","FALSE"
"pTRIP JAK1 D99E 3","GAPDH","16.816423092824714","","16.816423092824714","0.12067434530695738","0.04022478176898579","0.21384857779764843","0.8622340385189059","0.7748501274388717","0.959472691368013","FALSE"
"pTRIP JAK1 D99E 3","IFI27","31.9215486650557","","31.9215486650557","0.1891688857019753","0.109216707082337","1.1351319524125003","0.45529327265672215","0.15670343375305718","1.3228297501963593","FALSE"
"pTRIP JAK1 D99E 3","JAK1","16.441646580175274","","16.441646580175274","0.12725560850356354","0.07347105982542204","-1.4284844409388278","2.691638087428171","1.3134371852692204","5.5159970152732996","FALSE"
"pTRIP JAK1 D99E 3","RSAD2","34.39623248998107","","34.39623248998107","0.20039048530160286","0.11569550063192016","2.093862594853441","0.23425267134624872","0.07568220997096793","0.7250622577472786","FALSE"
