# File Name: /Volumes/USB DISK/qPCR/Exp9_4.2.2024_u4cs_20240402_122421.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-02 12:24:47 PM EDT
# Run End Data/Time: 2024-04-02 01:57:50 PM EDT
# Run Duration: 93 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-02 04:54:27 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-02 04:55:30 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"pTRIP JAK1 D99E 1","GAPDH","9","-","0","16.702184572784606","0.12404792304566613","0.04134930768188871",
"pTRIP JAK1 D99E 1","IFI27","3","-","0","27.371109564357685","0.06720391490926769","0.03880019836346241",
"pTRIP JAK1 D99E 1","JAK1","3","-","0","19.128872660597377","0.06148892618577377","0.03550064808553752",
"pTRIP JAK1 D99E 1","RSAD2","3","-","0","29.952268622516275","0.25727749387147014","0.14853923034312558",
"pTRIP JAK1 D99E 2","GAPDH","9","-","0","16.68454654636637","0.18247617142153885","0.06082539047384628",
"pTRIP JAK1 D99E 2","IFI27","3","-","0","32.013008891683015","0.23436645633093225","0.1353115366516824",
"pTRIP JAK1 D99E 2","JAK1","3","-","0","16.32111954106171","0.20650674290599588","0.11922672360624957",
"pTRIP JAK1 D99E 2","RSAD2","3","-","0","34.052685603188834","0.09006470649918831","0.05199888254179101",
"pTRIP JAK1 D99E 3","GAPDH","9","-","0","16.81642309282471","0.12067434530699073","0.04022478176899691",
"pTRIP JAK1 D99E 3","IFI27","3","-","0","31.9215486650557","0.18916888570194598","0.10921670708232006",
"pTRIP JAK1 D99E 3","JAK1","3","-","0","16.441646580175274","0.12725560850378617","0.07347105982555058",
"pTRIP JAK1 D99E 3","RSAD2","3","-","0","34.39623248998107","0.20039048530147435","0.11569550063184597",
"pTRIP JAK1 G1023D 1","GAPDH","9","-","0","16.862329824038838","0.33016294573604965","0.11005431524534988",
"pTRIP JAK1 G1023D 1","IFI27","3","-","0","32.44243118318942","0.16418585640715888","0.09479274839380243",
"pTRIP JAK1 G1023D 1","JAK1","3","-","0","28.32162151863027","0.5308550005107501","0.3064892774455405",
"pTRIP JAK1 G1023D 1","RSAD2","3","-","0","36.66324172483856","0.8991157377435208","0.635770835229989",
"pTRIP JAK1 G1023D 2","GAPDH","9","-","0","","","",
"pTRIP JAK1 G1023D 2","IFI27","3","-","0","","","",
"pTRIP JAK1 G1023D 2","JAK1","3","-","0","32.59181318820347","0.7541672065544044","0.533276745903135",
"pTRIP JAK1 G1023D 2","RSAD2","3","-","0","","","",
"pTRIP JAK1 G1023D 3","GAPDH","9","-","0","","","",
"pTRIP JAK1 G1023D 3","IFI27","3","-","0","","","",
"pTRIP JAK1 G1023D 3","JAK1","3","-","0","32.65417780661196","0.1557105844112992","0.11010401013974998",
"pTRIP JAK1 G1023D 3","RSAD2","3","-","0","","","",
"pTRIP JAK1 H129R 1","GAPDH","9","-","0","16.440171958550632","0.12420753443433032","0.0414025114781101",
"pTRIP JAK1 H129R 1","IFI27","3","-","0","31.239841783185767","0.2201119392856482","0.12708168739841957",
"pTRIP JAK1 H129R 1","JAK1","3","-","0","17.3729373668282","0.04892644984223333","0.02824769898690614",
"pTRIP JAK1 H129R 1","RSAD2","3","-","0","33.851936161881206","0.3109322648107367","0.17951682678821884",
"pTRIP JAK1 H129R 2","GAPDH","9","-","0","16.543830430975973","0.3249157690860044","0.10830525636200146",
"pTRIP JAK1 H129R 2","IFI27","3","-","0","32.21537400617419","0.2538629944432066","0.1465678681790698",
"pTRIP JAK1 H129R 2","JAK1","3","-","0","28.3497207746789","0.289225491715235","0.1669844154982928",
"pTRIP JAK1 H129R 2","RSAD2","3","-","0","","","",
"pTRIP JAK1 H129R 3","GAPDH","9","-","0","16.968763857641175","0.27302433015230154","0.09100811005076719",
"pTRIP JAK1 H129R 3","IFI27","3","-","0","33.48757349869372","1.2065178798235197","0.6965834226982056",
"pTRIP JAK1 H129R 3","JAK1","3","-","0","29.19060348270787","0.31836867323022344","0.18381023919101352",
"pTRIP JAK1 H129R 3","RSAD2","3","-","0","37.12512305363155","","",
