# File Name: /Volumes/USB DISK/qPCR/Exp9_real_4.4.24_20240404_122458.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-04 12:25:13 PM EDT
# Run End Data/Time: 2024-04-04 01:58:19 PM EDT
# Run Duration: 93 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-04 02:16:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-04 02:17:02 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","GAPDH","0.6248753070831299","0.002163718505339161","pTRIP JAK1 G1023D","FALSE"
"1","A1","2","GAPDH","0.6257976293563843","9.660243988036869E-4","pTRIP JAK1 G1023D","FALSE"
"1","A1","3","GAPDH","0.6281735301017761","0.001221908764405664","pTRIP JAK1 G1023D","FALSE"
"1","A1","4","GAPDH","0.6293917298316956","3.200921145352291E-4","pTRIP JAK1 G1023D","FALSE"
"1","A1","5","GAPDH","0.6314423084259033","2.506543289531242E-4","pTRIP JAK1 G1023D","FALSE"
"1","A1","6","GAPDH","0.6331693530082703","-1.4231746846980102E-4","pTRIP JAK1 G1023D","FALSE"
"1","A1","7","GAPDH","0.634730339050293","-7.013478062369645E-4","pTRIP JAK1 G1023D","FALSE"
"1","A1","8","GAPDH","0.6365561485290527","-9.955547072670675E-4","pTRIP JAK1 G1023D","FALSE"
"1","A1","9","GAPDH","0.6382945775985718","-0.001377142017537893","pTRIP JAK1 G1023D","FALSE"
"1","A1","10","GAPDH","0.6411378383636475","-6.53897632252078E-4","pTRIP JAK1 G1023D","FALSE"
"1","A1","11","GAPDH","0.643988847732544","7.709535685453779E-5","pTRIP JAK1 G1023D","FALSE"
"1","A1","12","GAPDH","0.6464247703552246","3.930015997453333E-4","pTRIP JAK1 G1023D","FALSE"
"1","A1","13","GAPDH","0.6497592926025391","0.0016075074672699178","pTRIP JAK1 G1023D","FALSE"
"1","A1","14","GAPDH","0.6574212908744812","0.007149489359422077","pTRIP JAK1 G1023D","FALSE"
"1","A1","15","GAPDH","0.6703941226005554","0.018002304705706428","pTRIP JAK1 G1023D","FALSE"
"1","A1","16","GAPDH","0.6912674903869629","0.03675565611232403","pTRIP JAK1 G1023D","FALSE"
"1","A1","17","GAPDH","0.7234543561935425","0.06682250553911374","pTRIP JAK1 G1023D","FALSE"
"1","A1","18","GAPDH","0.7721475958824158","0.11339572884819717","pTRIP JAK1 G1023D","FALSE"
"1","A1","19","GAPDH","0.8365755081176758","0.17570362470366732","pTRIP JAK1 G1023D","FALSE"
"1","A1","20","GAPDH","0.9061750173568726","0.24318311756307423","pTRIP JAK1 G1023D","FALSE"
"1","A1","21","GAPDH","0.9761824607849121","0.3110705446113239","pTRIP JAK1 G1023D","FALSE"
"1","A1","22","GAPDH","1.041987419128418","0.3747554865750399","pTRIP JAK1 G1023D","FALSE"
"1","A1","23","GAPDH","1.1051280498504639","0.4357761009172959","pTRIP JAK1 G1023D","FALSE"
"1","A1","24","GAPDH","1.1604433059692383","0.48897134065628045","pTRIP JAK1 G1023D","FALSE"
"1","A1","25","GAPDH","1.2126569747924805","0.5390649930997328","pTRIP JAK1 G1023D","FALSE"
"1","A1","26","GAPDH","1.2608524560928345","0.5851404580202969","pTRIP JAK1 G1023D","FALSE"
"1","A1","27","GAPDH","1.3082563877105713","0.6304243732582439","pTRIP JAK1 G1023D","FALSE"
"1","A1","28","GAPDH","1.354833722114563","0.6748816912824457","pTRIP JAK1 G1023D","FALSE"
"1","A1","29","GAPDH","1.3996965885162354","0.7176245413043282","pTRIP JAK1 G1023D","FALSE"
"1","A1","30","GAPDH","1.4340362548828125","0.7498441912911155","pTRIP JAK1 G1023D","FALSE"
"1","A1","31","GAPDH","1.4658572673797607","0.7795451874082738","pTRIP JAK1 G1023D","FALSE"
"1","A1","32","GAPDH","1.4983491897583008","0.809917093407024","pTRIP JAK1 G1023D","FALSE"
"1","A1","33","GAPDH","1.5331885814666748","0.8426364687356082","pTRIP JAK1 G1023D","FALSE"
"1","A1","34","GAPDH","1.559126853942871","0.8664547248320146","pTRIP JAK1 G1023D","FALSE"
"1","A1","35","GAPDH","1.585145115852356","0.8903529703617096","pTRIP JAK1 G1023D","FALSE"
