# File Name: /Volumes/USB DISK/qPCR/Exp9_real_4.4.24_20240404_122458.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-04 12:25:13 PM EDT
# Run End Data/Time: 2024-04-04 01:58:19 PM EDT
# Run Duration: 93 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-04 02:16:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-04 02:17:02 PM EDT
"Well","Well Position","Stage Number","Step Number","Cycle Number","VIC","FAM","ROX"
"1","A1","2","2","1","454084.38","1026218.56","726680.0"
"1","A1","2","2","2","453768.8","1024602.8","725104.75"
"1","A1","2","2","3","453350.94","1024008.0","721697.0"
"1","A1","2","2","4","453292.66","1024699.0","720207.5"
"1","A1","2","2","5","453507.0","1024499.6","718208.1"
"1","A1","2","2","6","454363.2","1024696.3","717601.4"
"1","A1","2","2","7","455364.03","1026322.6","717413.4"
"1","A1","2","2","8","456077.78","1027903.1","716476.9"
"1","A1","2","2","9","456886.75","1029769.3","715792.94"
"1","A1","2","2","10","458017.03","1031711.56","714381.5"
"1","A1","2","2","11","459678.44","1034467.6","713798.75"
"1","A1","2","2","12","461537.12","1038090.94","713984.25"
"1","A1","2","2","13","464503.66","1044235.5","714885.75"
"1","A1","2","2","14","469778.84","1053692.1","714578.06"
"1","A1","2","2","15","478718.06","1068990.9","714084.5"
"1","A1","2","2","16","493623.03","1099818.8","714083.94"
"1","A1","2","2","17","517276.78","1160682.9","715009.56"
"1","A1","2","2","18","553461.56","1268040.4","716782.06"
"1","A1","2","2","19","600121.3","1441664.9","717354.6"
"1","A1","2","2","20","650904.4","1695916.2","718298.75"
"1","A1","2","2","21","701457.5","2017515.9","718572.1"
"1","A1","2","2","22","749635.3","2381518.5","719428.4"
"1","A1","2","2","23","795961.3","2762373.0","720243.5"
"1","A1","2","2","24","837313.25","3143438.0","721546.0"
"1","A1","2","2","25","875459.44","3505463.5","721934.94"
"1","A1","2","2","26","911663.9","3852654.0","723053.56"
"1","A1","2","2","27","946135.6","4173846.0","723203.5"
"1","A1","2","2","28","980200.9","4465632.0","723484.25"
"1","A1","2","2","29","1012686.25","4733285.5","723504.1"
"1","A1","2","2","30","1038899.75","4973169.0","724458.5"
"1","A1","2","2","31","1064045.2","5190363.0","725886.0"
"1","A1","2","2","32","1088387.4","5374442.5","726391.0"
"1","A1","2","2","33","1113349.2","5537024.0","726165.9"
"1","A1","2","2","34","1132122.2","5682368.0","726125.8"
"1","A1","2","2","35","1150968.5","5798257.5","726096.6"
"1","A1","2","2","36","1166924.2","5901421.0","725457.06"
"1","A1","2","2","37","1183282.4","5982432.0","725277.56"
"1","A1","2","2","38","1197288.8","6054898.0","726153.06"
"1","A1","2","2","39","1211502.2","6109012.0","726257.94"
"1","A1","2","2","40","1221610.0","6149435.5","726804.8"
"2","A2","2","2","1","347163.3","737944.94","548604.25"
"2","A2","2","2","2","349912.28","745245.06","552029.5"
"2","A2","2","2","3","355943.97","761148.2","560713.94"
"2","A2","2","2","4","362267.94","775301.3","567438.7"
"2","A2","2","2","5","367528.44","790435.6","573315.0"
"2","A2","2","2","6","372911.38","807863.25","578355.1"
"2","A2","2","2","7","375521.28","816651.94","579990.25"
"2","A2","2","2","8","376727.56","819965.94","581193.9"
"2","A2","2","2","9","377697.5","823180.4","580408.25"
"2","A2","2","2","10","379611.38","826792.75","578704.56"
"2","A2","2","2","11","382036.84","831974.9","578120.56"
"2","A2","2","2","12","385068.88","838382.0","579469.06"
"2","A2","2","2","13","389680.28","848652.1","581356.06"
"2","A2","2","2","14","398800.56","865638.4","581093.6"
"2","A2","2","2","15","414448.75","897061.3","580587.1"
"2","A2","2","2","16","439467.28","956670.0","581397.5"
"2","A2","2","2","17","475183.28","1062436.8","582853.9"
"2","A2","2","2","18","519153.94","1235881.6","582876.56"
"2","A2","2","2","19","565085.0","1486957.0","582857.0"
"2","A2","2","2","20","607241.56","1802983.0","584658.94"
"2","A2","2","2","21","645523.56","2154110.0","585006.2"
"2","A2","2","2","22","679438.25","2513260.8","585918.6"
"2","A2","2","2","23","712148.3","2869107.0","586805.06"
"2","A2","2","2","24","742422.7","3205193.0","586690.1"
"2","A2","2","2","25","767177.06","3511760.0","587119.1"
"2","A2","2","2","26","793143.8","3787531.0","586949.9"
"2","A2","2","2","27","815685.3","4033562.5","587549.6"
"2","A2","2","2","28","838273.56","4249743.5","587323.56"
"2","A2","2","2","29","858138.94","4444576.0","587524.6"
"2","A2","2","2","30","874016.9","4607741.5","587336.06"
"2","A2","2","2","31","890178.5","4744081.0","587957.06"
"2","A2","2","2","32","903104.56","4859745.5","587606.7"
"2","A2","2","2","33","916563.56","4949677.0","587835.3"
"2","A2","2","2","34","928315.7","5026799.5","589322.44"
"2","A2","2","2","35","938997.3","5090547.5","589234.56"
"2","A2","2","2","36","949683.56","5142120.0","589369.3"
"2","A2","2","2","37","957782.94","5181152.5","589195.3"
"2","A2","2","2","38","966135.9","5216530.5","588828.6"
"2","A2","2","2","39","972079.9","5247675.0","588876.44"
"2","A2","2","2","40","977927.7","5267815.5","588801.25"
"3","A3","2","2","1","309508.03","659564.06","476906.62"
"3","A3","2","2","2","309562.7","658915.7","476667.6"
"3","A3","2","2","3","310177.4","658454.9","475598.75"
"3","A3","2","2","4","310435.7","658306.56","473945.5"
"3","A3","2","2","5","310656.66","657826.75","473532.47"
"3","A3","2","2","6","311161.84","656432.0","473689.78"
