# File Name: /Volumes/USB DISK/qPCR/Exp9_real_4.4.24_20240404_122458.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-04 12:25:13 PM EDT
# Run End Data/Time: 2024-04-04 01:58:19 PM EDT
# Run Duration: 93 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-04 02:16:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-04 02:17:02 PM EDT
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"pTRIP JAK1 D82G","GAPDH","14.847401557054573","","14.847401557054573","1.1290941365222462","0.2172942678871823","-0.19822626762048223","1.1472869468877518","0.7228681828107882","1.820895385630154","FALSE"
"pTRIP JAK1 D82G","IFI27","30.263984082946244","","30.263984082946244","0.9333613987955574","0.3111204662651858","0.7302610998971915","0.6027948097717546","0.26377210371277027","1.3775588000899506","FALSE"
"pTRIP JAK1 D82G","JAK1","20.2461383370963","","20.2461383370963","1.4110206817570414","0.47034022725234714","3.1767169861377695","0.11058924661002555","0.031701508549830656","0.3857854728442687","FALSE"
"pTRIP JAK1 D82G","RSAD2","35.00071228428709","","35.00071228428709","1.6815814294710376","0.5605271431570126","3.5368014540628216","0.08616217901826544","0.019437248198594218","0.38194301051897595","FALSE"
"pTRIP JAK1 G1023D","GAPDH","15.045627824675055","","15.045627824675055","1.2446930328107277","0.2395412858505751","0.0","1.0","0.600963238066785","1.6639952939831408","FALSE"
"pTRIP JAK1 G1023D","IFI27","29.533722983049053","","29.533722983049053","1.2128380779723553","0.40427935932411846","0.0","1.0","0.34165018218533333","2.9269704866059016","FALSE"
"pTRIP JAK1 G1023D","JAK1","17.06942135095853","","17.06942135095853","1.6067402962060444","0.5355800987353482","0.0","1.0","0.24104581112686224","4.148588997772298","FALSE"
"pTRIP JAK1 G1023D","RSAD2","31.46391083022427","","31.46391083022427","1.434795522716421","0.47826517423880704","0.0","1.0","0.28068809554326635","3.5626733583571455","FALSE"
"pTRIP JAK1 H129R","GAPDH","15.186249304597839","","15.186249304597839","1.1951180057190047","0.23438192431566535","0.14062147992278362","0.9071283010785043","0.550152774103317","1.4957331733149435","FALSE"
"pTRIP JAK1 H129R","IFI27","31.55038189784599","","31.55038189784599","1.4127830697087957","0.49949424446831814","2.0166589147969383","0.24712983295937493","0.06124391653094875","0.9972117689055059","FALSE"
