# File Name: /Volumes/USB DISK/qPCR/Exp9_real_4.4.24_20240404_122458.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-04 12:25:13 PM EDT
# Run End Data/Time: 2024-04-04 01:58:19 PM EDT
# Run Duration: 93 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-04 02:16:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-04 02:17:02 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"pTRIP JAK1 D82G","GAPDH","27","-","0","14.847401557054578","1.129094136522193","0.21729426788717204",
"pTRIP JAK1 D82G","IFI27","9","-","0","30.263984082946237","0.9333613987957158","0.3111204662652386",
"pTRIP JAK1 D82G","JAK1","9","-","0","20.246138337096298","1.4110206817570856","0.47034022725236185",
"pTRIP JAK1 D82G","RSAD2","9","-","0","34.40538511323033","1.320543095784202","0.49911837528404934",
"pTRIP JAK1 G1023D","GAPDH","27","-","0","15.045627824675057","1.24469303281071","0.2395412858505717",
"pTRIP JAK1 G1023D","IFI27","9","-","0","29.533722983049056","1.2128380779723087","0.4042793593241029",
"pTRIP JAK1 G1023D","JAK1","9","-","0","17.069421350958535","1.6067402962060409","0.535580098735347",
"pTRIP JAK1 G1023D","RSAD2","9","-","0","31.463910830224265","1.4347955227164038","0.47826517423880127",
"pTRIP JAK1 H129R","GAPDH","27","-","0","15.186249304597839","1.1951180057190047","0.23438192431566535",
"pTRIP JAK1 H129R","IFI27","9","-","0","31.550381897845988","1.4127830697088597","0.49949424446834073",
"pTRIP JAK1 H129R","JAK1","9","-","0","20.152975175299936","1.6470520648103961","0.5490173549367987",
"pTRIP JAK1 H129R","RSAD2","9","-","0","32.62369503428762","2.064187820075943","0.7298006026091882",
"pTRIP JAK1 I952V","GAPDH","27","-","0","14.833472497745154","1.2335528263719735","0.23739735212182753",
"pTRIP JAK1 I952V","IFI27","9","-","0","30.81444523734977","1.8838541960697737","0.6279513986899246",
"pTRIP JAK1 I952V","JAK1","9","-","0","19.33826381412272","1.131430802932779","0.37714360097759303",
"pTRIP JAK1 I952V","RSAD2","9","-","0","34.58601488789402","0.7936450516503744","0.32400423557136965",
"pTRIP JAK1 M1085I","GAPDH","27","-","0","14.425363174575141","0.6198512836045571","0.11929043514887537",
"pTRIP JAK1 M1085I","IFI27","9","-","0","29.66597883321849","0.828602682282117","0.276200894094039",
"pTRIP JAK1 M1085I","JAK1","9","-","0","18.95152900808564","1.0616423600343632","0.35388078667812106",
"pTRIP JAK1 M1085I","RSAD2","9","-","0","33.64031213826573","0.7302485778604555","0.24341619262015182",
"pTRIP JAK1 S703I","GAPDH","27","-","0","14.975639313786099","1.3424149770698217","0.25834788279181564",
"pTRIP JAK1 S703I","IFI27","9","-","0","25.54464917377351","1.8654119865762682","0.6218039955254228",
"pTRIP JAK1 S703I","JAK1","9","-","0","19.391717106183133","1.4770622254056804","0.49235407513522683",
"pTRIP JAK1 S703I","RSAD2","9","-","0","28.413911455255967","1.502802897186443","0.5009342990621477",
"pTRIP JAK1 WT","GAPDH","27","-","0","15.3492995022355","1.5422239926363792","0.2968011457664376",
"pTRIP JAK1 WT","IFI27","9","-","0","30.555573084887087","1.5499698521152674","0.5166566173717558",
"pTRIP JAK1 WT","JAK1","9","-","0","16.15820181998212","1.825770200586394","0.6085900668621314",
"pTRIP JAK1 WT","RSAD2","9","-","0","32.55694251573619","1.4591888986120325","0.48639629953734415",
"pTRIP Luciferase","GAPDH","27","-","0","15.242088686430172","1.3065181978123435","0.2514395444027004",
"pTRIP Luciferase","IFI27","9","-","0","30.98253452813113","1.6812790032926919","0.5604263344308973",
"pTRIP Luciferase","JAK1","9","-","0","27.639460458518858","1.171137392280524","0.39037913076017466",
"pTRIP Luciferase","RSAD2","9","-","0","35.95787212210866","1.4509093614580788","0.5923312664332758",
