# File Name: /Volumes/USB DISK/qPCR/Exp9_real_4.4.24_20240404_122458.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block serial number: 2778323082972
# Run Start Date/Time: 2024-04-04 12:25:13 PM EDT
# Run End Data/Time: 2024-04-04 01:58:19 PM EDT
# Run Duration: 93 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-04 02:16:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Relative Quantification v1.6.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-04 02:17:02 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","FALSE","pTRIP JAK1 G1023D","GAPDH","UNKNOWN","VIC","None","AMP","1.0650380240200128","","","16.126999992219474","0.9063914731654223","15.045627824675057","1.24469303281071","TRUE","0.03999999910593033","TRUE","3","13"
"1","A1","FALSE","pTRIP JAK1 G1023D","JAK1","UNKNOWN","FAM","None","AMP","1.4995123565980042","","","18.516651885216156","0.9777522711815632","17.069421350958535","1.6067402962060409","TRUE","0.4097897885247108","TRUE","3","12"
"2","A2","FALSE","pTRIP JAK1 G1023D","GAPDH","UNKNOWN","VIC","None","AMP","1.0751819225439763","","","14.951036650393995","0.9139553315428467","15.045627824675057","1.24469303281071","TRUE","0.03999999910593033","TRUE","3","12"
"2","A2","FALSE","pTRIP JAK1 G1023D","JAK1","UNKNOWN","FAM","None","AMP","1.533927477315795","","","17.31020454224329","0.9519359228775132","17.069421350958535","1.6067402962060409","TRUE","0.4097897885247108","TRUE","3","12"
"3","A3","FALSE","pTRIP JAK1 G1023D","GAPDH","UNKNOWN","VIC","None","AMP","1.0738467431955556","","","14.0103636652439","0.9264378362502196","15.045627824675057","1.24469303281071","TRUE","0.03999999910593033","TRUE","3","11"
"3","A3","FALSE","pTRIP JAK1 G1023D","JAK1","UNKNOWN","FAM","None","AMP","1.5558789048637591","","","16.16673326584157","0.9879370503759172","17.069421350958535","1.6067402962060409","TRUE","0.4097897885247108","TRUE","3","9"
"4","A4","FALSE","pTRIP JAK1 G1023D","RSAD2","UNKNOWN","FAM","None","AMP","1.5074216919436698","","","32.12512369402779","0.9756900236960533","31.463910830224265","1.4347955227164038","TRUE","0.16429546645834292","TRUE","3","27"
"4","A4","FALSE","pTRIP JAK1 G1023D","GAPDH","UNKNOWN","VIC","None","AMP","1.1632643225769306","","","16.020020334850265","0.9553328329425834","15.045627824675057","1.24469303281071","TRUE","0.03999999910593033","TRUE","3","13"
"5","A5","FALSE","pTRIP JAK1 G1023D","RSAD2","UNKNOWN","FAM","None","AMP","1.5280535036529195","","","30.919616546350504","0.9396290447413799","31.463910830224265","1.4347955227164038","TRUE","0.16429546645834292","TRUE","3","27"
"5","A5","FALSE","pTRIP JAK1 G1023D","GAPDH","UNKNOWN","VIC","None","AMP","1.1713889384621534","","","14.698791802386435","0.9454231190473561","15.045627824675057","1.24469303281071","TRUE","0.03999999910593033","TRUE","3","12"
"6","A6","FALSE","pTRIP JAK1 G1023D","RSAD2","UNKNOWN","FAM","None","AMP","1.5451754848529418","","","29.926685345553032","0.9777351947766999","31.463910830224265","1.4347955227164038","TRUE","0.16429546645834292","TRUE","3","26"
"6","A6","FALSE","pTRIP JAK1 G1023D","GAPDH","UNKNOWN","VIC","None","AMP","1.163554758475354","","","13.720926293508288","0.9509227670744834","15.045627824675057","1.24469303281071","TRUE","0.03999999910593033","TRUE","3","10"
"7","A7","FALSE","pTRIP JAK1 G1023D","IFI27","UNKNOWN","FAM","None","AMP","1.495684348846157","","","30.281377089922557","0.9504922520231858","29.533722983049056","1.2128380779723087","TRUE","0.19434647056040444","TRUE","3","25"
