# File Name: /shared/data/ui/current_run/ZP_Exp25_CM_Exp3_8.30.2024_U4Cs_20240830_130621.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS6Pro-2778624010008
# Instrument Serial Number: 2778624010008
# Heated Cover Serial Number: 2779324012939
# Block Serial Number: 2778323082972
# Run Start Date/Time: 2024-08-30 01:06:22 PM EDT
# Run End Date/Time: 2024-08-30 02:41:15 PM EDT
# Run Duration: 94 minutes 53 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-08-30 02:41:37 PM EDT
# Exported On: 2024-08-30 02:41:38 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","pTRIP Luciferase 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.218739848768481","","","14.45289422664358","0.43653329458657103","12.60558485141226","1.08954895700183","true","0.04176092807294826","true","3","11"
"1","A1","false","pTRIP Luciferase 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5226645238605931","","","25.396143842958942","0.9689557767922856","25.38136930342671","0.03781714909598689","true","0.44518748804184927","true","3","18"
"2","A2","false","pTRIP JAK1 R1041Q 1","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0818560712748866","","","14.210492743356749","0.37003778383094293","12.692723045048494","1.0904573929743064","true","0.04176092807294826","true","3","11"
"2","A2","false","pTRIP JAK1 R1041Q 1","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5686489948411504","","","15.55037923346216","0.963009669116827","15.69337098364067","0.16279425019704485","true","0.44518748804184927","true","3","10"
"3","A3","false","pTRIP Luciferase 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.2349917563173654","","","13.809475596234876","0.4121124414736332","12.382251689411554","1.0073566807764431","true","0.04176092807294826","true","3","10"
"3","A3","false","pTRIP Luciferase 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5206587152409419","","","25.390170651235763","0.975753098915396","25.431498279731006","0.04014542987320936","true","0.44518748804184927","true","3","19"
"4","A4","false","pTRIP JAK1 R1041Q 2","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.0560057685974693","","","14.981484718317017","0.37981513092731456","12.837642881860825","1.247203786898787","true","0.04176092807294826","true","3","12"
"4","A4","false","pTRIP JAK1 R1041Q 2","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5686328983374687","","","15.971421055497729","0.973417154336313","16.056570164997574","0.07721014373382762","true","0.44518748804184927","true","3","9"
"5","A5","false","pTRIP Luciferase 3","GAPDH","UNKNOWN","VIC","NFQ-MGB","Amp","1.2401251857556617","","","14.563620215572293","0.42220669478474715","12.843441225543662","1.0940328877338996","true","0.04176092807294826","true","3","11"
"5","A5","false","pTRIP Luciferase 3","JAK1","UNKNOWN","FAM","NFQ-MGB","Amp","1.5150941623173158","","","25.724201205233285","0.9726005985909336","25.706982108277572","0.08637151503308597","true","0.44518748804184927","true","3","20"
