target_id	length	eff_length	est_counts	tpm
ENST00000631435.1	12	5.8	0	0
ENST00000415118.1	8	6	0	0
ENST00000434970.2	9	7	0	0
ENST00000448914.1	13	6.8	0	0
ENST00000632684.1	12	5.8	0	0
ENST00000632524.1	11	4.8	0	0
ENST00000633009.1	20	9.22222	0	0
ENST00000634070.1	18	9.42857	0	0
ENST00000632963.1	20	9.22222	0	0
ENST00000633030.1	19	9.25	0	0
ENST00000633765.1	31	10.16	0	0
ENST00000632619.1	28	9.94737	0	0
ENST00000632968.1	17	8.42857	0	0
ENST00000633159.1	21	10.2222	0	0
ENST00000631871.1	20	9.22222	0	0
ENST00000633010.1	16	8.66667	0	0
ENST00000633379.1	37	10.1702	0	0
ENST00000632473.1	31	10.16	0	0
ENST00000631884.1	17	8.42857	0	0
ENST00000632859.1	21	10.2222	0	0
ENST00000631895.1	23	10.2727	0	0
ENST00000634154.1	16	8.66667	0	0
ENST00000632609.1	31	10.16	0	0
ENST00000632911.1	31	10.16	0	0
ENST00000633504.1	31	10.16	0	0
ENST00000632304.1	17	8.42857	0	0
ENST00000632542.1	18	9.42857	0	0
ENST00000633968.1	20	9.22222	0	0
ENST00000634085.1	16	8.66667	0	0
ENST00000633353.1	31	10.16	0	0
ENST00000631803.1	31	10.16	0	0
ENST00000633210.1	17	8.42857	0	0
ENST00000604642.1	23	10.2727	0	0
ENST00000603326.1	19	9.25	0	0
ENST00000604950.1	31	10.16	0	0
ENST00000603077.1	31	10.16	0	0
ENST00000605284.1	17	8.42857	0	0
ENST00000604446.1	23	10.2727	0	0
ENST00000603693.1	19	9.25	0	0
ENST00000603935.1	31	10.16	0	0
ENST00000604102.1	31	10.16	0	0
ENST00000604838.1	17	8.42857	0	0
ENST00000439842.1	11	4.8	0	0
ENST00000390567.1	20	9.22222	0	0
ENST00000452198.1	18	9.42857	0	0
ENST00000390569.1	20	9.22222	0	0
ENST00000437320.1	19	9.25	0	0
ENST00000390571.1	31	10.16	0	0
ENST00000390572.1	28	9.94737	0	0
ENST00000450276.1	17	8.42857	0	0
ENST00000390574.1	21	10.2222	0	0
ENST00000390575.1	20	9.22222	0	0
ENST00000431870.1	16	8.66667	0	0
ENST00000390577.1	37	10.1702	0	0
ENST00000390578.1	31	10.16	0	0
ENST00000451044.1	17	8.42857	0	0
ENST00000390580.1	21	10.2222	0	0
ENST00000390581.1	23	10.2727	0	0
ENST00000431440.2	16	8.66667	0	0
ENST00000390583.1	31	10.16	0	0
ENST00000390584.1	31	10.16	0	0
ENST00000390585.1	31	10.16	0	0
ENST00000430425.1	17	8.42857	0	0
ENST00000454691.1	18	9.42857	0	0
ENST00000390588.1	20	9.22222	0	0
ENST00000414852.1	16	8.66667	0	0
ENST00000390590.1	31	10.16	0	0
ENST00000390591.1	31	10.16	0	0
ENST00000454908.1	17	8.42857	0	0
ENST00000632828.1	421	198.182	0	0
ENST00000632422.1	391	175.834	0	0
ENST00000632713.1	373	162.524	0	0
ENST00000633384.1	652	397.496	0	0
ENST00000631557.1	401	182.758	0	0
ENST00000632308.1	380	167.595	0	0
ENST00000632512.1	455	224.223	0	0
ENST00000632016.1	392	176.331	0	0
ENST00000631427.1	455	224.223	0	0
ENST00000632148.1	424	200.498	0	0
ENST00000631392.1	386	172.189	0	0
ENST00000633472.1	365	156.966	0	0
ENST00000631882.1	397	180.145	2.28571	0.639076
ENST00000634123.1	343	139.849	0	0
ENST00000633328.1	390	175.106	0	0
ENST00000632248.1	412	191.253	0	0
ENST00000634176.1	364	156.161	0	0
ENST00000633575.1	395	178.718	0	0
ENST00000633072.1	410	189.871	0	0
ENST00000633313.1	347	142.943	0	0
ENST00000633696.1	544	299.404	0	0
ENST00000633963.1	390	175.106	0	0
ENST00000632187.1	350	145.484	0	0
ENST00000631511.1	386	172.189	0	0
ENST00000633265.1	392	176.331	0	0
ENST00000632216.1	384	170.354	0	0
ENST00000632425.1	407	187.463	0	0
ENST00000631548.1	347	142.943	0	0
ENST00000633790.1	343	139.849	0	0
ENST00000634093.1	344	140.579	0	0
ENST00000632560.1	347	142.943	0	0
ENST00000631639.1	478	243.561	0	0
ENST00000632021.1	347	142.943	0	0
ENST00000633796.1	374	163.265	0	0
ENST00000631471.1	344	140.579	0	0
ENST00000634111.1	392	176.331	0	0
ENST00000633292.1	409	189.179	3.90163e-08	1.03878e-08
ENST00000631824.1	406	186.529	0.5	0.135013
ENST00000632829.1	411	190.584	0	0
ENST00000632432.1	406	186.529	0.5	0.135013
ENST00000631835.1	421	198.182	0.5	0.127074
ENST00000633244.1	347	142.943	0	0
ENST00000631663.1	344	140.579	0	0
ENST00000631559.1	428	203.647	0	0
ENST00000632638.1	552	306.484	0	0
ENST00000633466.1	413	192.097	0	0
ENST00000633842.1	347	142.943	0	0
ENST00000633092.1	381	168.088	0	0
ENST00000610439.4	381	168.088	0	0
ENST00000633283.1	387	172.961	0	0
ENST00000619125.2	364	156.161	0	0
ENST00000634198.1	402	183.565	0	0
ENST00000631690.1	447	219.026	1	0.229963
ENST00000379435.3	416	194.852	2	0.516983
ENST00000542354.1	392	176.331	0	0
