target_id	length	eff_length	est_counts	tpm
ENST00000631435.1	12	3	0	0
ENST00000415118.1	8	2	0	0
ENST00000434970.2	9	3	0	0
ENST00000448914.1	13	3.57143	0	0
ENST00000632684.1	12	3	0	0
ENST00000632524.1	11	3	0	0
ENST00000633009.1	20	8.55556	0	0
ENST00000634070.1	18	8.57143	0	0
ENST00000632963.1	20	8.55556	0	0
ENST00000633030.1	19	8.5	0	0
ENST00000633765.1	31	13.5	0	0
ENST00000632619.1	28	15.4	0	0
ENST00000632968.1	17	7.57143	0	0
ENST00000633159.1	21	9.55556	0	0
ENST00000631871.1	20	8.55556	0	0
ENST00000633010.1	16	6.57143	0	0
ENST00000633379.1	37	10.3226	0	0
ENST00000632473.1	31	13.5	0	0
ENST00000631884.1	17	7.57143	0	0
ENST00000632859.1	21	9.55556	0	0
ENST00000631895.1	23	11.5556	0	0
ENST00000634154.1	16	6.57143	0	0
ENST00000632609.1	31	13.5	0	0
ENST00000632911.1	31	13.5	0	0
ENST00000633504.1	31	13.5	0	0
ENST00000632304.1	17	7.57143	0	0
ENST00000632542.1	18	8.57143	0	0
ENST00000633968.1	20	8.55556	0	0
ENST00000634085.1	16	6.57143	0	0
ENST00000633353.1	31	13.5	0	0
ENST00000631803.1	31	13.5	0	0
ENST00000633210.1	17	7.57143	0	0
ENST00000604642.1	23	11.5556	0	0
ENST00000603326.1	19	8.5	0	0
ENST00000604950.1	31	13.5	0	0
ENST00000603077.1	31	13.5	0	0
ENST00000605284.1	17	7.57143	0	0
ENST00000604446.1	23	11.5556	0	0
ENST00000603693.1	19	8.5	0	0
ENST00000603935.1	31	13.5	0	0
ENST00000604102.1	31	13.5	0	0
ENST00000604838.1	17	7.57143	0	0
ENST00000439842.1	11	3	0	0
ENST00000390567.1	20	8.55556	0	0
ENST00000452198.1	18	8.57143	0	0
ENST00000390569.1	20	8.55556	0	0
ENST00000437320.1	19	8.5	0	0
ENST00000390571.1	31	13.5	0	0
ENST00000390572.1	28	15.4	0	0
ENST00000450276.1	17	7.57143	0	0
ENST00000390574.1	21	9.55556	0	0
ENST00000390575.1	20	8.55556	0	0
ENST00000431870.1	16	6.57143	0	0
ENST00000390577.1	37	10.3226	0	0
ENST00000390578.1	31	13.5	0	0
ENST00000451044.1	17	7.57143	0	0
ENST00000390580.1	21	9.55556	0	0
ENST00000390581.1	23	11.5556	0	0
ENST00000431440.2	16	6.57143	0	0
ENST00000390583.1	31	13.5	0	0
ENST00000390584.1	31	13.5	0	0
ENST00000390585.1	31	13.5	0	0
ENST00000430425.1	17	7.57143	0	0
ENST00000454691.1	18	8.57143	0	0
ENST00000390588.1	20	8.55556	0	0
ENST00000414852.1	16	6.57143	0	0
ENST00000390590.1	31	13.5	0	0
ENST00000390591.1	31	13.5	0	0
ENST00000454908.1	17	7.57143	0	0
ENST00000632828.1	421	199.22	0	0
ENST00000632422.1	391	175.583	0	0
ENST00000632713.1	373	161.9	0	0
ENST00000633384.1	652	399.876	0	0
ENST00000631557.1	401	183.409	0	0
ENST00000632308.1	380	167.116	0	0
ENST00000632512.1	455	226.783	0	0
ENST00000632016.1	392	176.46	0	0
ENST00000631427.1	455	226.783	0	0
ENST00000632148.1	424	201.429	0	0
ENST00000631392.1	386	171.912	0	0
ENST00000633472.1	365	155.72	0	0
ENST00000631882.1	397	180.294	2	0.606411
ENST00000634123.1	343	139.982	0	0
ENST00000633328.1	390	174.953	0	0
ENST00000632248.1	412	191.828	0	0
ENST00000634176.1	364	155.003	0	0
ENST00000633575.1	395	178.795	0	0
ENST00000633072.1	410	190.265	0	0
ENST00000633313.1	347	142.752	0	0
ENST00000633696.1	544	301.49	0	0
ENST00000633963.1	390	174.953	0	0
ENST00000632187.1	350	145.139	0	0
ENST00000631511.1	386	171.912	0	0
ENST00000633265.1	392	176.46	0	0
ENST00000632216.1	384	170.338	0	0
ENST00000632425.1	407	187.848	0	0
ENST00000631548.1	347	142.752	0	0
ENST00000633790.1	343	139.982	0	0
ENST00000634093.1	344	140.627	0	0
ENST00000632560.1	347	142.752	0	0
ENST00000631639.1	478	244.932	0	0
ENST00000632021.1	347	142.752	0	0
ENST00000633796.1	374	162.667	0	0
ENST00000631471.1	344	140.627	0	0
ENST00000634111.1	392	176.46	0	0
ENST00000633292.1	409	189.308	0	0
ENST00000631824.1	406	187.235	0	0
ENST00000632829.1	411	191.134	0	0
ENST00000632432.1	406	187.235	0	0
ENST00000631835.1	421	199.22	0	0
ENST00000633244.1	347	142.752	0	0
ENST00000631663.1	344	140.627	0	0
ENST00000631559.1	428	205.04	0	0
ENST00000632638.1	552	308.631	0	0
ENST00000633466.1	413	192.675	0	0
ENST00000633842.1	347	142.752	0	0
ENST00000633092.1	381	167.858	0	0
ENST00000610439.4	381	167.858	0	0
ENST00000633283.1	387	172.73	0	0
ENST00000619125.2	364	155.003	0	0
ENST00000634198.1	402	184.239	0	0
ENST00000631690.1	447	220.213	0	0
ENST00000379435.3	416	195.344	0	0
ENST00000542354.1	392	176.46	0	0
ENST00000390423.2	402	184.239	0	0
ENST00000390424.2	348	143.518	0	0
ENST00000390425.2	519	279.566	0	0
ENST00000390426.2	395	178.795	0	0
ENST00000390427.3	352	146.52	0	0
ENST00000390428.3	404	185.599	0	0
ENST00000390429.3	337	136.038	0	0
ENST00000390430.2	473	241.455	0	0
ENST00000390431.3	338	136.531	0	0
ENST00000390432.2	379	166.512	0	0
ENST00000390433.1	340	137.901	0	0
ENST00000390434.3	566	321.458	0	0
ENST00000390435.1	341	138.637	0	0
ENST00000390436.2	360	152.054	0	0
ENST00000390437.2	445	218.528	0	0
ENST00000390438.2	469	238.549	0	0
ENST00000390439.2	410	190.265	0	0
ENST00000390440.2	425	202.407	0	0
ENST00000390441.2	394	178.211	0	0
ENST00000390442.3	399	181.79	0	0
ENST00000390443.3	561	316.953	0	0
ENST00000390444.1	329	130.495	0	0
ENST00000390445.2	484	250.4	0	0
ENST00000390446.3	440	214.779	1	0.254522
ENST00000390447.3	467	236.859	0	0
ENST00000390448.3	406	187.235	0	0
ENST00000390449.3	343	139.982	0	0
ENST00000390450.3	464	234.192	1	0.233424
ENST00000390451.2	409	189.308	0	0
ENST00000390452.2	365	155.72	0	0
ENST00000621643.1	102	29.1631	0	0
ENST00000390453.1	343	139.982	0	0
ENST00000390454.2	403	184.919	0	0
ENST00000390455.3	537	295.546	0	0
ENST00000390456.3	341	138.637	0	0
ENST00000390457.2	425	202.407	0	0
ENST00000390458.3	469	238.549	0	0
ENST00000557168.1	337	136.038	0	0
ENST00000390460.1	327	129.261	0	0
ENST00000390461.2	349	144.32	0	0
ENST00000390463.3	356	149.238	0	0
ENST00000390464.2	353	147.246	0	0
ENST00000390465.2	395	178.795	0	0
ENST00000390466.1	331	131.912	0	0
ENST00000390467.3	317	122.331	0	0
ENST00000390468.1	336	135.405	0	0
ENST00000390469.2	520	280.507	0	0
ENST00000535880.2	425	202.407	0	0
ENST00000390340.2	463	233.472	0	0
ENST00000390341.2	512	273.911	0	0
ENST00000444775.2	1735	1477.04	2	0.074021
ENST00000390343.2	468	237.678	5	1.15
ENST00000390344.2	552	308.631	3	0.531374
ENST00000390345.2	688	434.16	4	0.50365
ENST00000390346.2	537	295.546	0	0
ENST00000426402.2	544	301.49	0	0
ENST00000390348.2	465	234.962	0	0
ENST00000455382.2	421	199.22	0	0
ENST00000390387.3	391	175.583	0	0
ENST00000390357.3	373	161.9	0	0
ENST00000390381.3	652	399.876	0	0
ENST00000390353.2	401	183.409	0	0
ENST00000547918.2	380	167.116	0	0
ENST00000390392.3	455	226.783	0	0
ENST00000634383.1	424	201.429	0	0
ENST00000634605.1	394	178.211	0	0
ENST00000390360.3	365	155.72	0	0
ENST00000390361.3	397	180.294	1	0.303206
ENST00000390362.1	343	139.982	0	0
ENST00000390363.2	390	174.953	1	0.312462
ENST00000390364.3	412	191.828	0	0
ENST00000390367.3	364	155.003	0	0
ENST00000426318.2	395	178.795	0	0
ENST00000390368.2	410	190.265	0	0
ENST00000390369.2	347	142.752	0	0
ENST00000454561.2	544	301.49	0	0
ENST00000390371.3	388	173.465	0	0
ENST00000390372.3	350	145.139	0	0
ENST00000390373.2	344	140.627	0	0
ENST00000390374.3	392	176.46	0	0
ENST00000390375.2	384	170.338	0	0
ENST00000390376.2	341	138.637	0	0
ENST00000390377.1	347	142.752	0	0
ENST00000390378.1	343	139.982	0	0
ENST00000612787.1	347	142.752	0	0
ENST00000614171.1	374	162.667	0	0
ENST00000611462.1	368	158.152	0	0
ENST00000611787.1	392	176.46	0	0
ENST00000620569.1	409	189.308	0	0
ENST00000617347.1	406	187.235	0	0
ENST00000621184.1	411	191.134	0	0
ENST00000617639.1	406	187.235	0	0
ENST00000616518.1	421	199.22	0	0
ENST00000620773.1	347	142.752	0	0
ENST00000619103.1	344	140.627	0	0
ENST00000611520.1	428	205.04	0	0
ENST00000390393.3	552	308.631	0	0
ENST00000390394.3	413	192.675	1	0.283722
ENST00000390396.1	347	142.752	0	0
ENST00000390397.2	381	167.858	0	0
ENST00000390398.3	381	167.858	0	0
ENST00000390399.3	387	172.73	0	0
ENST00000390400.2	364	155.003	0	0
ENST00000422143.2	402	184.239	0	0
ENST00000417977.2	447	220.213	0	0
ENST00000613379.1	1322	1064.04	0	0
ENST00000621991.4	1256	998.044	0	0
ENST00000619816.1	677	423.464	0	0
ENST00000616914.1	1295	1037.04	0	0
ENST00000621713.1	1240	982.044	0	0
ENST00000615996.1	1563	1305.04	0	0
ENST00000611873.1	1112	854.044	0	0
ENST00000619141.4	900	642.309	0	0
