target_id	length	eff_length	est_counts	tpm
ENST00000631435.1	12	5.2	0	0
ENST00000415118.1	8	1.2	0	0
ENST00000434970.2	9	2.2	0	0
ENST00000448914.1	13	6.2	0	0
ENST00000632684.1	12	5.2	0	0
ENST00000632524.1	11	4.2	0	0
ENST00000633009.1	20	10.6923	0	0
ENST00000634070.1	18	10.4545	0	0
ENST00000632963.1	20	10.6923	0	0
ENST00000633030.1	19	11.4545	0	0
ENST00000633765.1	31	12.1379	0	0
ENST00000632619.1	28	13.0476	0	0
ENST00000632968.1	17	9.45455	0	0
ENST00000633159.1	21	11.6923	0	0
ENST00000631871.1	20	10.6923	0	0
ENST00000633010.1	16	8.45455	0	0
ENST00000633379.1	37	11.7925	0	0
ENST00000632473.1	31	12.1379	0	0
ENST00000631884.1	17	9.45455	0	0
ENST00000632859.1	21	11.6923	0	0
ENST00000631895.1	23	11.4375	0	0
ENST00000634154.1	16	8.45455	0	0
ENST00000632609.1	31	12.1379	0	0
ENST00000632911.1	31	12.1379	0	0
ENST00000633504.1	31	12.1379	0	0
ENST00000632304.1	17	9.45455	0	0
ENST00000632542.1	18	10.4545	0	0
ENST00000633968.1	20	10.6923	0	0
ENST00000634085.1	16	8.45455	0	0
ENST00000633353.1	31	12.1379	0	0
ENST00000631803.1	31	12.1379	0	0
ENST00000633210.1	17	9.45455	0	0
ENST00000604642.1	23	11.4375	0	0
ENST00000603326.1	19	11.4545	0	0
ENST00000604950.1	31	12.1379	0	0
ENST00000603077.1	31	12.1379	0	0
ENST00000605284.1	17	9.45455	0	0
ENST00000604446.1	23	11.4375	0	0
ENST00000603693.1	19	11.4545	0	0
ENST00000603935.1	31	12.1379	0	0
ENST00000604102.1	31	12.1379	0	0
ENST00000604838.1	17	9.45455	0	0
ENST00000439842.1	11	4.2	0	0
ENST00000390567.1	20	10.6923	0	0
ENST00000452198.1	18	10.4545	0	0
ENST00000390569.1	20	10.6923	0	0
ENST00000437320.1	19	11.4545	0	0
ENST00000390571.1	31	12.1379	0	0
ENST00000390572.1	28	13.0476	0	0
ENST00000450276.1	17	9.45455	0	0
ENST00000390574.1	21	11.6923	0	0
ENST00000390575.1	20	10.6923	0	0
ENST00000431870.1	16	8.45455	0	0
ENST00000390577.1	37	11.7925	0	0
ENST00000390578.1	31	12.1379	0	0
ENST00000451044.1	17	9.45455	0	0
ENST00000390580.1	21	11.6923	0	0
ENST00000390581.1	23	11.4375	0	0
ENST00000431440.2	16	8.45455	0	0
ENST00000390583.1	31	12.1379	0	0
ENST00000390584.1	31	12.1379	0	0
ENST00000390585.1	31	12.1379	0	0
ENST00000430425.1	17	9.45455	0	0
ENST00000454691.1	18	10.4545	0	0
ENST00000390588.1	20	10.6923	0	0
ENST00000414852.1	16	8.45455	0	0
ENST00000390590.1	31	12.1379	0	0
ENST00000390591.1	31	12.1379	0	0
ENST00000454908.1	17	9.45455	0	0
ENST00000632828.1	421	204.357	0	0
ENST00000632422.1	391	180.292	0	0
ENST00000632713.1	373	166.831	0	0
ENST00000633384.1	652	410.173	0	0
ENST00000631557.1	401	188.474	0	0
ENST00000632308.1	380	172.187	0	0
ENST00000632512.1	455	231.631	1.5	0.282425
ENST00000632016.1	392	181.086	0	0
ENST00000631427.1	455	231.631	0	0
ENST00000632148.1	424	206.993	0	0
ENST00000631392.1	386	176.515	0	0
ENST00000633472.1	365	160.51	0	0
ENST00000631882.1	397	185.046	10	2.35684
ENST00000634123.1	343	143.835	0	0
ENST00000633328.1	390	179.497	0	0
ENST00000632248.1	412	197.157	0	0
ENST00000634176.1	364	159.7	0	0
ENST00000633575.1	395	183.464	0	0
ENST00000633072.1	410	195.596	0	0
ENST00000633313.1	347	147.196	0	0
ENST00000633696.1	544	309.853	0	0
ENST00000633963.1	390	179.497	0	0
ENST00000632187.1	350	149.473	0	0
ENST00000631511.1	386	176.515	0	0
ENST00000633265.1	392	181.086	0	0
ENST00000632216.1	384	175.143	0	0
ENST00000632425.1	407	193.27	0	0
ENST00000631548.1	347	147.196	0	0
ENST00000633790.1	343	143.835	0	0
ENST00000634093.1	344	144.535	0	0
ENST00000632560.1	347	147.196	0	0
ENST00000631639.1	478	250.261	0	0
ENST00000632021.1	347	147.196	0	0
ENST00000633796.1	374	167.635	1	0.260162
ENST00000631471.1	344	144.535	0	0
ENST00000634111.1	392	181.086	0	0
ENST00000633292.1	409	194.661	5.94923e-08	1.33288e-08
ENST00000631824.1	406	192.422	0.5	0.113324
ENST00000632829.1	411	196.399	0	0
ENST00000632432.1	406	192.422	0	0
ENST00000631835.1	421	204.357	0	0
ENST00000633244.1	347	147.196	0	0
ENST00000631663.1	344	144.535	0	0
ENST00000631559.1	428	210.05	0	0
ENST00000632638.1	552	316.886	0	0
ENST00000633466.1	413	197.76	0	0
ENST00000633842.1	347	147.196	0	0
ENST00000633092.1	381	172.947	0	0
ENST00000610439.4	381	172.947	0	0
ENST00000633283.1	387	177.19	0	0
ENST00000619125.2	364	159.7	0	0
ENST00000634198.1	402	189.218	0	0
ENST00000631690.1	447	224.787	0	0
ENST00000379435.3	416	200.03	7	1.5262
ENST00000542354.1	392	181.086	0	0
ENST00000390423.2	402	189.218	0	0
ENST00000390424.2	348	147.962	0	0
ENST00000390425.2	519	286.454	0	0
ENST00000390426.2	395	183.464	0	0
ENST00000390427.3	352	151.273	0	0
ENST00000390428.3	404	190.918	0	0
ENST00000390429.3	337	139.861	0	0
ENST00000390430.2	473	246.177	0	0
ENST00000390431.3	338	140.617	0	0
ENST00000390432.2	379	171.646	0	0
ENST00000390433.1	340	141.536	0	0
ENST00000390434.3	566	329.793	0	0
ENST00000390435.1	341	142.362	0	0
