target_id	length	eff_length	est_counts	tpm
ENST00000631435.1	12	6.55556	0	0
ENST00000415118.1	8	3.125	0	0
ENST00000434970.2	9	4.125	0	0
ENST00000448914.1	13	7.55556	0	0
ENST00000632684.1	12	6.55556	0	0
ENST00000632524.1	11	5.55556	0	0
ENST00000633009.1	20	11.8333	0	0
ENST00000634070.1	18	11.8	0	0
ENST00000632963.1	20	11.8333	0	0
ENST00000633030.1	19	10.8333	0	0
ENST00000633765.1	31	11.6786	0	0
ENST00000632619.1	28	14.3333	0	0
ENST00000632968.1	17	10.8	0	0
ENST00000633159.1	21	11.9231	0	0
ENST00000631871.1	20	11.8333	0	0
ENST00000633010.1	16	9.8	0	0
ENST00000633379.1	37	11.7447	0	0
ENST00000632473.1	31	11.6786	0	0
ENST00000631884.1	17	10.8	0	0
ENST00000632859.1	21	11.9231	0	0
ENST00000631895.1	23	13.9231	0	0
ENST00000634154.1	16	9.8	0	0
ENST00000632609.1	31	11.6786	0	0
ENST00000632911.1	31	11.6786	0	0
ENST00000633504.1	31	11.6786	0	0
ENST00000632304.1	17	10.8	0	0
ENST00000632542.1	18	11.8	0	0
ENST00000633968.1	20	11.8333	0	0
ENST00000634085.1	16	9.8	0	0
ENST00000633353.1	31	11.6786	0	0
ENST00000631803.1	31	11.6786	0	0
ENST00000633210.1	17	10.8	0	0
ENST00000604642.1	23	13.9231	0	0
ENST00000603326.1	19	10.8333	0	0
ENST00000604950.1	31	11.6786	0.5	2.39653
ENST00000603077.1	31	11.6786	0	0
ENST00000605284.1	17	10.8	0	0
ENST00000604446.1	23	13.9231	0	0
ENST00000603693.1	19	10.8333	0	0
ENST00000603935.1	31	11.6786	0.5	2.39653
ENST00000604102.1	31	11.6786	0	0
ENST00000604838.1	17	10.8	0	0
ENST00000439842.1	11	5.55556	0	0
ENST00000390567.1	20	11.8333	0	0
ENST00000452198.1	18	11.8	0	0
ENST00000390569.1	20	11.8333	0	0
ENST00000437320.1	19	10.8333	0	0
ENST00000390571.1	31	11.6786	0	0
ENST00000390572.1	28	14.3333	0	0
ENST00000450276.1	17	10.8	0	0
ENST00000390574.1	21	11.9231	0	0
ENST00000390575.1	20	11.8333	0	0
ENST00000431870.1	16	9.8	0	0
ENST00000390577.1	37	11.7447	0	0
ENST00000390578.1	31	11.6786	0	0
ENST00000451044.1	17	10.8	0	0
ENST00000390580.1	21	11.9231	0	0
ENST00000390581.1	23	13.9231	0	0
ENST00000431440.2	16	9.8	0	0
ENST00000390583.1	31	11.6786	0	0
ENST00000390584.1	31	11.6786	0	0
ENST00000390585.1	31	11.6786	0	0
ENST00000430425.1	17	10.8	0	0
ENST00000454691.1	18	11.8	0	0
ENST00000390588.1	20	11.8333	0	0
ENST00000414852.1	16	9.8	0	0
ENST00000390590.1	31	11.6786	0	0
ENST00000390591.1	31	11.6786	0	0
ENST00000454908.1	17	10.8	0	0
ENST00000632828.1	421	204.595	0.5	0.136798
ENST00000632422.1	391	180.677	2.5	0.774532
ENST00000632713.1	373	165.945	1	0.337318
ENST00000633384.1	652	409.535	0.5	0.0683412
ENST00000631557.1	401	188.436	0.5	0.148528
ENST00000632308.1	380	172.099	0	0
ENST00000632512.1	455	232.87	0	0
ENST00000632016.1	392	181.491	0	0
ENST00000631427.1	455	232.87	0	0
ENST00000632148.1	424	207.117	0	0
ENST00000631392.1	386	176.969	0	0
ENST00000633472.1	365	159.43	0	0
ENST00000631882.1	397	185.155	2	0.604643
ENST00000634123.1	343	142.455	0	0
ENST00000633328.1	390	179.925	1	0.311109
ENST00000632248.1	412	197.318	0.5	0.141843
ENST00000634176.1	364	158.598	0	0
ENST00000633575.1	395	183.742	0	0
ENST00000633072.1	410	195.758	0	0
ENST00000633313.1	347	145.374	0	0
ENST00000633696.1	544	309.119	0	0
ENST00000633963.1	390	179.925	0	0
ENST00000632187.1	350	147.617	0	0
ENST00000631511.1	386	176.969	0	0
ENST00000633265.1	392	181.491	0	0
ENST00000632216.1	384	175.274	0	0
ENST00000632425.1	407	193.171	0	0
ENST00000631548.1	347	145.374	0.5	0.192525
ENST00000633790.1	343	142.455	0	0
ENST00000634093.1	344	143.212	0	0
ENST00000632560.1	347	145.374	0	0
ENST00000631639.1	478	251.782	0	0
ENST00000632021.1	347	145.374	0	0
ENST00000633796.1	374	166.887	0	0
ENST00000631471.1	344	143.212	0	0
ENST00000634111.1	392	181.491	0.5	0.154212
ENST00000633292.1	409	194.823	0	0
ENST00000631824.1	406	192.257	1	0.291153
ENST00000632829.1	411	196.516	0	0
ENST00000632432.1	406	192.257	0	0
ENST00000631835.1	421	204.595	0	0
ENST00000633244.1	347	145.374	0	0
ENST00000631663.1	344	143.212	0	0
ENST00000631559.1	428	210.219	0	0
ENST00000632638.1	552	316.41	0	0
ENST00000633466.1	413	198.274	0	0
ENST00000633842.1	347	145.374	0	0
ENST00000633092.1	381	172.94	0	0
ENST00000610439.4	381	172.94	0.5	0.161837
ENST00000633283.1	387	177.704	0	0
ENST00000619125.2	364	158.598	0	0
ENST00000634198.1	402	189.223	1	0.295821
ENST00000631690.1	447	226.213	0	0
ENST00000379435.3	416	200.674	5	1.39471
ENST00000542354.1	392	181.491	0	0
ENST00000390423.2	402	189.223	0	0
ENST00000390424.2	348	146.023	0	0
ENST00000390425.2	519	287.327	0	0
ENST00000390426.2	395	183.742	0	0
ENST00000390427.3	352	149.279	0	0
ENST00000390428.3	404	190.838	0	0
ENST00000390429.3	337	138.15	0	0
ENST00000390430.2	473	247.819	0	0
ENST00000390431.3	338	138.843	3	1.20948
ENST00000390432.2	379	171.199	0	0
ENST00000390433.1	340	140.28	0	0
ENST00000390434.3	566	329.447	0	0
ENST00000390435.1	341	140.817	0	0
ENST00000390436.2	360	155.429	0	0
ENST00000390437.2	445	224.58	0	0
ENST00000390438.2	469	244.319	0	0
ENST00000390439.2	410	195.758	0	0
ENST00000390440.2	425	207.865	0	0
ENST00000390441.2	394	183.013	0	0
ENST00000390442.3	399	186.796	0	0
ENST00000390443.3	561	324.883	0	0
ENST00000390444.1	329	132.175	0	0
ENST00000390445.2	484	256.973	0	0
ENST00000390446.3	440	220.259	0	0
ENST00000390447.3	467	242.501	0	0
ENST00000390448.3	406	192.257	0	0
ENST00000390449.3	343	142.455	0	0
ENST00000390450.3	464	240.118	1	0.233119
ENST00000390451.2	409	194.823	0	0
ENST00000390452.2	365	159.43	0	0
ENST00000621643.1	102	32.2678	0	0
ENST00000390453.1	343	142.455	0	0
ENST00000390454.2	403	190.009	0	0
ENST00000390455.3	537	303.004	0	0
ENST00000390456.3	341	140.817	0	0
ENST00000390457.2	425	207.865	0	0
ENST00000390458.3	469	244.319	0	0
ENST00000557168.1	337	138.15	0	0
ENST00000390460.1	327	130.817	0	0
ENST00000390461.2	349	146.829	0	0
ENST00000390463.3	356	152.251	0	0
ENST00000390464.2	353	150.082	0	0
ENST00000390465.2	395	183.742	0	0
ENST00000390466.1	331	133.695	0	0
ENST00000390467.3	317	123.919	0	0
ENST00000390468.1	336	137.37	0	0
ENST00000390469.2	520	288.178	0	0
ENST00000535880.2	425	207.865	0	0
ENST00000390340.2	463	239.272	0	0
ENST00000390341.2	512	281.515	0	0
ENST00000444775.2	1735	1488.26	1	0.0376119
ENST00000390343.2	468	243.345	1	0.230028
ENST00000390344.2	552	316.41	3	0.53073
ENST00000390345.2	688	444.129	4	0.504144
ENST00000390346.2	537	303.004	3	0.554213
ENST00000426402.2	544	309.119	0	0
ENST00000390348.2	465	240.578	0	0
ENST00000455382.2	421	204.595	0.5	0.136798
ENST00000390387.3	391	180.677	2.5	0.774532
ENST00000390357.3	373	165.945	1	0.337318
ENST00000390381.3	652	409.535	0.5	0.0683412
ENST00000390353.2	401	188.436	0.5	0.148528
ENST00000547918.2	380	172.099	0	0
ENST00000390392.3	455	232.87	0	0
ENST00000634383.1	424	207.117	0	0
ENST00000634605.1	394	183.013	0	0
ENST00000390360.3	365	159.43	0	0
ENST00000390361.3	397	185.155	1	0.302321
ENST00000390362.1	343	142.455	0	0
ENST00000390363.2	390	179.925	1	0.311109
ENST00000390364.3	412	197.318	0.5	0.141843
ENST00000390367.3	364	158.598	0	0
ENST00000426318.2	395	183.742	0	0
ENST00000390368.2	410	195.758	0	0
ENST00000390369.2	347	145.374	0	0
ENST00000454561.2	544	309.119	0	0
ENST00000390371.3	388	178.438	0	0
ENST00000390372.3	350	147.617	0	0
ENST00000390373.2	344	143.212	0	0
ENST00000390374.3	392	181.491	1	0.308424
ENST00000390375.2	384	175.274	0	0
ENST00000390376.2	341	140.817	0	0
ENST00000390377.1	347	145.374	0.5	0.192525
ENST00000390378.1	343	142.455	0	0
ENST00000612787.1	347	145.374	0	0
ENST00000614171.1	374	166.887	0	0
ENST00000611462.1	368	161.921	0	0
